order,period,group,weighted
0,EM,raw,9.158021865336863
1,EM,lico,9.335929388156252
2,EM,c0,10.621886517643675
3,EM,imm,10.314227176448503
4,EM,rac,9.30172185688538
5,EM,bl,8.865249321947065
6,EM,ab,10.58684249649494
7,EM,lep,9.024710377258627
8,AM,raw,4.28451457176543
9,AM,lico,3.845103937621052
10,AM,c0,3.966707712330435
11,AM,imm,4.2906531854905055
12,AM,rac,4.368986360092132
13,AM,bl,4.3759148046423775
14,AM,ab,4.435106533767209
15,AM,lep,4.493309820174367
16,MD,raw,3.435750081799443
17,MD,lico,3.5730547930002006
18,MD,c0,3.13384419036082
19,MD,imm,3.408852520982455
20,MD,rac,3.5150155379695085
21,MD,bl,3.5316405563135778
22,MD,ab,3.6543022437227215
23,MD,lep,3.4941422327044283
24,PM,raw,4.334229700929044
25,PM,lico,4.116051277908085
26,PM,c0,3.868789970059112
27,PM,imm,4.38586318030574
28,PM,rac,4.465957353431817
29,PM,bl,4.435124505380777
30,PM,ab,4.405277978339074
31,PM,lep,4.518100830435377
32,EV,raw,4.334587253147606
33,EV,lico,4.733483092136554
34,EV,c0,4.163823493148282
35,EV,imm,4.510431499261955
36,EV,rac,4.44979091982623
37,EV,bl,4.655878482924551
38,EV,ab,4.828641940391568
39,EV,lep,4.36872231204733
