type,group,period,mean_bc,entropy_bc,period_order
raw_em,raw,EM,1.3834093499879165,5.96078989353425,1
lico_em,lico,EM,1.5800773190461892,5.55554510524967,1
c0_em,c0,EM,1.6146838392159004,5.603021601946012,1
imm_em,imm,EM,1.4750650234943556,6.306428991385295,1
rac_em,rac,EM,1.463216747625834,6.283077114726938,1
bl_em,bl,EM,1.4103548304310352,6.058082804195835,1
ab_em,ab,EM,1.3713868527520687,5.8157632417692815,1
lep_em,lep,EM,1.4221895535869058,6.1025358825720515,1
lep_am,lep,AM,0.4503860968338733,3.6700614861287764,2
ab_am,ab,AM,0.434700954137636,3.528260090100492,2
bl_am,bl,AM,0.4654732280719339,3.8062405317460626,2
rac_am,rac,AM,0.44548117443686436,3.637730479660138,2
lico_am,lico,AM,0.46419550358154377,3.6562683502200897,2
c0_am,c0,AM,0.42573543502715244,3.2370950271011845,2
raw_am,raw,AM,0.4326446636176193,3.535587283928494,2
imm_am,imm,AM,0.42259894906034495,3.4480025476410447,2
bl_md,bl,MD,0.40971822161385163,3.2513606673528774,3
lep_md,lep,MD,0.38848933109069933,3.089772248942458,3
ab_md,ab,MD,0.3626237843765732,2.850443852974836,3
rac_md,rac,MD,0.38707053125303686,3.0780610597319646,3
imm_md,imm,MD,0.36666798572204795,2.9136112295437266,3
c0_md,c0,MD,0.36622364719788497,2.6594145465790016,3
lico_md,lico,MD,0.42073180169593255,3.029504428947701,3
raw_md,raw,MD,0.36942791519659135,2.938081385011509,3
lep_pm,lep,PM,0.4278395041843806,3.469215178980376,4
bl_pm,bl,PM,0.4395210549142154,3.575594451879644,4
rac_pm,rac,PM,0.4200710613185178,3.407420755259501,4
ab_pm,ab,PM,0.3925078143291963,3.1717412474293707,4
c0_pm,c0,PM,0.372357019054095,2.8653177046022336,4
lico_pm,lico,PM,0.44484370404535184,3.4696664516268774,4
raw_pm,raw,PM,0.39899207225336103,3.2415131823655603,4
imm_pm,imm,PM,0.39546689842840843,3.201443410991537,4
ab_ev,ab,EV,0.4634200698849779,3.433727721817399,5
raw_ev,raw,EV,0.465610951834359,3.4931904575261816,5
lico_ev,lico,EV,0.5697107193871,3.6724021188268976,5
c0_ev,c0,EV,0.45530550427645905,2.972562645007464,5
imm_ev,imm,EV,0.46771440433576467,3.4917028529793543,5
rac_ev,rac,EV,0.49293475069278564,3.6923293591131583,5
bl_ev,bl,EV,0.5322778290880646,3.980544167888753,5
lep_ev,lep,EV,0.49351634206706096,3.6959450097540114,5
