o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1018-0-4-39,1034-0-99-99,13464785,20235156,365.0,0.16666666666666666
1018-0-4-39,1034-0-99-99,13465179,13465567,365.0,0.5
1018-0-4-39,1034-0-99-99,13465567,13465795,365.0,0.6666666666666666
1018-0-4-39,1034-0-99-99,13465795,13465959,365.0,0.8333333333333334
1018-0-4-39,1034-0-99-99,13465959,13466117,365.0,1.0
1018-0-4-39,1034-0-99-99,13466117,13466241,365.0,1.0
1018-0-4-39,1034-0-99-99,13466241,13466427,365.0,1.0
1018-0-4-39,1034-0-99-99,13466427,13466475,365.0,1.0
1018-0-4-39,1034-0-99-99,13466475,14036494,365.0,1.0
1018-0-4-39,1034-0-99-99,14036494,13466801,365.0,0.5
1018-0-4-39,1034-0-99-99,20235156,13465179,365.0,0.3333333333333333
1021-0-4-39,1361-0-99-99,106,215,300.0,1.0
1021-0-4-39,1361-0-99-99,13463747,156,300.0,1.0
1021-0-4-39,1361-0-99-99,13465043,210,300.0,1.0
1021-0-4-39,1361-0-99-99,13465705,208,300.0,1.0
1021-0-4-39,1361-0-99-99,13466999,13467131,300.0,1.0
1021-0-4-39,1361-0-99-99,13467131,13467231,300.0,1.0
1021-0-4-39,1361-0-99-99,13467231,202,300.0,1.0
1021-0-4-39,1361-0-99-99,13468356,13468457,300.0,0.005780346820809248
1021-0-4-39,1361-0-99-99,13468356,13468572,49.0,0.08236994219653179
1021-0-4-39,1361-0-99-99,13468457,13468356,49.0,0.002890173410404624
1021-0-4-39,1361-0-99-99,13468457,13468356,300.0,0.002890173410404624
1021-0-4-39,1361-0-99-99,13468572,13468356,49.0,0.0708092485549133
1021-0-4-39,1361-0-99-99,13468572,13468356,300.0,0.011560693641618497
1021-0-4-39,1361-0-99-99,13468572,200,49.0,0.22976878612716764
1021-0-4-39,1361-0-99-99,13468572,200,111.0,0.002890173410404624
1021-0-4-39,1361-0-99-99,13468572,200,112.0,0.005780346820809248
1021-0-4-39,1361-0-99-99,13468572,200,123.0,0.002890173410404624
1021-0-4-39,1361-0-99-99,13468572,201,300.0,0.04190751445086705
1021-0-4-39,1361-0-99-99,13468683,13468811,111.0,0.203757225433526
1021-0-4-39,1361-0-99-99,13468683,13468811,112.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,13468811,13468974,111.0,0.203757225433526
1021-0-4-39,1361-0-99-99,13468811,13468974,112.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,13468974,13469211,111.0,0.203757225433526
1021-0-4-39,1361-0-99-99,13468974,13469211,112.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,13469211,13469285,111.0,0.203757225433526
1021-0-4-39,1361-0-99-99,13469211,13469285,112.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,13469285,13469317,111.0,0.203757225433526
1021-0-4-39,1361-0-99-99,13469285,13469317,112.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,13469317,13454935,191.0,1.0
1021-0-4-39,1361-0-99-99,13469317,200,191.0,0.203757225433526
1021-0-4-39,1361-0-99-99,156,214,300.0,1.0
1021-0-4-39,1361-0-99-99,200,13468572,45.0,0.06791907514450866
1021-0-4-39,1361-0-99-99,200,13468572,49.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,200,13468683,111.0,0.203757225433526
1021-0-4-39,1361-0-99-99,200,13468683,112.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,200,13469317,191.0,0.7283236994219653
1021-0-4-39,1361-0-99-99,200,13469317,192.0,0.13583815028901733
1021-0-4-39,1361-0-99-99,201,13468572,300.0,0.07947976878612717
1021-0-4-39,1361-0-99-99,201,200,2.0,0.14739884393063585
1021-0-4-39,1361-0-99-99,201,200,300.0,0.815028901734104
1021-0-4-39,1361-0-99-99,201,202,300.0,0.17341040462427745
1021-0-4-39,1361-0-99-99,202,201,2.0,0.06502890173410404
1021-0-4-39,1361-0-99-99,202,201,300.0,1.1083815028901733
1021-0-4-39,1361-0-99-99,203,204,300.0,1.0
1021-0-4-39,1361-0-99-99,204,13466999,300.0,1.0
1021-0-4-39,1361-0-99-99,205,203,300.0,1.0
1021-0-4-39,1361-0-99-99,206,205,300.0,1.0
1021-0-4-39,1361-0-99-99,207,206,300.0,1.0
1021-0-4-39,1361-0-99-99,208,207,300.0,1.0
1021-0-4-39,1361-0-99-99,209,13465705,300.0,1.0
1021-0-4-39,1361-0-99-99,210,209,300.0,1.0
1021-0-4-39,1361-0-99-99,211,13465043,300.0,1.0
1021-0-4-39,1361-0-99-99,212,211,300.0,1.0
1021-0-4-39,1361-0-99-99,213,212,300.0,1.0
1021-0-4-39,1361-0-99-99,214,213,300.0,1.0
1021-0-4-39,1361-0-99-99,215,13463747,300.0,1.0
1021-0-4-39,1361-0-99-99,216,106,300.0,1.0
1021-0-4-39,1386-0-99-99,105,13463723,320.0,0.25
1021-0-4-39,1386-0-99-99,106,13463015,320.0,1.0
1021-0-4-39,1386-0-99-99,107,13461921,320.0,1.0
1021-0-4-39,1386-0-99-99,108,109,320.0,1.0
1021-0-4-39,1386-0-99-99,109,13459944,320.0,1.0
1021-0-4-39,1386-0-99-99,110,13458124,320.0,1.0
1021-0-4-39,1386-0-99-99,111,13457078,320.0,1.0
1021-0-4-39,1386-0-99-99,112,13453668,320.0,1.0
1021-0-4-39,1386-0-99-99,113,13450770,320.0,1.0
1021-0-4-39,1386-0-99-99,114,115,320.0,1.0
1021-0-4-39,1386-0-99-99,115,13447144,320.0,1.0
1021-0-4-39,1386-0-99-99,116,13445250,320.0,1.0
1021-0-4-39,1386-0-99-99,13443870,13444138,353.0,1.0
1021-0-4-39,1386-0-99-99,13444082,13443870,320.0,1.0
1021-0-4-39,1386-0-99-99,13444138,13444337,353.0,1.0
1021-0-4-39,1386-0-99-99,13444337,13444464,353.0,1.0
