o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1001-0-20-1,1272-0-99-99,13462844,13462953,506.0,1.0
1001-0-20-1,1272-0-99-99,13462953,13463082,506.0,1.0
1001-0-20-1,1272-0-99-99,13463082,13463183,506.0,1.0
1001-0-20-1,1272-0-99-99,13463183,13463279,506.0,1.0
1001-0-20-1,1272-0-99-99,13463279,13463372,506.0,1.0
1001-0-20-1,1272-0-99-99,13463293,13463787,22.0,0.5
1001-0-20-1,1272-0-99-99,13463317,13462844,22.0,1.0
1001-0-20-1,1272-0-99-99,13463372,13463478,506.0,1.0
1001-0-20-1,1272-0-99-99,13463478,13463573,506.0,1.0
1001-0-20-1,1272-0-99-99,13463537,13463317,22.0,1.0
1001-0-20-1,1272-0-99-99,13463573,13463705,506.0,1.0
1001-0-20-1,1272-0-99-99,13463705,13463796,506.0,1.0
1001-0-20-1,1272-0-99-99,13463787,13463942,22.0,1.0
1001-0-20-1,1272-0-99-99,13463796,13463892,506.0,1.0
1001-0-20-1,1272-0-99-99,13463942,13463537,22.0,1.0
1003-0-20-1,1270-0-99-99,13464286,13464374,501.0,0.5
1003-0-20-1,1270-0-99-99,13464374,13464498,501.0,1.0
1003-0-20-1,1270-0-99-99,13464498,13464614,501.0,1.0
1003-0-20-1,1270-0-99-99,13464614,13464709,501.0,1.0
1003-0-20-1,1270-0-99-99,13464709,13464771,501.0,1.0
1003-0-20-1,1572-0-99-99,13443118,13442935,85.0,1.0
1003-0-20-1,1572-0-99-99,13443303,13443118,85.0,1.0
1003-0-20-1,1572-0-99-99,13443365,13443453,85.0,1.0
1003-0-20-1,1572-0-99-99,13443453,13443640,85.0,1.0
1003-0-20-1,1572-0-99-99,13443640,13443303,85.0,1.0
1003-0-20-1,1572-0-99-99,13443728,13443365,85.0,1.0
1003-0-20-1,1572-0-99-99,13444054,13443728,85.0,1.0
1003-0-20-1,1572-0-99-99,13444364,13444054,85.0,1.0
1003-0-20-1,1572-0-99-99,13444651,13444364,85.0,1.0
1003-0-20-1,1572-0-99-99,13444943,13444651,85.0,1.0
1003-0-20-1,1572-0-99-99,13445039,13446901,198.0,0.041666666666666664
1003-0-20-1,1572-0-99-99,13445220,13444943,85.0,1.0
1003-0-20-1,1572-0-99-99,13445495,13445220,85.0,1.0
1003-0-20-1,1572-0-99-99,13445621,13499223,54.0,1.0
1003-0-20-1,1572-0-99-99,13445741,13445621,54.0,1.0
1003-0-20-1,1572-0-99-99,13445921,13445741,54.0,1.0
1003-0-20-1,1572-0-99-99,13446051,13445921,54.0,1.0
1003-0-20-1,1572-0-99-99,13446120,13446051,54.0,1.0
1003-0-20-1,1572-0-99-99,13446227,13446120,54.0,1.0
1003-0-20-1,1572-0-99-99,13446406,13446227,54.0,1.0
1003-0-20-1,1572-0-99-99,13446543,13446406,54.0,1.0
1003-0-20-1,1572-0-99-99,13446621,13446543,54.0,1.0
1003-0-20-1,1572-0-99-99,13446675,13446621,54.0,1.0
1003-0-20-1,1572-0-99-99,13446727,13446675,54.0,1.0
1003-0-20-1,1572-0-99-99,13446875,13446727,54.0,1.0
1003-0-20-1,1572-0-99-99,13446901,13445039,198.0,0.041666666666666664
1003-0-20-1,1572-0-99-99,13446901,13447347,198.0,0.08333333333333333
1003-0-20-1,1572-0-99-99,13446990,13446875,54.0,1.0
1003-0-20-1,1572-0-99-99,13447093,13446990,54.0,1.0
1003-0-20-1,1572-0-99-99,13447211,13447093,54.0,1.0
1003-0-20-1,1572-0-99-99,13447347,13446901,198.0,0.08333333333333333
1003-0-20-1,1572-0-99-99,13447347,13447211,54.0,0.8333333333333334
1003-0-20-1,1572-0-99-99,13447347,13447596,86.0,0.041666666666666664
1003-0-20-1,1572-0-99-99,13447495,13447211,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13447596,13447347,86.0,0.5
1003-0-20-1,1572-0-99-99,13447596,20105765,86.0,0.041666666666666664
1003-0-20-1,1572-0-99-99,13447752,13447495,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13448171,13447752,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13448187,13447347,198.0,0.375
1003-0-20-1,1572-0-99-99,13448187,20105765,86.0,0.5
1003-0-20-1,1572-0-99-99,13448428,13448171,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13448608,13448187,86.0,0.4166666666666667
1003-0-20-1,1572-0-99-99,13448888,13448187,198.0,0.4166666666666667
1003-0-20-1,1572-0-99-99,13448888,13448608,86.0,0.4166666666666667
1003-0-20-1,1572-0-99-99,13448888,13449625,86.0,0.041666666666666664
1003-0-20-1,1572-0-99-99,13449162,13448428,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13449375,13449162,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13449625,13448888,86.0,0.2916666666666667
1003-0-20-1,1572-0-99-99,13449684,13449375,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13449817,13449684,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13449936,13449817,116.0,0.16666666666666666
1003-0-20-1,1572-0-99-99,13449983,13449625,86.0,0.25
1003-0-20-1,1572-0-99-99,13449983,13450507,116.0,0.16666666666666666
