node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13463787-20-18,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464709-20-30,1.0,1001-0-20-11,1272-0-99-99,1001,1272
1001-20-11,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464948-20-32,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464855-20-31,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464498-20-28,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464286-20-26,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464948-20-34,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13463787-20-21,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464374-20-27,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13463942-20-23,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13463787-20-19,1.0,1001-0-20-11,1272-0-99-99,1001,1272
1272-99-99,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464771-20-31,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464179-20-25,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464614-20-29,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464067-20-24,1.0,1001-0-20-11,1272-0-99-99,1001,1272
13464771-20-28,1.0,1003-0-20-11,1270-0-99-99,1003,1270
1003-20-11,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464498-20-23,1.0,1003-0-20-11,1270-0-99-99,1003,1270
1270-99-99,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464771-20-26,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464498-20-21,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464614-20-24,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464709-20-25,1.0,1003-0-20-11,1270-0-99-99,1003,1270
13464374-20-22,0.6666666666666666,1003-0-20-11,1270-0-99-99,1003,1270
13464374-20-19,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464374-20-17,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464374-20-18,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464374-20-20,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464286-20-17,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464286-20-19,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
13464286-20-21,0.3333333333333333,1003-0-20-11,1270-0-99-99,1003,1270
