INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
1272,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464709,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464286,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464374,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464948,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464771,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464614,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464498,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464179,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463652,0.5,1001-0-20-45,1272-0-99-99,1001,1272
13464067,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13464855,1.0,1001-0-20-45,1272-0-99-99,1001,1272
1001,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463942,1.0,1001-0-20-45,1272-0-99-99,1001,1272
13463787,0.5,1001-0-20-45,1272-0-99-99,1001,1272
13464709,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464374,1.0,1003-0-20-45,1270-0-99-99,1003,1270
1003,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464771,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464498,1.0,1003-0-20-45,1270-0-99-99,1003,1270
1270,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464614,1.0,1003-0-20-45,1270-0-99-99,1003,1270
13464286,0.5,1003-0-20-45,1270-0-99-99,1003,1270
222,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13450880,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13444084,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13462774,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13462283,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13461716,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
13448888,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13448187,1.0,1003-0-20-45,1572-0-99-99,1003,1572
13463995,0.9036144578313253,1003-0-20-45,1572-0-99-99,1003,1572
224,1.0,1003-0-20-45,1572-0-99-99,1003,1572
