o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1001-0-11-29,1253-0-99-99,13463032,13462856,501.0,1.0
1001-0-11-29,1253-0-99-99,13463118,13463032,501.0,1.0
1001-0-11-29,1253-0-99-99,13463187,13463118,501.0,1.0
1001-0-11-29,1253-0-99-99,13463288,13463187,501.0,1.0
1001-0-11-29,1253-0-99-99,13463408,13463288,501.0,1.0
1001-0-11-29,1253-0-99-99,13463494,13463408,501.0,1.0
1001-0-11-29,1253-0-99-99,13463652,13463494,501.0,1.0
1002-0-11-29,1072-0-99-99,106,215,2.0,1.0
1002-0-11-29,1072-0-99-99,13461380,223,22.0,1.0
1002-0-11-29,1072-0-99-99,13461623,13461380,22.0,1.0
1002-0-11-29,1072-0-99-99,13462225,13461623,22.0,1.0
1002-0-11-29,1072-0-99-99,13462427,13462225,22.0,1.0
1002-0-11-29,1072-0-99-99,13462844,13462427,22.0,1.0
1002-0-11-29,1072-0-99-99,13463317,13462844,22.0,1.0
1002-0-11-29,1072-0-99-99,13463537,13463317,22.0,1.0
1002-0-11-29,1072-0-99-99,13463942,13463537,22.0,1.0
1002-0-11-29,1072-0-99-99,156,214,2.0,1.0
1002-0-11-29,1072-0-99-99,215,156,2.0,1.0
1002-0-11-29,1072-0-99-99,216,106,2.0,1.0
1002-0-11-29,1072-0-99-99,217,216,2.0,1.0
1002-0-11-29,1072-0-99-99,218,217,2.0,1.0
1002-0-11-29,1072-0-99-99,219,218,2.0,1.0
1002-0-11-29,1072-0-99-99,220,219,2.0,1.0
1002-0-11-29,1072-0-99-99,221,220,2.0,1.0
1002-0-11-29,1072-0-99-99,222,221,2.0,1.0
1002-0-11-29,1072-0-99-99,223,222,2.0,1.0
1011-0-11-29,1107-0-99-99,100,151,1.0,0.5
1011-0-11-29,1107-0-99-99,101,100,1.0,0.5
1011-0-11-29,1107-0-99-99,101,102,1.0,0.5
1011-0-11-29,1107-0-99-99,102,103,1.0,0.5
1011-0-11-29,1107-0-99-99,103,104,1.0,0.5
1011-0-11-29,1107-0-99-99,104,105,1.0,0.5
1011-0-11-29,1107-0-99-99,105,106,1.0,0.5
1011-0-11-29,1107-0-99-99,106,215,2.0,0.5
1011-0-11-29,1107-0-99-99,13466977,13467067,72.0,1.0
1011-0-11-29,1107-0-99-99,13467067,13467485,72.0,1.0
1011-0-11-29,1107-0-99-99,13467182,13466977,72.0,1.0
1011-0-11-29,1107-0-99-99,13467444,13467182,72.0,1.0
1011-0-11-29,1107-0-99-99,13467485,13467665,72.0,1.0
1011-0-11-29,1107-0-99-99,13467665,13467854,72.0,1.0
1011-0-11-29,1107-0-99-99,13467752,101,72.0,1.0
1011-0-11-29,1107-0-99-99,13467854,13467923,72.0,1.0
1011-0-11-29,1107-0-99-99,13467923,13467752,72.0,1.0
1011-0-11-29,1107-0-99-99,151,152,1.0,0.5
1011-0-11-29,1107-0-99-99,152,153,1.0,0.5
1011-0-11-29,1107-0-99-99,153,154,1.0,0.5
1011-0-11-29,1107-0-99-99,154,155,1.0,0.5
1011-0-11-29,1107-0-99-99,155,156,1.0,0.5
1011-0-11-29,1107-0-99-99,156,214,2.0,1.0
1011-0-11-29,1107-0-99-99,210,209,2.0,1.0
1011-0-11-29,1107-0-99-99,211,210,2.0,1.0
1011-0-11-29,1107-0-99-99,212,211,2.0,1.0
1011-0-11-29,1107-0-99-99,213,212,2.0,1.0
1011-0-11-29,1107-0-99-99,214,213,2.0,1.0
1011-0-11-29,1107-0-99-99,215,156,2.0,0.5
1014-0-11-29,1025-0-99-99,13466241,13466404,514.0,0.1111111111111111
1014-0-11-29,1025-0-99-99,13466404,13466482,514.0,0.1111111111111111
1014-0-11-29,1038-0-99-99,101,102,1.0,0.75
1014-0-11-29,1038-0-99-99,102,103,1.0,0.75
1014-0-11-29,1038-0-99-99,103,104,1.0,0.375
1014-0-11-29,1038-0-99-99,13464965,13465058,505.0,0.125
1014-0-11-29,1038-0-99-99,13465058,13465179,505.0,0.125
1014-0-11-29,1038-0-99-99,13465179,13465269,505.0,0.125
1014-0-11-29,1038-0-99-99,13465269,13465366,505.0,0.125
1014-0-11-29,1038-0-99-99,13465366,13465569,505.0,0.125
1014-0-11-29,1038-0-99-99,13465569,13465671,505.0,0.125
1014-0-11-29,1038-0-99-99,13466241,13466404,514.0,0.375
1014-0-11-29,1038-0-99-99,13466404,13466482,514.0,0.375
1014-0-11-29,1038-0-99-99,13466482,13466630,514.0,0.375
1014-0-11-29,1038-0-99-99,13466630,13466729,514.0,0.375
1014-0-11-29,1038-0-99-99,13466729,101,514.0,0.25
1014-0-11-29,1038-0-99-99,13466977,13467067,72.0,0.25
1014-0-11-29,1038-0-99-99,13467067,13467485,72.0,0.5
1014-0-11-29,1038-0-99-99,13467485,13467665,72.0,0.5
1014-0-11-29,1038-0-99-99,13467665,13467854,72.0,0.5
1014-0-11-29,1038-0-99-99,13467752,101,72.0,0.5
1014-0-11-29,1038-0-99-99,13467854,13467923,72.0,0.5
1014-0-11-29,1038-0-99-99,13467923,13467752,72.0,0.5
1015-0-11-29,1049-0-99-99,100,151,1.0,0.5
1015-0-11-29,1049-0-99-99,101,100,1.0,0.5
1015-0-11-29,1049-0-99-99,101,13466960,504.0,0.5
1015-0-11-29,1049-0-99-99,13466241,13466404,504.0,1.0
1015-0-11-29,1049-0-99-99,13466404,13466482,504.0,1.0
1015-0-11-29,1049-0-99-99,13466482,13466630,504.0,1.0
1015-0-11-29,1049-0-99-99,13466630,13466729,504.0,1.0
1015-0-11-29,1049-0-99-99,13466729,101,504.0,1.0
1015-0-11-29,1049-0-99-99,13466960,151,504.0,0.5
1015-0-11-29,1049-0-99-99,14243510,13466241,504.0,0.5
1015-0-11-29,1049-0-99-99,151,152,1.0,1.0
1015-0-11-29,1049-0-99-99,152,153,1.0,1.0
1015-0-11-29,1049-0-99-99,153,154,1.0,1.0
1015-0-11-29,1052-0-99-99,101,102,1.0,0.5
1015-0-11-29,1052-0-99-99,13466241,13466404,504.0,1.0
1015-0-11-29,1052-0-99-99,13466404,13466482,504.0,1.0
1015-0-11-29,1052-0-99-99,13466482,13466630,504.0,1.0
1015-0-11-29,1052-0-99-99,13466630,13466729,504.0,1.0
1015-0-11-29,1052-0-99-99,13466729,101,504.0,1.0
1015-0-11-29,1052-0-99-99,14243510,13466241,504.0,0.5
