INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13463187,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13462856,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13463032,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13463494,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13463408,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13463652,1.0,1001-0-11-36,1253-0-99-99,1001,1253
1001,1.0,1001-0-11-36,1253-0-99-99,1001,1253
1253,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13463118,1.0,1001-0-11-36,1253-0-99-99,1001,1253
13463288,1.0,1001-0-11-36,1253-0-99-99,1001,1253
20235330,1.0,1002-0-11-36,1072-0-99-99,1002,1072
222,1.0,1002-0-11-36,1072-0-99-99,1002,1072
1072,1.0,1002-0-11-36,1072-0-99-99,1002,1072
156,1.0,1002-0-11-36,1072-0-99-99,1002,1072
106,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13461733,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13462643,1.0,1002-0-11-36,1072-0-99-99,1002,1072
220,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13460937,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13461421,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13462196,1.0,1002-0-11-36,1072-0-99-99,1002,1072
224,1.0,1002-0-11-36,1072-0-99-99,1002,1072
219,1.0,1002-0-11-36,1072-0-99-99,1002,1072
216,1.0,1002-0-11-36,1072-0-99-99,1002,1072
218,1.0,1002-0-11-36,1072-0-99-99,1002,1072
1002,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13462931,1.0,1002-0-11-36,1072-0-99-99,1002,1072
223,1.0,1002-0-11-36,1072-0-99-99,1002,1072
214,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13463933,1.0,1002-0-11-36,1072-0-99-99,1002,1072
217,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13463494,1.0,1002-0-11-36,1072-0-99-99,1002,1072
221,1.0,1002-0-11-36,1072-0-99-99,1002,1072
215,1.0,1002-0-11-36,1072-0-99-99,1002,1072
13466235,0.5,1011-0-11-36,1107-0-99-99,1011,1107
156,1.0,1011-0-11-36,1107-0-99-99,1011,1107
13467752,0.75,1011-0-11-36,1107-0-99-99,1011,1107
13467923,0.75,1011-0-11-36,1107-0-99-99,1011,1107
100,0.75,1011-0-11-36,1107-0-99-99,1011,1107
13467854,0.75,1011-0-11-36,1107-0-99-99,1011,1107
153,0.75,1011-0-11-36,1107-0-99-99,1011,1107
13467485,0.75,1011-0-11-36,1107-0-99-99,1011,1107
1011,1.0,1011-0-11-36,1107-0-99-99,1011,1107
151,0.75,1011-0-11-36,1107-0-99-99,1011,1107
209,1.0,1011-0-11-36,1107-0-99-99,1011,1107
210,1.0,1011-0-11-36,1107-0-99-99,1011,1107
101,0.75,1011-0-11-36,1107-0-99-99,1011,1107
212,1.0,1011-0-11-36,1107-0-99-99,1011,1107
13467665,0.75,1011-0-11-36,1107-0-99-99,1011,1107
155,0.75,1011-0-11-36,1107-0-99-99,1011,1107
1107,1.0,1011-0-11-36,1107-0-99-99,1011,1107
152,0.75,1011-0-11-36,1107-0-99-99,1011,1107
211,1.0,1011-0-11-36,1107-0-99-99,1011,1107
154,0.75,1011-0-11-36,1107-0-99-99,1011,1107
214,1.0,1011-0-11-36,1107-0-99-99,1011,1107
213,1.0,1011-0-11-36,1107-0-99-99,1011,1107
13467067,0.75,1011-0-11-36,1107-0-99-99,1011,1107
13466977,0.5,1011-0-11-36,1107-0-99-99,1011,1107
13463796,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13464855,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13462117,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13465837,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13466520,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13463522,0.25,1011-0-11-36,1107-0-99-99,1011,1107
106,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13466878,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13465276,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13466351,0.25,1011-0-11-36,1107-0-99-99,1011,1107
220,0.25,1011-0-11-36,1107-0-99-99,1011,1107
13466194,0.25,1011-0-11-36,1107-0-99-99,1011,1107
