ward,cycles,scaled_cycles,removed_cycles,N,cycle_availability,area,ward_name,cycle_density,period
1,6,0.10526315789473681,1,123,0.0004193751310547283,48.35226406897412,Etobicoke North,0.0021770057704966978,EM
2,1,0.0175438596491228,3,72,0.00011774402449075704,37.33975371399385,Etobicoke Centre,0.00046984401084969855,EM
3,3,0.1578947368421052,7,109,0.0007080481472740143,40.01243087294999,Etobicoke-Lakeshore,0.003946142071284361,EM
4,1,0.0701754385964912,2,55,0.00061022120518688,15.324932601367276,Parkdale-High Park,0.004579167845099052,EM
5,7,0.35087719298245595,4,115,0.0014930944382232168,24.973566676277184,York South-Weston,0.014049943187160375,EM
6,4,0.1052631578947368,7,91,0.0005629045876723893,35.35267319595879,York Centre,0.0029775162209450556,EM
7,4,0.10526315789473681,2,75,0.0006791171477079794,30.694206585929987,Humber River-Black Creek,0.0034294145248565805,EM
8,1,0.0175438596491228,1,58,0.0001449905756125851,22.657719856949853,Eglinton-Lawrence,0.0007742994334772628,EM
9,4,0.0701754385964912,1,66,0.0005122294788065051,12.092764199593494,Davenport,0.005803093274476499,EM
10,4,0.3157894736842104,1,39,0.003804692454026631,9.301089014978645,Spadina-Fort York,0.0339518816748939,EM
11,0,0.0,0,24,0.0,13.594704244601502,University-Rosedale,0.0,EM
12,1,0.0350877192982456,1,24,0.0006620324395895396,13.119079184300707,Toronto-St. Paul's,0.0026745565603593768,EM
13,2,0.2105263157894736,2,47,0.002126528442317915,5.861978760182593,Toronto Centre,0.03591386533493956,EM
14,4,0.36842105263157876,4,81,0.002206114087614244,21.79805561500022,Toronto-Danforth,0.01690155576894903,EM
15,1,0.0175438596491228,3,39,0.0002113718030014795,30.291446962976995,Don Valley West,0.0005791687558063954,EM
16,0,0.0,0,37,0.0,22.961197918076145,Don Valley East,0.0,EM
17,0,0.0,4,58,0.0,24.416753467597097,Don Valley North,0.0,EM
18,1,0.0701754385964912,5,59,0.0005705320211096845,19.75882362536991,Willowdale,0.0035516000308028167,EM
19,0,0.0,1,26,0.0,16.80175712271847,Beaches-East York,0.0,EM
20,4,0.0701754385964912,7,87,0.00039204155640497877,28.187889894594186,Scarborough Southwest,0.0024895598378915653,EM
21,0,0.0,6,72,0.0,28.20183652636778,Scarborough Centre,0.0,EM
22,3,0.3157894736842104,1,60,0.0025263157894736834,21.395977487483425,Scarborough-Agincourt,0.014759291734577034,EM
23,0,0.0,3,60,0.0,30.433948652080108,Scarborough North,0.0,EM
24,0,0.0,1,43,0.0,26.11473129470679,Scarborough-Guildwood,0.0,EM
25,1,0.0175438596491228,6,89,9.586808551433224e-05,54.085105633097456,Scarborough-Rouge Park,0.00032437506488638176,EM
1,25,1.180851063829786,4,214,0.002727138715542231,48.35226406897412,Etobicoke North,0.02442183601051879,AM
2,9,0.5460992907801416,5,174,0.0015470234866292963,37.33975371399385,Etobicoke Centre,0.014625144422832108,AM
