o_node,d_node,origin,destination,travel_time,iteration
1506-0-4-30,1002-0-99-99,1506,1002,78.0,0
1126-0-4-30,1006-0-99-99,1126,1006,109.0,0
1243-0-4-30,1021-0-99-99,1243,1021,57.0,0
1382-0-4-30,1021-0-99-99,1382,1021,109.0,0
1571-0-4-30,1021-0-99-99,1571,1021,127.0,0
1232-0-4-30,1022-0-99-99,1232,1022,61.0,0
1175-0-4-30,1023-0-99-99,1175,1023,59.0,0
1018-0-4-30,1034-0-99-99,1018,1034,33.0,0
1518-0-4-30,1034-0-99-99,1518,1034,117.0,0
1590-0-4-30,1034-0-99-99,1590,1034,126.0,0
1250-0-4-30,1035-0-99-99,1250,1035,61.0,0
1214-0-4-30,1036-0-99-99,1214,1036,117.0,0
1219-0-4-30,1036-0-99-99,1219,1036,114.0,0
1574-0-4-30,1036-0-99-99,1574,1036,172.0,0
1591-0-4-30,1036-0-99-99,1591,1036,126.0,0
1131-0-4-30,1037-0-99-99,1131,1037,97.0,0
1238-0-4-30,1037-0-99-99,1238,1037,79.0,0
1285-0-4-30,1037-0-99-99,1285,1037,52.0,0
1406-0-4-30,1037-0-99-99,1406,1037,128.0,0
1131-0-4-30,1038-0-99-99,1131,1038,90.0,0
1389-0-4-30,1038-0-99-99,1389,1038,115.0,0
1422-0-4-30,1038-0-99-99,1422,1038,90.0,0
1559-0-4-30,1038-0-99-99,1559,1038,127.0,0
1076-0-4-30,1042-0-99-99,1076,1042,34.0,0
1245-0-4-30,1042-0-99-99,1245,1042,60.0,0
1090-0-4-30,1043-0-99-99,1090,1043,36.0,0
1427-0-4-30,1043-0-99-99,1427,1043,106.0,0
1250-0-4-30,1045-0-99-99,1250,1045,44.0,0
1214-0-4-30,1046-0-99-99,1214,1046,107.0,0
1411-0-4-30,1046-0-99-99,1411,1046,107.0,0
1313-0-4-30,1047-0-99-99,1313,1047,74.0,0
1520-0-4-30,1047-0-99-99,1520,1047,60.0,0
1574-0-4-30,1049-0-99-99,1574,1049,168.0,0
1252-0-4-30,1050-0-99-99,1252,1050,44.0,0
1522-0-4-30,1050-0-99-99,1522,1050,117.0,0
1280-0-4-30,1051-0-99-99,1280,1051,43.0,0
1328-0-4-30,1051-0-99-99,1328,1051,86.0,0
1266-0-4-30,1052-0-99-99,1266,1052,48.0,0
1447-0-4-30,1052-0-99-99,1447,1052,126.0,0
1464-0-4-30,1052-0-99-99,1464,1052,121.0,0
1495-0-4-30,1052-0-99-99,1495,1052,129.0,0
1538-0-4-30,1052-0-99-99,1538,1052,64.0,0
1591-0-4-30,1055-0-99-99,1591,1055,130.0,0
1425-0-4-30,1056-0-99-99,1425,1056,116.0,0
1444-0-4-30,1056-0-99-99,1444,1056,122.0,0
1619-0-4-30,1056-0-99-99,1619,1056,127.0,0
1200-0-4-30,1057-0-99-99,1200,1057,113.0,0
1277-0-4-30,1057-0-99-99,1277,1057,56.0,0
1539-0-4-30,1057-0-99-99,1539,1057,56.0,0
1601-0-4-30,1057-0-99-99,1601,1057,130.0,0
1122-0-4-30,1058-0-99-99,1122,1058,60.0,0
1270-0-4-30,1058-0-99-99,1270,1058,57.0,0
1450-0-4-30,1058-0-99-99,1450,1058,125.0,0
1411-0-4-30,1059-0-99-99,1411,1059,116.0,0
1090-0-4-30,1060-0-99-99,1090,1060,34.0,0
1484-0-4-30,1062-0-99-99,1484,1062,135.0,0
1544-0-4-30,1063-0-99-99,1544,1063,100.0,0
1621-0-4-30,1063-0-99-99,1621,1063,144.0,0
1110-0-4-30,1065-0-99-99,1110,1065,27.0,0
1122-0-4-30,1065-0-99-99,1122,1065,51.0,0
1202-0-4-30,1065-0-99-99,1202,1065,110.0,0
1424-0-4-30,1065-0-99-99,1424,1065,89.0,0
1572-0-4-30,1065-0-99-99,1572,1065,181.0,0
1122-0-4-30,1066-0-99-99,1122,1066,51.0,0
1263-0-4-30,1067-0-99-99,1263,1067,67.0,0
1120-0-4-30,1068-0-99-99,1120,1068,57.0,0
1330-0-4-30,1068-0-99-99,1330,1068,88.0,0
1602-0-4-30,1068-0-99-99,1602,1068,136.0,0
1606-0-4-30,1068-0-99-99,1606,1068,124.0,0
1483-0-4-30,1070-0-99-99,1483,1070,121.0,0
1510-0-4-30,1076-0-99-99,1510,1076,129.0,0
1600-0-4-30,1076-0-99-99,1600,1076,147.0,0
1039-0-4-30,1078-0-99-99,1039,1078,42.0,0
1524-0-4-30,1078-0-99-99,1524,1078,125.0,0
1562-0-4-30,1078-0-99-99,1562,1078,188.0,0
1365-0-4-30,1080-0-99-99,1365,1080,107.0,0
1143-0-4-30,1085-0-99-99,1143,1085,65.0,0
1513-0-4-30,1090-0-99-99,1513,1090,148.0,0
1132-0-4-30,1104-0-99-99,1132,1104,51.0,0
1389-0-4-30,1113-0-99-99,1389,1113,101.0,0
1286-0-4-30,1114-0-99-99,1286,1114,49.0,0
1022-0-4-30,1116-0-99-99,1022,1116,37.0,0
1400-0-4-30,1118-0-99-99,1400,1118,97.0,0
1116-0-4-30,1124-0-99-99,1116,1124,34.0,0
1412-0-4-30,1139-0-99-99,1412,1139,120.0,0
1524-0-4-30,1141-0-99-99,1524,1141,140.0,0
1046-0-4-30,1142-0-99-99,1046,1142,78.0,0
1130-0-4-30,1145-0-99-99,1130,1145,35.0,0
1153-0-4-30,1146-0-99-99,1153,1146,90.0,0
1382-0-4-30,1150-0-99-99,1382,1150,114.0,0
1133-0-4-30,1156-0-99-99,1133,1156,61.0,0
1572-0-4-30,1157-0-99-99,1572,1157,196.0,0
1544-0-4-30,1160-0-99-99,1544,1160,96.0,0
1176-0-4-30,1168-0-99-99,1176,1168,32.0,0
1212-0-4-30,1170-0-99-99,1212,1170,125.0,0
1588-0-4-30,1180-0-99-99,1588,1180,132.0,0
1595-0-4-30,1187-0-99-99,1595,1187,126.0,0
1186-0-4-30,1202-0-99-99,1186,1202,30.0,0
