o_node,d_node,origin,destination,travel_time,iteration
1506-0-4-48,1002-0-99-99,1506,1002,109.0,0
1126-0-4-48,1006-0-99-99,1126,1006,91.0,0
1243-0-4-48,1021-0-99-99,1243,1021,95.0,0
1382-0-4-48,1021-0-99-99,1382,1021,91.0,0
1571-0-4-48,1021-0-99-99,1571,1021,109.0,0
1232-0-4-48,1022-0-99-99,1232,1022,118.0,0
1175-0-4-48,1023-0-99-99,1175,1023,71.0,0
1018-0-4-48,1034-0-99-99,1018,1034,33.0,0
1518-0-4-48,1034-0-99-99,1518,1034,119.0,0
1590-0-4-48,1034-0-99-99,1590,1034,124.0,0
1250-0-4-48,1035-0-99-99,1250,1035,73.0,0
1214-0-4-48,1036-0-99-99,1214,1036,101.0,0
1219-0-4-48,1036-0-99-99,1219,1036,96.0,0
1574-0-4-48,1036-0-99-99,1574,1036,154.0,0
1591-0-4-48,1036-0-99-99,1591,1036,115.0,0
1131-0-4-48,1037-0-99-99,1131,1037,128.0,0
1238-0-4-48,1037-0-99-99,1238,1037,113.0,0
1285-0-4-48,1037-0-99-99,1285,1037,107.0,0
1406-0-4-48,1037-0-99-99,1406,1037,110.0,0
1131-0-4-48,1038-0-99-99,1131,1038,127.0,0
1389-0-4-48,1038-0-99-99,1389,1038,107.0,0
1422-0-4-48,1038-0-99-99,1422,1038,97.0,0
1559-0-4-48,1038-0-99-99,1559,1038,109.0,0
1076-0-4-48,1042-0-99-99,1076,1042,45.0,0
1245-0-4-48,1042-0-99-99,1245,1042,100.0,0
1090-0-4-48,1043-0-99-99,1090,1043,56.0,0
1427-0-4-48,1043-0-99-99,1427,1043,88.0,0
1250-0-4-48,1045-0-99-99,1250,1045,41.0,0
1214-0-4-48,1046-0-99-99,1214,1046,96.0,0
1411-0-4-48,1046-0-99-99,1411,1046,106.0,0
1313-0-4-48,1047-0-99-99,1313,1047,56.0,0
1520-0-4-48,1047-0-99-99,1520,1047,95.0,0
1574-0-4-48,1049-0-99-99,1574,1049,150.0,0
1252-0-4-48,1050-0-99-99,1252,1050,56.0,0
1522-0-4-48,1050-0-99-99,1522,1050,106.0,0
1280-0-4-48,1051-0-99-99,1280,1051,40.0,0
1328-0-4-48,1051-0-99-99,1328,1051,68.0,0
1266-0-4-48,1052-0-99-99,1266,1052,30.0,0
1447-0-4-48,1052-0-99-99,1447,1052,108.0,0
1464-0-4-48,1052-0-99-99,1464,1052,108.0,0
1495-0-4-48,1052-0-99-99,1495,1052,111.0,0
1538-0-4-48,1052-0-99-99,1538,1052,61.0,0
1591-0-4-48,1055-0-99-99,1591,1055,118.0,0
1425-0-4-48,1056-0-99-99,1425,1056,98.0,0
1444-0-4-48,1056-0-99-99,1444,1056,104.0,0
1619-0-4-48,1056-0-99-99,1619,1056,156.0,0
1200-0-4-48,1057-0-99-99,1200,1057,97.0,0
1277-0-4-48,1057-0-99-99,1277,1057,77.0,0
1539-0-4-48,1057-0-99-99,1539,1057,77.0,0
1601-0-4-48,1057-0-99-99,1601,1057,125.0,0
1122-0-4-48,1058-0-99-99,1122,1058,92.0,0
1270-0-4-48,1058-0-99-99,1270,1058,39.0,0
1450-0-4-48,1058-0-99-99,1450,1058,107.0,0
1411-0-4-48,1059-0-99-99,1411,1059,113.0,0
1090-0-4-48,1060-0-99-99,1090,1060,38.0,0
1484-0-4-48,1062-0-99-99,1484,1062,122.0,0
1544-0-4-48,1063-0-99-99,1544,1063,111.0,0
1621-0-4-48,1063-0-99-99,1621,1063,162.0,0
1110-0-4-48,1065-0-99-99,1110,1065,33.0,0
1122-0-4-48,1065-0-99-99,1122,1065,92.0,0
1202-0-4-48,1065-0-99-99,1202,1065,97.0,0
1424-0-4-48,1065-0-99-99,1424,1065,92.0,0
1572-0-4-48,1065-0-99-99,1572,1065,163.0,0
1122-0-4-48,1066-0-99-99,1122,1066,90.0,0
1263-0-4-48,1067-0-99-99,1263,1067,64.0,0
1120-0-4-48,1068-0-99-99,1120,1068,70.0,0
1330-0-4-48,1068-0-99-99,1330,1068,95.0,0
1602-0-4-48,1068-0-99-99,1602,1068,126.0,0
1606-0-4-48,1068-0-99-99,1606,1068,126.0,0
1483-0-4-48,1070-0-99-99,1483,1070,120.0,0
1510-0-4-48,1076-0-99-99,1510,1076,129.0,0
1600-0-4-48,1076-0-99-99,1600,1076,129.0,0
1039-0-4-48,1078-0-99-99,1039,1078,36.0,0
1524-0-4-48,1078-0-99-99,1524,1078,128.0,0
1562-0-4-48,1078-0-99-99,1562,1078,170.0,0
1365-0-4-48,1080-0-99-99,1365,1080,101.0,0
1143-0-4-48,1085-0-99-99,1143,1085,103.0,0
1513-0-4-48,1090-0-99-99,1513,1090,130.0,0
1132-0-4-48,1104-0-99-99,1132,1104,63.0,0
1389-0-4-48,1113-0-99-99,1389,1113,127.0,0
1286-0-4-48,1114-0-99-99,1286,1114,61.0,0
1022-0-4-48,1116-0-99-99,1022,1116,41.0,0
1400-0-4-48,1118-0-99-99,1400,1118,120.0,0
1116-0-4-48,1124-0-99-99,1116,1124,26.0,0
1412-0-4-48,1139-0-99-99,1412,1139,102.0,0
1524-0-4-48,1141-0-99-99,1524,1141,139.0,0
1046-0-4-48,1142-0-99-99,1046,1142,90.0,0
1130-0-4-48,1145-0-99-99,1130,1145,35.0,0
1153-0-4-48,1146-0-99-99,1153,1146,87.0,0
1382-0-4-48,1150-0-99-99,1382,1150,96.0,0
1133-0-4-48,1156-0-99-99,1133,1156,43.0,0
1572-0-4-48,1157-0-99-99,1572,1157,178.0,0
1544-0-4-48,1160-0-99-99,1544,1160,128.0,0
1176-0-4-48,1168-0-99-99,1176,1168,47.0,0
1212-0-4-48,1170-0-99-99,1212,1170,107.0,0
1588-0-4-48,1180-0-99-99,1588,1180,114.0,0
1595-0-4-48,1187-0-99-99,1595,1187,116.0,0
1186-0-4-48,1202-0-99-99,1186,1202,30.0,0
1223-0-4-48,1203-0-99-99,1223,1203,103.0,0
1139-0-4-48,1211-0-99-99,1139,1211,77.0,0
1166-0-4-48,1218-0-99-99,1166,1218,111.0,0
1523-0-4-48,1218-0-99-99,1523,1218,91.0,0
1554-0-4-48,1218-0-99-99,1554,1218,146.0,0
1620-0-4-48,1220-0-99-99,1620,1220,149.0,0
1197-0-4-48,1227-0-99-99,1197,1227,33.0,0
1233-0-4-48,1227-0-99-99,1233,1227,111.0,0
1560-0-4-48,1243-0-99-99,1560,1243,73.0,0
1575-0-4-48,1243-0-99-99,1575,1243,140.0,0
1224-0-4-48,1247-0-99-99,1224,1247,93.0,0
1251-0-4-48,1247-0-99-99,1251,1247,54.0,0
1524-0-4-48,1253-0-99-99,1524,1253,75.0,0
1383-0-4-48,1260-0-99-99,1383,1260,122.0,0
1110-0-4-48,1272-0-99-99,1110,1272,54.0,0
1250-0-4-48,1275-0-99-99,1250,1275,29.0,0
1144-0-4-48,1277-0-99-99,1144,1277,98.0,0
1347-0-4-48,1285-0-99-99,1347,1285,92.0,0
1431-0-4-48,1285-0-99-99,1431,1285,147.0,0
1544-0-4-48,1298-0-99-99,1544,1298,142.0,0
1131-0-4-48,1299-0-99-99,1131,1299,134.0,0
1271-0-4-48,1307-0-99-99,1271,1307,84.0,0
1290-0-4-48,1307-0-99-99,1290,1307,77.0,0
1353-0-4-48,1307-0-99-99,1353,1307,58.0,0
1458-0-4-48,1313-0-99-99,1458,1313,141.0,0
1124-0-4-48,1317-0-99-99,1124,1317,33.0,0
1326-0-4-48,1317-0-99-99,1326,1317,73.0,0
1133-0-4-48,1331-0-99-99,1133,1331,114.0,0
1177-0-4-48,1355-0-99-99,1177,1355,104.0,0
1110-0-4-48,1356-0-99-99,1110,1356,109.0,0
1039-0-4-48,1357-0-99-99,1039,1357,113.0,0
1385-0-4-48,1358-0-99-99,1385,1358,96.0,0
