o_node,d_node,origin,destination,travel_time,iteration,edge_type
1270-0-20-13,1003-0-99-99,1270,1003,19.0,0,Inner Subway Station
1552-0-20-13,1011-0-99-99,1552,1011,75.0,0,Inner Subway Station
1043-0-20-13,1014-0-99-99,1043,1014,37.0,0,Inner Subway Station
1211-0-20-13,1014-0-99-99,1211,1014,62.0,0,Inner Subway Station
1490-0-20-13,1014-0-99-99,1490,1014,74.0,0,Inner Subway Station
1036-0-20-13,1015-0-99-99,1036,1015,17.0,0,Inner Subway Station
1046-0-20-13,1015-0-99-99,1046,1015,32.0,0,Inner Subway Station
1049-0-20-13,1015-0-99-99,1049,1015,32.0,0,Inner Subway Station
1057-0-20-13,1015-0-99-99,1057,1015,24.0,0,Inner Subway Station
1072-0-20-13,1015-0-99-99,1072,1015,39.0,0,Inner Subway Station
1184-0-20-13,1015-0-99-99,1184,1015,49.0,0,Inner Subway Station
1272-0-20-13,1015-0-99-99,1272,1015,29.0,0,Inner Subway Station
1075-0-20-13,1016-0-99-99,1075,1016,39.0,0,Inner Subway Station
1254-0-20-13,1016-0-99-99,1254,1016,47.0,0,Inner Subway Station
1025-0-20-13,1017-0-99-99,1025,1017,18.0,0,Inner Subway Station
1038-0-20-13,1017-0-99-99,1038,1017,23.0,0,Inner Subway Station
1068-0-20-13,1017-0-99-99,1068,1017,31.0,0,Inner Subway Station
1070-0-20-13,1017-0-99-99,1070,1017,39.0,0,Inner Subway Station
1269-0-20-13,1017-0-99-99,1269,1017,28.0,0,Inner Subway Station
1270-0-20-13,1017-0-99-99,1270,1017,22.0,0,Inner Subway Station
1560-0-20-13,1017-0-99-99,1560,1017,77.0,0,Inner Subway Station
1025-0-20-13,1018-0-99-99,1025,1018,20.0,0,Inner Subway Station
1037-0-20-13,1018-0-99-99,1037,1018,22.0,0,Inner Subway Station
1443-0-20-13,1018-0-99-99,1443,1018,64.0,0,Inner Subway Station
1036-0-20-13,1019-0-99-99,1036,1019,28.0,0,Inner Subway Station
1094-0-20-13,1019-0-99-99,1094,1019,43.0,0,Inner Subway Station
1019-0-20-13,1021-0-99-99,1019,1021,20.0,0,Inner Subway Station
1036-0-20-13,1021-0-99-99,1036,1021,26.0,0,Inner Subway Station
1038-0-20-13,1021-0-99-99,1038,1021,20.0,0,Inner Subway Station
1044-0-20-13,1021-0-99-99,1044,1021,24.0,0,Inner Subway Station
1051-0-20-13,1021-0-99-99,1051,1021,26.0,0,Inner Subway Station
1052-0-20-13,1021-0-99-99,1052,1021,26.0,0,Inner Subway Station
1054-0-20-13,1021-0-99-99,1054,1021,27.0,0,Inner Subway Station
1071-0-20-13,1021-0-99-99,1071,1021,24.0,0,Inner Subway Station
1073-0-20-13,1021-0-99-99,1073,1021,28.0,0,Inner Subway Station
1091-0-20-13,1021-0-99-99,1091,1021,39.0,0,Inner Subway Station
1122-0-20-13,1021-0-99-99,1122,1021,47.0,0,Inner Subway Station
1157-0-20-13,1021-0-99-99,1157,1021,50.0,0,Inner Subway Station
1180-0-20-13,1021-0-99-99,1180,1021,43.0,0,Inner Subway Station
1210-0-20-13,1021-0-99-99,1210,1021,39.0,0,Inner Subway Station
1301-0-20-13,1021-0-99-99,1301,1021,54.0,0,Inner Subway Station
1423-0-20-13,1021-0-99-99,1423,1021,43.0,0,Inner Subway Station
1481-0-20-13,1021-0-99-99,1481,1021,63.0,0,Inner Subway Station
1490-0-20-13,1021-0-99-99,1490,1021,54.0,0,Inner Subway Station
1063-0-20-13,1022-0-99-99,1063,1022,33.0,0,Inner Subway Station
1085-0-20-13,1022-0-99-99,1085,1022,54.0,0,Inner Subway Station
1093-0-20-13,1022-0-99-99,1093,1022,33.0,0,Inner Subway Station
1105-0-20-13,1022-0-99-99,1105,1022,36.0,0,Inner Subway Station
1201-0-20-13,1022-0-99-99,1201,1022,39.0,0,Inner Subway Station
1211-0-20-13,1022-0-99-99,1211,1022,46.0,0,Inner Subway Station
1321-0-20-13,1022-0-99-99,1321,1022,53.0,0,Inner Subway Station
1211-0-20-13,1023-0-99-99,1211,1023,48.0,0,Inner Subway Station
1084-0-20-13,1024-0-99-99,1084,1024,41.0,0,Inner Subway Station
1269-0-20-13,1024-0-99-99,1269,1024,31.0,0,Inner Subway Station
1391-0-20-13,1024-0-99-99,1391,1024,81.0,0,Inner Subway Station
1081-0-20-13,1024-0-99-99,1081,1024,32.0,0,Inner Subway Station
1038-0-20-13,1025-0-99-99,1038,1025,21.0,0,Inner Subway Station
1045-0-20-13,1025-0-99-99,1045,1025,34.0,0,Inner Subway Station
1047-0-20-13,1025-0-99-99,1047,1025,34.0,0,Inner Subway Station
1052-0-20-13,1025-0-99-99,1052,1025,18.0,0,Inner Subway Station
1071-0-20-13,1025-0-99-99,1071,1025,34.0,0,Inner Subway Station
1227-0-20-13,1025-0-99-99,1227,1025,63.0,0,Inner Subway Station
1270-0-20-13,1025-0-99-99,1270,1025,23.0,0,Inner Subway Station
1525-0-20-13,1025-0-99-99,1525,1025,69.0,0,Inner Subway Station
1067-0-20-13,1026-0-99-99,1067,1026,25.0,0,Inner Subway Station
1069-0-20-13,1026-0-99-99,1069,1026,35.0,0,Inner Subway Station
1071-0-20-13,1026-0-99-99,1071,1026,35.0,0,Inner Subway Station
1203-0-20-13,1026-0-99-99,1203,1026,35.0,0,Inner Subway Station
1227-0-20-13,1026-0-99-99,1227,1026,65.0,0,Inner Subway Station
1365-0-20-13,1026-0-99-99,1365,1026,70.0,0,Inner Subway Station
1040-0-20-13,1034-0-99-99,1040,1034,23.0,0,Inner Subway Station
1077-0-20-13,1034-0-99-99,1077,1034,29.0,0,Inner Subway Station
1104-0-20-13,1034-0-99-99,1104,1034,43.0,0,Inner Subway Station
1130-0-20-13,1034-0-99-99,1130,1034,66.0,0,Inner Subway Station
1195-0-20-13,1034-0-99-99,1195,1034,44.0,0,Inner Subway Station
1267-0-20-13,1034-0-99-99,1267,1034,32.0,0,Inner Subway Station
1273-0-20-13,1034-0-99-99,1273,1034,44.0,0,Inner Subway Station
1377-0-20-13,1034-0-99-99,1377,1034,90.0,0,Inner Subway Station
1043-0-20-13,1035-0-99-99,1043,1035,22.0,0,Inner Subway Station
1244-0-20-13,1035-0-99-99,1244,1035,71.0,0,Inner Subway Station
1053-0-20-13,1036-0-99-99,1053,1036,16.0,0,Inner Subway Station
1093-0-20-13,1036-0-99-99,1093,1036,41.0,0,Inner Subway Station
1607-0-20-13,1036-0-99-99,1607,1036,87.0,0,Inner Subway Station
1020-0-20-13,1037-0-99-99,1020,1037,28.0,0,Inner Subway Station
1070-0-20-13,1037-0-99-99,1070,1037,32.0,0,Inner Subway Station
1071-0-20-13,1037-0-99-99,1071,1037,32.0,0,Inner Subway Station
1187-0-20-13,1037-0-99-99,1187,1037,32.0,0,Inner Subway Station
1366-0-20-13,1037-0-99-99,1366,1037,70.0,0,Inner Subway Station
1523-0-20-13,1037-0-99-99,1523,1037,61.0,0,Inner Subway Station
1043-0-20-13,1038-0-99-99,1043,1038,18.0,0,Inner Subway Station
1045-0-20-13,1038-0-99-99,1045,1038,22.0,0,Inner Subway Station
1050-0-20-13,1038-0-99-99,1050,1038,5.0,0,Inner Subway Station
1055-0-20-13,1038-0-99-99,1055,1038,22.0,0,Inner Subway Station
1090-0-20-13,1038-0-99-99,1090,1038,35.0,0,Inner Subway Station
1126-0-20-13,1038-0-99-99,1126,1038,52.0,0,Inner Subway Station
1202-0-20-13,1038-0-99-99,1202,1038,31.0,0,Inner Subway Station
1211-0-20-13,1038-0-99-99,1211,1038,40.0,0,Inner Subway Station
1212-0-20-13,1038-0-99-99,1212,1038,43.0,0,Inner Subway Station
1391-0-20-13,1038-0-99-99,1391,1038,75.0,0,Inner Subway Station
1022-0-20-13,1039-0-99-99,1022,1039,11.0,0,Inner Subway Station
1059-0-20-13,1039-0-99-99,1059,1039,27.0,0,Inner Subway Station
1204-0-20-13,1039-0-99-99,1204,1039,24.0,0,Inner Subway Station
1250-0-20-13,1039-0-99-99,1250,1039,41.0,0,Inner Subway Station
1448-0-20-13,1039-0-99-99,1448,1039,40.0,0,Inner Subway Station
1451-0-20-13,1039-0-99-99,1451,1039,52.0,0,Inner Subway Station
1016-0-20-13,1040-0-99-99,1016,1040,30.0,0,Inner Subway Station
1041-0-20-13,1040-0-99-99,1041,1040,15.0,0,Inner Subway Station
1070-0-20-13,1040-0-99-99,1070,1040,25.0,0,Inner Subway Station
1258-0-20-13,1040-0-99-99,1258,1040,36.0,0,Inner Subway Station
1271-0-20-13,1040-0-99-99,1271,1040,28.0,0,Inner Subway Station
