iteration,period,group,ge_single
0,AM,bl,0.021412536836034193
0,AM,c0,0.024127133008994092
0,AM,imm,0.021781298905864183
0,AM,lep,0.021051267561762795
0,AM,lico,0.022431968943454266
0,AM,rac,0.021327161588217243
0,AM,raw,0.021848533006800747
1,AM,bl,0.021406872070054993
1,AM,c0,0.024123694734983145
1,AM,imm,0.021771345841498105
1,AM,lep,0.021028040126644203
1,AM,lico,0.022423789587505336
1,AM,rac,0.021313762634784347
1,AM,raw,0.021839734034219
2,AM,bl,0.02140687019890181
2,AM,c0,0.024123694734983145
2,AM,imm,0.021771342203134533
2,AM,lep,0.021028024677404774
2,AM,lico,0.022423789587505336
2,AM,rac,0.02131375667196312
2,AM,raw,0.021839730878879544
3,AM,bl,0.021406782976760342
3,AM,c0,0.02412366296267511
3,AM,imm,0.021771164931068253
3,AM,lep,0.021027634985604844
3,AM,lico,0.02242360289753478
3,AM,rac,0.021313550545458883
3,AM,raw,0.021839611546565368
4,AM,bl,0.021406641044961698
4,AM,c0,0.02412366296267511
4,AM,imm,0.021770964362022728
4,AM,lep,0.0210270696498022
4,AM,lico,0.02242360289753478
4,AM,rac,0.02131324905028622
4,AM,raw,0.021839426337079602
5,AM,bl,0.0214050644902001
5,AM,c0,0.02412266656659577
5,AM,imm,0.02176874296246884
5,AM,lep,0.02102162726602237
5,AM,lico,0.02241759572695692
5,AM,rac,0.02131018758489649
5,AM,raw,0.0218376874172967
6,AM,bl,0.021404275966383342
6,AM,c0,0.024122325422291827
6,AM,imm,0.021767280997386212
6,AM,lep,0.02101843217857587
6,AM,lico,0.02241576007426767
6,AM,rac,0.02130826234579775
6,AM,raw,0.021836571364743415
7,AM,bl,0.021392958590918845
7,AM,c0,0.024120459693711786
7,AM,imm,0.02176266198705194
7,AM,lep,0.021015534851751894
7,AM,lico,0.022408207340422738
7,AM,rac,0.021300752658121182
7,AM,raw,0.02183075354934149
8,AM,bl,0.021392733121873522
8,AM,c0,0.024120367255509045
8,AM,imm,0.021762251830048245
8,AM,lep,0.021013665015065765
8,AM,lico,0.022407668498384936
8,AM,rac,0.021299840666266966
8,AM,raw,0.021830269987656928
9,AM,bl,0.021385611158604084
9,AM,c0,0.024112558871329244
9,AM,imm,0.021752734902717803
9,AM,lep,0.02100673927389834
9,AM,lico,0.022401655211145503
9,AM,rac,0.021290801581866827
9,AM,raw,0.021821421392383283
10,AM,bl,0.021385390240585313
10,AM,c0,0.02411236017974112
10,AM,imm,0.021752671459748282
10,AM,lep,0.0210067071412668
10,AM,lico,0.022401650062839108
10,AM,rac,0.021290686249354433
10,AM,raw,0.021821341702717812
11,AM,bl,0.021385390240585313
11,AM,c0,0.02411236017974112
11,AM,imm,0.021752671459748282
11,AM,lep,0.0210067071412668
11,AM,lico,0.022401650062839108
11,AM,rac,0.021290686249354433
11,AM,raw,0.021821341702717812
12,AM,bl,0.021385390240585313
12,AM,c0,0.02411236017974112
12,AM,imm,0.021752671459748282
12,AM,lep,0.0210067071412668
12,AM,lico,0.022401650062839108
12,AM,rac,0.021290686249354433
12,AM,raw,0.021821341702717812
13,AM,bl,0.021385390240585313
13,AM,c0,0.02411236017974112
13,AM,imm,0.021752671459748282
13,AM,lep,0.0210067071412668
13,AM,lico,0.022401650062839108
13,AM,rac,0.021290686249354433
13,AM,raw,0.021821341702717812
14,AM,bl,0.021385390240585313
14,AM,c0,0.02411236017974112
14,AM,imm,0.021752671459748282
14,AM,lep,0.0210067071412668
14,AM,lico,0.022401650062839108
14,AM,rac,0.021290686249354433
14,AM,raw,0.021821341702717812
15,AM,bl,0.021381431978174416
15,AM,c0,0.02411058179807522
15,AM,imm,0.02174772199483625
15,AM,lep,0.021002544898778987
15,AM,lico,0.022399713078543937
15,AM,rac,0.02128586508774853
15,AM,raw,0.021817267319591827
16,AM,bl,0.021381378466282
16,AM,c0,0.02411058179807522
16,AM,imm,0.021747708807855207
16,AM,lep,0.021002524960118573
16,AM,lico,0.022399713078543937
16,AM,rac,0.021285808187844667
16,AM,raw,0.021817230391705553
17,AM,bl,0.021373328819880168
17,AM,c0,0.024102523870850663
17,AM,imm,0.021738671218155085
17,AM,lep,0.02099544817878282
17,AM,lico,0.022389447453554832
17,AM,rac,0.02127722044014542
17,AM,raw,0.021809430696820932
18,AM,bl,0.02137094694218489
18,AM,c0,0.024101041214609556
18,AM,imm,0.021735641855694716
18,AM,lep,0.020992847737399394
18,AM,lico,0.022388304994861143
18,AM,rac,0.021274244083571887
18,AM,raw,0.021807078841869137
19,AM,bl,0.021370906236877645
19,AM,c0,0.02410099166264459
19,AM,imm,0.021735600846515598
19,AM,lep,0.020992814349899375
19,AM,lico,0.0223882428926885
19,AM,rac,0.02127420356108125
19,AM,raw,0.02180703757301433
20,AM,bl,0.021370844272427407
20,AM,c0,0.02410073495961511
20,AM,imm,0.021735539911622196
