iteration,period,group,ge_single
0,AM,bl,0.021412536836034193
0,AM,c0,0.024127133008994092
0,AM,imm,0.021781298905864183
0,AM,lep,0.021051267561762795
0,AM,lico,0.022431968943454266
0,AM,rac,0.021327161588217243
0,AM,raw,0.021848533006800747
1,AM,bl,0.02127164530703717
1,AM,c0,0.023892452759155306
1,AM,imm,0.021374261118776283
1,AM,lep,0.020776453281984103
1,AM,lico,0.02228844462838813
1,AM,rac,0.021010699516517673
1,AM,raw,0.02151681121268914
2,AM,bl,0.021266593256062376
2,AM,c0,0.02386162759436117
2,AM,imm,0.02136020483872462
2,AM,lep,0.020771644303822827
2,AM,lico,0.022286535884006795
2,AM,rac,0.02099998284562594
2,AM,raw,0.021505091992427526
3,AM,bl,0.02086313775335943
3,AM,c0,0.023479942123015875
3,AM,imm,0.02100766222072835
3,AM,lep,0.020398225885716534
3,AM,lico,0.021921601784055885
3,AM,rac,0.020586639303903333
3,AM,raw,0.021084560048058493
4,AM,bl,0.020862678000699377
4,AM,c0,0.02347891170814594
4,AM,imm,0.021007296655822325
4,AM,lep,0.020397705241893355
4,AM,lico,0.021921452677626407
4,AM,rac,0.02058610396578726
4,AM,raw,0.02108384562563062
5,AM,bl,0.02084683689258431
5,AM,c0,0.023433745980370964
5,AM,imm,0.020984342428355656
5,AM,lep,0.02039022932157578
5,AM,lico,0.02190776837531873
5,AM,rac,0.02056953716043386
5,AM,raw,0.021068912546118396
6,AM,bl,0.020844014501867146
6,AM,c0,0.02341973082204796
6,AM,imm,0.020978110333326725
6,AM,lep,0.020387502239603037
6,AM,lico,0.021907734709610386
6,AM,rac,0.02056387454969775
6,AM,raw,0.021062670739097646
7,AM,bl,0.020753341080173265
7,AM,c0,0.02336857820171209
7,AM,imm,0.02090787257883532
7,AM,lep,0.02031395086899718
7,AM,lico,0.02183298776938605
7,AM,rac,0.02047397355804456
7,AM,raw,0.02098662866602961
8,AM,bl,0.020749252981637267
8,AM,c0,0.023362936169499686
8,AM,imm,0.02090520935548868
8,AM,lep,0.02031237518022974
8,AM,lico,0.02182642484573771
8,AM,rac,0.020471233518797906
8,AM,raw,0.020984397212805195
9,AM,bl,0.02072067022989794
9,AM,c0,0.02334964609840568
9,AM,imm,0.020882406551091144
9,AM,lep,0.020291642400310422
9,AM,lico,0.021798678751352142
9,AM,rac,0.020444404826950858
9,AM,raw,0.020961698573731067
10,AM,bl,0.02070949760746242
10,AM,c0,0.023340239337818532
10,AM,imm,0.02087470684745562
10,AM,lep,0.02028433746413827
10,AM,lico,0.021789512738673956
10,AM,rac,0.020435234526989546
10,AM,raw,0.020952411160478746
11,AM,bl,0.020368031394966714
11,AM,c0,0.0230218786013761
11,AM,imm,0.0205273830945474
11,AM,lep,0.01996391349044784
11,AM,lico,0.021622035800955355
11,AM,rac,0.020136260865279094
11,AM,raw,0.020568922837537168
12,AM,bl,0.020362030538776978
12,AM,c0,0.022998523319168393
12,AM,imm,0.020516200828496516
12,AM,lep,0.0199603680297828
12,AM,lico,0.021620122704539696
12,AM,rac,0.020126414143076112
12,AM,raw,0.020552671625318465
13,AM,bl,0.02028064677703082
13,AM,c0,0.022870329597591322
13,AM,imm,0.02022132113714207
13,AM,lep,0.01974207479518846
13,AM,lico,0.02149222970901933
13,AM,rac,0.019892811386624208
13,AM,raw,0.02035509872463148
14,AM,bl,0.020276416613047868
14,AM,c0,0.022855197126574897
14,AM,imm,0.020210962187828713
14,AM,lep,0.019738375524946273
14,AM,lico,0.021485891825183748
14,AM,rac,0.01988580879775844
14,AM,raw,0.020342051620503638
15,AM,bl,0.02027629254042013
15,AM,c0,0.022854910722781698
15,AM,imm,0.02021068838001432
15,AM,lep,0.019738278982801186
15,AM,lico,0.02148587394430585
15,AM,rac,0.019885631191954516
15,AM,raw,0.02034173360832504
16,AM,bl,0.020269164439486568
16,AM,c0,0.02284474767620772
16,AM,imm,0.02020616135695437
16,AM,lep,0.019733984479539817
16,AM,lico,0.021478635746635256
16,AM,rac,0.019878734997875867
16,AM,raw,0.02033520288957749
17,AM,bl,0.02026916029521537
17,AM,c0,0.022844715720032164
17,AM,imm,0.020206151961292006
17,AM,lep,0.019733981178921455
17,AM,lico,0.021478635746635256
17,AM,rac,0.019878728709699374
17,AM,raw,0.02033518900228435
18,AM,bl,0.020265454634967914
18,AM,c0,0.022840937424877385
18,AM,imm,0.020187631874055124
18,AM,lep,0.019719862691039498
18,AM,lico,0.021472915341958086
18,AM,rac,0.019864918257356305
18,AM,raw,0.02032522127301451
19,AM,bl,0.020252648590549545
19,AM,c0,0.022826666597585532
19,AM,imm,0.020178355703865766
19,AM,lep,0.01970891048767683
19,AM,lico,0.0214591389709078
19,AM,rac,0.019851327647202786
19,AM,raw,0.020313848544261638
20,AM,bl,0.02008572373624735
20,AM,c0,0.022618753315491607
20,AM,imm,0.020040523344451285
