iteration,period,group,ge_single
0,AM,bl,0.021412536836034193
0,AM,c0,0.024127133008994092
0,AM,imm,0.021781298905864183
0,AM,lep,0.021051267561762795
0,AM,lico,0.022431968943454266
0,AM,rac,0.021327161588217243
0,AM,raw,0.021848533006800747
1,AM,bl,0.020992506613943446
1,AM,c0,0.02384175247596481
1,AM,imm,0.021440409141996426
1,AM,lep,0.020759812813022752
1,AM,lico,0.022051550451953127
1,AM,rac,0.020918125888278342
1,AM,raw,0.021515801875824074
2,AM,bl,0.020837195501357757
2,AM,c0,0.023635822339805455
2,AM,imm,0.02076877953407587
2,AM,lep,0.020197983811986463
2,AM,lico,0.021799385887913577
2,AM,rac,0.02037456118785855
2,AM,raw,0.021123222578996077
3,AM,bl,0.020763391607407016
3,AM,c0,0.02360326259604822
3,AM,imm,0.020715951043352793
3,AM,lep,0.020137941994429014
3,AM,lico,0.02173841311446862
3,AM,rac,0.02029918505242024
3,AM,raw,0.02107212326294427
4,AM,bl,0.020750428924246216
4,AM,c0,0.02358419860955212
4,AM,imm,0.0206373038374418
4,AM,lep,0.02007692962431807
4,AM,lico,0.021715194832500756
4,AM,rac,0.02023945054656134
4,AM,raw,0.021030975824173632
5,AM,bl,0.02074467670415997
5,AM,c0,0.023581473054306124
5,AM,imm,0.020631915357308128
5,AM,lep,0.020070357328435935
5,AM,lico,0.02171062127136681
5,AM,rac,0.020232149919512873
5,AM,raw,0.02102626233473081
6,AM,bl,0.02074203342100497
6,AM,c0,0.023580385797117246
6,AM,imm,0.020629508418048868
6,AM,lep,0.020067530389989804
6,AM,lico,0.02170659775475354
6,AM,rac,0.020228778858244728
6,AM,raw,0.021024149292962053
7,AM,bl,0.020738037798474412
7,AM,c0,0.023564481600034028
7,AM,imm,0.020600908984983672
7,AM,lep,0.020043370107321008
7,AM,lico,0.021699970767085724
7,AM,rac,0.020206280781875596
7,AM,raw,0.021009896195508204
8,AM,bl,0.020451375071046506
8,AM,c0,0.023393342293690746
8,AM,imm,0.020222254674033057
8,AM,lep,0.019759374249306846
8,AM,lico,0.021504524512654204
8,AM,rac,0.019924391891852054
8,AM,raw,0.020733266457253995
9,AM,bl,0.020331146680249015
9,AM,c0,0.023317597734298482
9,AM,imm,0.020113247076642325
9,AM,lep,0.0196595067788831
9,AM,lico,0.021417632077992105
9,AM,rac,0.01981658186743671
9,AM,raw,0.020574653196644324
10,AM,bl,0.020319105493165165
10,AM,c0,0.023311445416768377
10,AM,imm,0.020099424305655877
10,AM,lep,0.01965028684680668
10,AM,lico,0.021405485138139876
10,AM,rac,0.019806397720032072
10,AM,raw,0.020565442212371825
11,AM,bl,0.02031383502689857
11,AM,c0,0.02326996272537394
11,AM,imm,0.02006056708716272
11,AM,lep,0.019621070696815828
11,AM,lico,0.021357629697788653
11,AM,rac,0.019778664645294503
11,AM,raw,0.020547514343303465
12,AM,bl,0.020309509631342454
12,AM,c0,0.02326711017943833
12,AM,imm,0.02005541761098379
12,AM,lep,0.019617509742845166
12,AM,lico,0.021354534054333463
12,AM,rac,0.01977455140261017
12,AM,raw,0.020543690204275582
13,AM,bl,0.02030894624436246
13,AM,c0,0.02326542883730061
13,AM,imm,0.02005474915475653
13,AM,lep,0.01961672766049209
13,AM,lico,0.021351987904011854
13,AM,rac,0.01977393722798283
13,AM,raw,0.020542187695466594
14,AM,bl,0.020285694276544697
14,AM,c0,0.023255552510400252
14,AM,imm,0.02003332630687539
14,AM,lep,0.019596813897692644
14,AM,lico,0.021340807573863155
14,AM,rac,0.019754837472774872
14,AM,raw,0.020524724969109957
15,AM,bl,0.02028566189691419
15,AM,c0,0.023255552510400252
15,AM,imm,0.02003322646985099
15,AM,lep,0.019596800802061193
15,AM,lico,0.021340807573863155
15,AM,rac,0.019754794231689937
15,AM,raw,0.02052468695027761
16,AM,bl,0.020283245101949586
16,AM,c0,0.023253638633390333
16,AM,imm,0.020030109487927498
16,AM,lep,0.019590779434699838
16,AM,lico,0.021337098736749258
16,AM,rac,0.01974996024700326
16,AM,raw,0.02052187549445846
17,AM,bl,0.02023717988927195
17,AM,c0,0.0231314675521553
17,AM,imm,0.019964842682516738
17,AM,lep,0.019541060504273258
17,AM,lico,0.02132092937238542
17,AM,rac,0.019691092951723117
17,AM,raw,0.020437390810009906
18,AM,bl,0.020236958456520508
18,AM,c0,0.023131322597620147
18,AM,imm,0.01996449832196819
18,AM,lep,0.019540189274239894
18,AM,lico,0.021320666693439218
18,AM,rac,0.019690549956528806
18,AM,raw,0.020437089695935353
19,AM,bl,0.02023556214278717
19,AM,c0,0.023130653049046542
19,AM,imm,0.0199636888446009
19,AM,lep,0.01953931606382746
19,AM,lico,0.02131917636807406
19,AM,rac,0.01968941315510731
19,AM,raw,0.020435746069592503
20,AM,bl,0.02023549307480696
20,AM,c0,0.023130653049046542
20,AM,imm,0.01996364567512973
