iteration,period,group,ge_single
0,AM,bl,0.021412536836034193
0,AM,c0,0.024127133008994092
0,AM,imm,0.021781298905864183
0,AM,lep,0.021051267561762795
0,AM,lico,0.022431968943454266
0,AM,rac,0.021327161588217243
0,AM,raw,0.021848533006800747
1,AM,bl,0.021388149562374
1,AM,c0,0.0240817585074901
1,AM,imm,0.021756157408804905
1,AM,lep,0.021020913666411546
1,AM,lico,0.022422033576990165
1,AM,rac,0.021301254934892995
1,AM,raw,0.021806565539605104
2,AM,bl,0.021387355084792087
2,AM,c0,0.024080513610415532
2,AM,imm,0.021755312058411656
2,AM,lep,0.021019562449721807
2,AM,lico,0.022421951947948875
2,AM,rac,0.021300352294569953
2,AM,raw,0.021804996954502928
3,AM,bl,0.02138525821506531
3,AM,c0,0.024075913162774867
3,AM,imm,0.0217529701985549
3,AM,lep,0.02101831872359086
3,AM,lico,0.02242152288847026
3,AM,rac,0.021297888288590066
3,AM,raw,0.021801788939039696
4,AM,bl,0.02138430065086093
4,AM,c0,0.024074676110139078
4,AM,imm,0.021751925763747768
4,AM,lep,0.02101708261633912
4,AM,lico,0.022421229715265185
4,AM,rac,0.02129690620216426
4,AM,raw,0.021800112157126007
5,AM,bl,0.021383177901841823
5,AM,c0,0.02407316526572349
5,AM,imm,0.02175057481171935
5,AM,lep,0.021015757785367017
5,AM,lico,0.022421055745833328
5,AM,rac,0.02129566243426565
5,AM,raw,0.021798017477482116
6,AM,bl,0.02138244812629716
6,AM,c0,0.024072391802006286
6,AM,imm,0.021749601153822563
6,AM,lep,0.021015351981433627
6,AM,lico,0.022420536026879517
6,AM,rac,0.021294797419805212
6,AM,raw,0.02179708855258454
7,AM,bl,0.021382118117523767
7,AM,c0,0.024072051497905533
7,AM,imm,0.021749173311122867
7,AM,lep,0.021015187468083923
7,AM,lico,0.022420410428132347
7,AM,rac,0.021294466688573137
7,AM,raw,0.021796736575449147
8,AM,bl,0.02138131869273721
8,AM,c0,0.0240696080267794
8,AM,imm,0.021748663552616912
8,AM,lep,0.021012827877072635
8,AM,lico,0.0224185748941357
8,AM,rac,0.02129357428438681
8,AM,raw,0.021795979542366718
9,AM,bl,0.02138039206670053
9,AM,c0,0.024066871699836852
9,AM,imm,0.021747592461440975
9,AM,lep,0.02101031004289725
9,AM,lico,0.02241854772232135
9,AM,rac,0.02129246844319895
9,AM,raw,0.02179389891682897
10,AM,bl,0.021380366752303998
10,AM,c0,0.024066673276259113
10,AM,imm,0.021747558828118477
10,AM,lep,0.021010277814555726
10,AM,lico,0.02241854772232135
10,AM,rac,0.021292437025159216
10,AM,raw,0.021793840762021406
11,AM,bl,0.021380205798350572
11,AM,c0,0.024066622146378225
11,AM,imm,0.02174743400287283
11,AM,lep,0.021010204038506893
11,AM,lico,0.02241854772232135
11,AM,rac,0.02129230466164422
11,AM,raw,0.021793622384218437
12,AM,bl,0.021380205798350572
12,AM,c0,0.024066622146378225
12,AM,imm,0.02174743400287283
12,AM,lep,0.021010204038506893
12,AM,lico,0.02241854772232135
12,AM,rac,0.02129230466164422
12,AM,raw,0.021793622384218437
13,AM,bl,0.021380031204839407
13,AM,c0,0.02406658645065021
13,AM,imm,0.021747236695307003
13,AM,lep,0.021010099597613935
13,AM,lico,0.02241840510103335
13,AM,rac,0.02129212312126693
13,AM,raw,0.02179335157834991
14,AM,bl,0.021380005746616203
14,AM,c0,0.024066393796194702
14,AM,imm,0.021747187657871554
14,AM,lep,0.0210099614258893
14,AM,lico,0.02241840510103335
14,AM,rac,0.021292035382623222
14,AM,raw,0.02179326999186844
15,AM,bl,0.021379970512900637
15,AM,c0,0.024066393796194702
15,AM,imm,0.021747154031591123
15,AM,lep,0.021009945420538585
15,AM,lico,0.02241840510103335
15,AM,rac,0.021292003039675756
15,AM,raw,0.02179322075103526
16,AM,bl,0.02137996504536501
16,AM,c0,0.024066393796194702
16,AM,imm,0.021747147226396514
16,AM,lep,0.0210099426973477
16,AM,lico,0.02241840510103335
16,AM,rac,0.021291997175163602
16,AM,raw,0.021793212305896963
17,AM,bl,0.021379942715282523
17,AM,c0,0.024066295654106135
17,AM,imm,0.021747136135922177
17,AM,lep,0.021009928997917243
17,AM,lico,0.0224183034199471
17,AM,rac,0.02129197840698897
17,AM,raw,0.021793171925088686
18,AM,bl,0.021379942715282523
18,AM,c0,0.024066295654106135
18,AM,imm,0.021747136135922177
18,AM,lep,0.021009928997917243
18,AM,lico,0.0224183034199471
18,AM,rac,0.02129197840698897
18,AM,raw,0.021793171925088686
19,AM,bl,0.02137977093032595
19,AM,c0,0.024066063371294102
19,AM,imm,0.021747002265808186
19,AM,lep,0.02100977035300891
19,AM,lico,0.02241810472024126
19,AM,rac,0.021291848947412793
19,AM,raw,0.021793013120707718
20,AM,bl,0.02137977093032595
20,AM,c0,0.024066063371294102
20,AM,imm,0.021747002265808186
