iteration,period,group,ge_single
0,EM,bl,0.01306683142282198
0,EM,c0,0.013647418383460178
0,EM,imm,0.012431496516986471
0,EM,lep,0.013745145579904952
0,EM,lico,0.014042424204170054
0,EM,rac,0.012771916404745206
0,EM,raw,0.013422512860357859
1,EM,bl,0.01282145499110294
1,EM,c0,0.01345123114710111
1,EM,imm,0.012163301432037994
1,EM,lep,0.013566961065587555
1,EM,lico,0.013649470908589192
1,EM,rac,0.012544133167946642
1,EM,raw,0.013157841559666544
2,EM,bl,0.01282145499110294
2,EM,c0,0.01345123114710111
2,EM,imm,0.012163301432037994
2,EM,lep,0.013566961065587555
2,EM,lico,0.013649470908589192
2,EM,rac,0.012544133167946642
2,EM,raw,0.013157841559666544
3,EM,bl,0.012699588037563804
3,EM,c0,0.013330810511842083
3,EM,imm,0.012063875773518296
3,EM,lep,0.013469006423763454
3,EM,lico,0.01355803611191663
3,EM,rac,0.012451716533419116
3,EM,raw,0.013043984772661684
4,EM,bl,0.012669411238514151
4,EM,c0,0.013317141238287767
4,EM,imm,0.012034510023914896
4,EM,lep,0.013429969199477147
4,EM,lico,0.013516365112552811
4,EM,rac,0.0124162273024984
4,EM,raw,0.012991352142271862
5,EM,bl,0.012669411238514151
5,EM,c0,0.013317141238287767
5,EM,imm,0.012034510023914896
5,EM,lep,0.013429969199477147
5,EM,lico,0.013516365112552811
5,EM,rac,0.0124162273024984
5,EM,raw,0.012991352142271862
6,EM,bl,0.012669411238514151
6,EM,c0,0.013317141238287767
6,EM,imm,0.012034510023914896
6,EM,lep,0.013429969199477147
6,EM,lico,0.013516365112552811
6,EM,rac,0.0124162273024984
6,EM,raw,0.012991352142271862
7,EM,bl,0.012489222586188828
7,EM,c0,0.013150400523057978
7,EM,imm,0.011908105068533311
7,EM,lep,0.013293637904050913
7,EM,lico,0.01336291044354654
7,EM,rac,0.012302400205437885
7,EM,raw,0.012872280680919375
8,EM,bl,0.012485375938879663
8,EM,c0,0.013150400523057978
8,EM,imm,0.011904684114634065
8,EM,lep,0.013290036151143603
8,EM,lico,0.013351823795570854
8,EM,rac,0.012299036024335174
8,EM,raw,0.012867162325592056
9,EM,bl,0.012483595550825455
9,EM,c0,0.013150400523057978
9,EM,imm,0.011903100755161072
9,EM,lep,0.013288369110384468
9,EM,lico,0.013346692434665967
9,EM,rac,0.012297478941669136
9,EM,raw,0.012864793338276727
10,EM,bl,0.012483595550825455
10,EM,c0,0.013150400523057978
10,EM,imm,0.011903100755161072
10,EM,lep,0.013288369110384468
10,EM,lico,0.013346692434665967
10,EM,rac,0.012297478941669136
10,EM,raw,0.012864793338276727
11,EM,bl,0.012483595550825455
11,EM,c0,0.013150400523057978
