iteration,period,group,ge_single
0,EM,bl,0.01306683142282198
0,EM,c0,0.013647418383460178
0,EM,imm,0.012431496516986471
0,EM,lep,0.013745145579904952
0,EM,lico,0.014042424204170054
0,EM,rac,0.012771916404745206
0,EM,raw,0.013422512860357859
1,EM,bl,0.01306282513585214
1,EM,c0,0.013640757551381402
1,EM,imm,0.012428452751118667
1,EM,lep,0.013742539259911691
1,EM,lico,0.014035364209693145
1,EM,rac,0.012768357047386172
1,EM,raw,0.013419253483815827
2,EM,bl,0.01306282513585214
2,EM,c0,0.013640757551381402
2,EM,imm,0.012428452751118667
2,EM,lep,0.013742539259911691
2,EM,lico,0.014035364209693145
2,EM,rac,0.012768357047386172
2,EM,raw,0.013419253483815827
3,EM,bl,0.01306282513585214
3,EM,c0,0.013640757551381402
3,EM,imm,0.012428452751118667
3,EM,lep,0.013742539259911691
3,EM,lico,0.014035364209693145
3,EM,rac,0.012768357047386172
3,EM,raw,0.013419253483815827
4,EM,bl,0.01306282513585214
4,EM,c0,0.013640757551381402
4,EM,imm,0.012428452751118667
4,EM,lep,0.013742539259911691
4,EM,lico,0.014035364209693145
4,EM,rac,0.012768357047386172
4,EM,raw,0.013419253483815827
5,EM,bl,0.01306282513585214
5,EM,c0,0.013640757551381402
5,EM,imm,0.012428452751118667
5,EM,lep,0.013742539259911691
5,EM,lico,0.014035364209693145
5,EM,rac,0.012768357047386172
5,EM,raw,0.013419253483815827
6,EM,bl,0.01306282513585214
6,EM,c0,0.013640757551381402
6,EM,imm,0.012428452751118667
6,EM,lep,0.013742539259911691
6,EM,lico,0.014035364209693145
6,EM,rac,0.012768357047386172
6,EM,raw,0.013419253483815827
7,EM,bl,0.01306282513585214
7,EM,c0,0.013640757551381402
7,EM,imm,0.012428452751118667
7,EM,lep,0.013742539259911691
7,EM,lico,0.014035364209693145
7,EM,rac,0.012768357047386172
7,EM,raw,0.013419253483815827
8,EM,bl,0.01306282513585214
8,EM,c0,0.013640757551381402
8,EM,imm,0.012428452751118667
8,EM,lep,0.013742539259911691
8,EM,lico,0.014035364209693145
8,EM,rac,0.012768357047386172
8,EM,raw,0.013419253483815827
9,EM,bl,0.013051496298487819
9,EM,c0,0.013637793575698685
9,EM,imm,0.01241885765338487
9,EM,lep,0.013723966286647564
9,EM,lico,0.014028451598842214
9,EM,rac,0.012755904392480982
9,EM,raw,0.013404167721262385
10,EM,bl,0.013051355416857481
10,EM,c0,0.013636457528969905
10,EM,imm,0.012418049048931172
10,EM,lep,0.013723741310050226
10,EM,lico,0.014028451598842214
10,EM,rac,0.012755398784513648
10,EM,raw,0.013403513947182009
11,EM,bl,0.013051355416857481
11,EM,c0,0.013636457528969905
