iteration,period,group,ge_single
0,EM,bl,0.01306683142282198
0,EM,c0,0.013647418383460178
0,EM,imm,0.012431496516986471
0,EM,lep,0.013745145579904952
0,EM,lico,0.014042424204170054
0,EM,rac,0.012771916404745206
0,EM,raw,0.013422512860357859
1,EM,bl,0.013037232718117455
1,EM,c0,0.01359394324963673
1,EM,imm,0.012325712052002537
1,EM,lep,0.013677561502631623
1,EM,lico,0.01397418521105481
1,EM,rac,0.012701574282716635
1,EM,raw,0.013369054961253679
2,EM,bl,0.013036784836269967
2,EM,c0,0.013593429445825934
2,EM,imm,0.01232465336935129
2,EM,lep,0.01367645343029784
2,EM,lico,0.01397418521105481
2,EM,rac,0.012700714795152699
2,EM,raw,0.013368415284956319
3,EM,bl,0.013036784836269967
3,EM,c0,0.013593429445825934
3,EM,imm,0.01232465336935129
3,EM,lep,0.01367645343029784
3,EM,lico,0.01397418521105481
3,EM,rac,0.012700714795152699
3,EM,raw,0.013368415284956319
4,EM,bl,0.013036784836269967
4,EM,c0,0.013593429445825934
4,EM,imm,0.01232465336935129
4,EM,lep,0.01367645343029784
4,EM,lico,0.01397418521105481
4,EM,rac,0.012700714795152699
4,EM,raw,0.013368415284956319
5,EM,bl,0.013023434424020274
5,EM,c0,0.01358526612643249
5,EM,imm,0.012310672245482112
5,EM,lep,0.013652962046693633
5,EM,lico,0.013963368946435817
5,EM,rac,0.012680766028701364
5,EM,raw,0.013353595023158
6,EM,bl,0.013023356413637997
6,EM,c0,0.01358526612643249
6,EM,imm,0.012310561255198969
6,EM,lep,0.013652603352578391
6,EM,lico,0.013963205172197669
6,EM,rac,0.012680572475977314
6,EM,raw,0.013353429047928753
7,EM,bl,0.01302279897526886
7,EM,c0,0.01358526612643249
7,EM,imm,0.012309696206885145
7,EM,lep,0.013652071845688934
7,EM,lico,0.013961783947990669
7,EM,rac,0.012679777301575436
7,EM,raw,0.013352772913585246
8,EM,bl,0.01302279897526886
8,EM,c0,0.01358526612643249
8,EM,imm,0.012309696206885145
8,EM,lep,0.013652071845688934
8,EM,lico,0.013961783947990669
8,EM,rac,0.012679777301575436
8,EM,raw,0.013352772913585246
9,EM,bl,0.01302015421475982
9,EM,c0,0.013581200299944475
9,EM,imm,0.012305372218664986
9,EM,lep,0.013650019517439962
9,EM,lico,0.013961783947990669
9,EM,rac,0.012676665182003489
9,EM,raw,0.013349615817257502
10,EM,bl,0.013020146691279762
10,EM,c0,0.013581200299944475
10,EM,imm,0.01230535947958111
10,EM,lep,0.013650009556218888
10,EM,lico,0.013961783947990669
10,EM,rac,0.012676655615504327
10,EM,raw,0.013349596067019796
11,EM,bl,0.013019578527078945
11,EM,c0,0.013580867927216009
