iteration,period,group,ge_single
0,EM,bl,0.01306683142282198
0,EM,c0,0.013647418383460178
0,EM,imm,0.012431496516986471
0,EM,lep,0.013745145579904952
0,EM,lico,0.014042424204170054
0,EM,rac,0.012771916404745206
0,EM,raw,0.013422512860357859
1,EM,bl,0.013062467361946942
1,EM,c0,0.013647418383460178
1,EM,imm,0.012426991029417933
1,EM,lep,0.01374003007863497
1,EM,lico,0.014042424204170054
1,EM,rac,0.012768701504337331
1,EM,raw,0.013419973355186436
2,EM,bl,0.013062467361946942
2,EM,c0,0.013647418383460178
2,EM,imm,0.012426991029417933
2,EM,lep,0.01374003007863497
2,EM,lico,0.014042424204170054
2,EM,rac,0.012768701504337331
2,EM,raw,0.013419973355186436
3,EM,bl,0.013062467361946942
3,EM,c0,0.013647418383460178
3,EM,imm,0.012426991029417933
3,EM,lep,0.01374003007863497
3,EM,lico,0.014042424204170054
3,EM,rac,0.012768701504337331
3,EM,raw,0.013419973355186436
4,EM,bl,0.013062467361946942
4,EM,c0,0.013647418383460178
4,EM,imm,0.012426991029417933
4,EM,lep,0.01374003007863497
4,EM,lico,0.014042424204170054
4,EM,rac,0.012768701504337331
4,EM,raw,0.013419973355186436
5,EM,bl,0.013062467361946942
5,EM,c0,0.013647418383460178
5,EM,imm,0.012426991029417933
5,EM,lep,0.01374003007863497
5,EM,lico,0.014042424204170054
5,EM,rac,0.012768701504337331
5,EM,raw,0.013419973355186436
6,EM,bl,0.013061985906592412
6,EM,c0,0.013646120587810652
6,EM,imm,0.012425377708631407
6,EM,lep,0.013739616310238033
6,EM,lico,0.014042424204170054
6,EM,rac,0.012767673661516763
6,EM,raw,0.013418063790202685
7,EM,bl,0.013061985906592412
7,EM,c0,0.013646120587810652
7,EM,imm,0.012425377708631407
7,EM,lep,0.013739616310238033
7,EM,lico,0.014042424204170054
7,EM,rac,0.012767673661516763
7,EM,raw,0.013418063790202685
8,EM,bl,0.013061985906592412
8,EM,c0,0.013646120587810652
8,EM,imm,0.012425377708631407
8,EM,lep,0.013739616310238033
8,EM,lico,0.014042424204170054
8,EM,rac,0.012767673661516763
8,EM,raw,0.013418063790202685
9,EM,bl,0.013061985906592412
9,EM,c0,0.013646120587810652
9,EM,imm,0.012425377708631407
9,EM,lep,0.013739616310238033
9,EM,lico,0.014042424204170054
9,EM,rac,0.012767673661516763
9,EM,raw,0.013418063790202685
10,EM,bl,0.013061985906592412
10,EM,c0,0.013646120587810652
10,EM,imm,0.012425377708631407
10,EM,lep,0.013739616310238033
10,EM,lico,0.014042424204170054
10,EM,rac,0.012767673661516763
10,EM,raw,0.013418063790202685
11,EM,bl,0.013061985906592412
11,EM,c0,0.013646120587810652
