iteration,period,group,ge_single
0,EV,bl,0.02402878704695212
0,EV,c0,0.027975313351460095
0,EV,imm,0.02460898105246879
0,EV,lep,0.02449569027733097
0,EV,lico,0.024802719053023944
0,EV,rac,0.024531845149986558
0,EV,raw,0.025101241584901537
1,EV,bl,0.024010424859686366
1,EV,c0,0.02795888350849651
1,EV,imm,0.024581995342002
1,EV,lep,0.024468741135097866
1,EV,lico,0.024768530989580588
1,EV,rac,0.024501867475095133
1,EV,raw,0.025080380747265027
2,EV,bl,0.02400363169791062
2,EV,c0,0.027954785217679863
2,EV,imm,0.024574240517939654
2,EV,lep,0.024459904976953002
2,EV,lico,0.024752961146089297
2,EV,rac,0.024492895006594205
2,EV,raw,0.025072839096090926
3,EV,bl,0.02400091663717924
3,EV,c0,0.0279531775231007
3,EV,imm,0.024571767991446013
3,EV,lep,0.02445676895332971
3,EV,lico,0.024746895427765654
3,EV,rac,0.0244896837501482
3,EV,raw,0.025070047040937904
4,EV,bl,0.02400091663717924
4,EV,c0,0.0279531775231007
4,EV,imm,0.024571767991446013
4,EV,lep,0.02445676895332971
4,EV,lico,0.024746895427765654
4,EV,rac,0.0244896837501482
4,EV,raw,0.025070047040937904
5,EV,bl,0.02400091663717924
5,EV,c0,0.0279531775231007
5,EV,imm,0.024571767991446013
5,EV,lep,0.02445676895332971
5,EV,lico,0.024746895427765654
5,EV,rac,0.0244896837501482
5,EV,raw,0.025070047040937904
6,EV,bl,0.024000911156602054
6,EV,c0,0.0279531775231007
6,EV,imm,0.024571754351822274
6,EV,lep,0.024456686693784705
6,EV,lico,0.024746853946726637
6,EV,rac,0.024489655796734438
6,EV,raw,0.025070032261492414
7,EV,bl,0.024000911156602054
7,EV,c0,0.0279531775231007
7,EV,imm,0.024571754351822274
7,EV,lep,0.024456686693784705
7,EV,lico,0.024746853946726637
7,EV,rac,0.024489655796734438
7,EV,raw,0.025070032261492414
8,EV,bl,0.024000131860784917
8,EV,c0,0.027950571782455528
8,EV,imm,0.024570568152943794
8,EV,lep,0.02445419947687505
8,EV,lico,0.024745977563501782
8,EV,rac,0.024487222374063852
8,EV,raw,0.025068783261138768
9,EV,bl,0.023997487808543033
9,EV,c0,0.027949247838023664
9,EV,imm,0.024565423630919923
9,EV,lep,0.024448585295171535
9,EV,lico,0.02473576358195411
9,EV,rac,0.02448162321121007
9,EV,raw,0.02506406900283817
10,EV,bl,0.023997031930528528
10,EV,c0,0.027947790864759698
10,EV,imm,0.024564718890496728
10,EV,lep,0.024447039432190544
10,EV,lico,0.024735178208707975
10,EV,rac,0.024480197362775197
10,EV,raw,0.02506333666351849
11,EV,bl,0.023997031930528528
11,EV,c0,0.027947790864759698
11,EV,imm,0.024564718890496728
11,EV,lep,0.024447039432190544
11,EV,lico,0.024735178208707975
11,EV,rac,0.024480197362775197
11,EV,raw,0.02506333666351849
12,EV,bl,0.023997031930528528
12,EV,c0,0.027947790864759698
12,EV,imm,0.024564718890496728
12,EV,lep,0.024447039432190544
12,EV,lico,0.024735178208707975
12,EV,rac,0.024480197362775197
12,EV,raw,0.02506333666351849
13,EV,bl,0.023997031930528528
13,EV,c0,0.027947790864759698
13,EV,imm,0.024564718890496728
13,EV,lep,0.024447039432190544
13,EV,lico,0.024735178208707975
13,EV,rac,0.024480197362775197
13,EV,raw,0.02506333666351849
14,EV,bl,0.02399685962469174
14,EV,c0,0.02794776559819017
14,EV,imm,0.024563721263111734
14,EV,lep,0.024446403097425812
14,EV,lico,0.024732976939599492
14,EV,rac,0.024479351983275666
14,EV,raw,0.025062531026220306
15,EV,bl,0.02399685962469174
15,EV,c0,0.02794776559819017
15,EV,imm,0.024563721263111734
15,EV,lep,0.024446403097425812
15,EV,lico,0.024732976939599492
15,EV,rac,0.024479351983275666
15,EV,raw,0.025062531026220306
16,EV,bl,0.02399685962469174
16,EV,c0,0.02794776559819017
16,EV,imm,0.024563721263111734
16,EV,lep,0.024446403097425812
16,EV,lico,0.024732976939599492
16,EV,rac,0.024479351983275666
16,EV,raw,0.025062531026220306
17,EV,bl,0.02399685962469174
17,EV,c0,0.02794776559819017
17,EV,imm,0.024563721263111734
17,EV,lep,0.024446403097425812
17,EV,lico,0.024732976939599492
17,EV,rac,0.024479351983275666
17,EV,raw,0.025062531026220306
18,EV,bl,0.02399685962469174
18,EV,c0,0.02794776559819017
18,EV,imm,0.024563721263111734
18,EV,lep,0.024446403097425812
18,EV,lico,0.024732976939599492
18,EV,rac,0.024479351983275666
18,EV,raw,0.025062531026220306
19,EV,bl,0.02399685962469174
19,EV,c0,0.02794776559819017
19,EV,imm,0.024563721263111734
19,EV,lep,0.024446403097425812
19,EV,lico,0.024732976939599492
19,EV,rac,0.024479351983275666
19,EV,raw,0.025062531026220306
20,EV,bl,0.02399685962469174
20,EV,c0,0.02794776559819017
20,EV,imm,0.024563721263111734
20,EV,lep,0.024446403097425812
20,EV,lico,0.024732976939599492
20,EV,rac,0.024479351983275666
20,EV,raw,0.025062531026220306
21,EV,bl,0.02399685962469174
21,EV,c0,0.02794776559819017
21,EV,imm,0.024563721263111734
21,EV,lep,0.024446403097425812
21,EV,lico,0.024732976939599492
21,EV,rac,0.024479351983275666
21,EV,raw,0.025062531026220306
22,EV,bl,0.023996592519592484
22,EV,c0,0.02794739142338919
22,EV,imm,0.024562969304899575
22,EV,lep,0.024446017007838623
22,EV,lico,0.024731841077605392
22,EV,rac,0.024478792703771415
22,EV,raw,0.025061985809880647
23,EV,bl,0.023996592519592484
23,EV,c0,0.02794739142338919
23,EV,imm,0.024562969304899575
23,EV,lep,0.024446017007838623
23,EV,lico,0.024731841077605392
23,EV,rac,0.024478792703771415
23,EV,raw,0.025061985809880647
24,EV,bl,0.023996592519592484
24,EV,c0,0.02794739142338919
24,EV,imm,0.024562969304899575
24,EV,lep,0.024446017007838623
24,EV,lico,0.024731841077605392
24,EV,rac,0.024478792703771415
24,EV,raw,0.025061985809880647
25,EV,bl,0.023996592519592484
25,EV,c0,0.02794739142338919
25,EV,imm,0.024562969304899575
25,EV,lep,0.024446017007838623
25,EV,lico,0.024731841077605392
25,EV,rac,0.024478792703771415
25,EV,raw,0.025061985809880647
26,EV,bl,0.02398862877508099
26,EV,c0,0.027945096803905334
26,EV,imm,0.0245517951871918
26,EV,lep,0.024436853226824897
26,EV,lico,0.024722030792744924
26,EV,rac,0.024466936897842326
26,EV,raw,0.025052411626139918
27,EV,bl,0.023988294349519112
27,EV,c0,0.027945096803905334
27,EV,imm,0.024549579669176005
27,EV,lep,0.024434874207227477
27,EV,lico,0.02472133527256687
27,EV,rac,0.024464489155601562
27,EV,raw,0.025050260773484073
28,EV,bl,0.02398791689042189
28,EV,c0,0.027945096803905334
28,EV,imm,0.024549126549664374
28,EV,lep,0.0244346852690668
28,EV,lico,0.024720574638390298
28,EV,rac,0.0244641468935999
28,EV,raw,0.02504998976408756
29,EV,bl,0.02398496790062073
29,EV,c0,0.027943279526158354
29,EV,imm,0.02454331078862008
29,EV,lep,0.024424610013119092
29,EV,lico,0.024714844562763735
29,EV,rac,0.02445771857412136
29,EV,raw,0.025045491714989827
30,EV,bl,0.023982276003163654
30,EV,c0,0.027936857184703023
30,EV,imm,0.024538208300310404
30,EV,lep,0.02441455211273764
30,EV,lico,0.024702355789367803
30,EV,rac,0.02444856597594047
30,EV,raw,0.025039526801010775
31,EV,bl,0.023982252874173552
31,EV,c0,0.027936636676459875
31,EV,imm,0.024538136754642916
31,EV,lep,0.024414389743369274
31,EV,lico,0.02470205913708877
31,EV,rac,0.02444838552656323
31,EV,raw,0.025039410615509832
32,EV,bl,0.023981188425746626
32,EV,c0,0.027934560611729484
32,EV,imm,0.02453686002400951
32,EV,lep,0.024413717634164105
32,EV,lico,0.02470203170165595
32,EV,rac,0.02444706258163084
32,EV,raw,0.02503782771450798
33,EV,bl,0.023981188425746626
33,EV,c0,0.027934560611729484
33,EV,imm,0.02453686002400951
33,EV,lep,0.024413717634164105
33,EV,lico,0.02470203170165595
33,EV,rac,0.02444706258163084
33,EV,raw,0.02503782771450798
34,EV,bl,0.02396059197943369
34,EV,c0,0.02792072495473103
34,EV,imm,0.024524253922037387
34,EV,lep,0.02439134351704397
34,EV,lico,0.02468073393521267
34,EV,rac,0.024432269290403978
34,EV,raw,0.025024556054673016
35,EV,bl,0.023927531966038956
35,EV,c0,0.02791213089897817
35,EV,imm,0.0245010788233268
35,EV,lep,0.024375059908131925
35,EV,lico,0.024650019566501067
35,EV,rac,0.02440899614372012
35,EV,raw,0.02500380428680671
36,EV,bl,0.023918504675159324
36,EV,c0,0.027906156450061385
36,EV,imm,0.024491673170076066
36,EV,lep,0.02435975962047062
36,EV,lico,0.024636060081005988
36,EV,rac,0.024396886235377724
36,EV,raw,0.024995819822378463
37,EV,bl,0.02391794311341548
37,EV,c0,0.027905175534807293
37,EV,imm,0.024490724459788244
37,EV,lep,0.024359053661807926
37,EV,lico,0.02463512873403941
37,EV,rac,0.02439601808832098
37,EV,raw,0.024994924016844097
38,EV,bl,0.023914701643504007
38,EV,c0,0.02789264311017938
38,EV,imm,0.02448211539697437
38,EV,lep,0.02435602287083019
38,EV,lico,0.02463445164326573
38,EV,rac,0.024391035322598332
38,EV,raw,0.024986524372024248
39,EV,bl,0.02391040716086205
39,EV,c0,0.027886714978468417
39,EV,imm,0.02447968325664841
39,EV,lep,0.024351716104071712
39,EV,lico,0.024632282094302703
39,EV,rac,0.02438831015475636
39,EV,raw,0.02498312610601542
40,EV,bl,0.02390250413298519
40,EV,c0,0.027874598829737786
