iteration,period,group,ge_single
0,EV,bl,0.02402878704695212
0,EV,c0,0.027975313351460095
0,EV,imm,0.02460898105246879
0,EV,lep,0.02449569027733097
0,EV,lico,0.024802719053023944
0,EV,rac,0.024531845149986558
0,EV,raw,0.025101241584901537
1,EV,bl,0.023934441432466695
1,EV,c0,0.02794265911914227
1,EV,imm,0.02457051409512294
1,EV,lep,0.024456121292115513
1,EV,lico,0.024749913992839212
1,EV,rac,0.024491191450276686
1,EV,raw,0.02506433952185917
2,EV,bl,0.023932056121532323
2,EV,c0,0.027941526571009366
2,EV,imm,0.024567317783298983
2,EV,lep,0.024453500628707773
2,EV,lico,0.024747989406430977
2,EV,rac,0.02448901378780727
2,EV,raw,0.025062351997729344
3,EV,bl,0.02392616139701619
3,EV,c0,0.02793910826794838
3,EV,imm,0.024558505157622174
3,EV,lep,0.024446051466517217
3,EV,lico,0.024742636271555717
3,EV,rac,0.02448312342208529
3,EV,raw,0.025056729670103632
4,EV,bl,0.023919436674516365
4,EV,c0,0.027938260872835307
4,EV,imm,0.024551507739700267
4,EV,lep,0.024440046220417535
4,EV,lico,0.02474084180493197
4,EV,rac,0.024478115576112562
4,EV,raw,0.02505200096164268
5,EV,bl,0.023919436674516365
5,EV,c0,0.027938260872835307
5,EV,imm,0.024551507739700267
5,EV,lep,0.024440046220417535
5,EV,lico,0.02474084180493197
5,EV,rac,0.024478115576112562
5,EV,raw,0.02505200096164268
6,EV,bl,0.02391807066968744
6,EV,c0,0.02793719190952014
6,EV,imm,0.024550307290470967
6,EV,lep,0.02443765677851312
6,EV,lico,0.024740729022383494
6,EV,rac,0.02447684502293301
6,EV,raw,0.02505069037217802
7,EV,bl,0.02391807066968744
7,EV,c0,0.02793719190952014
7,EV,imm,0.024550307290470967
7,EV,lep,0.02443765677851312
7,EV,lico,0.024740729022383494
7,EV,rac,0.02447684502293301
7,EV,raw,0.02505069037217802
8,EV,bl,0.02391807066968744
8,EV,c0,0.02793719190952014
8,EV,imm,0.024550307290470967
8,EV,lep,0.02443765677851312
8,EV,lico,0.024740729022383494
8,EV,rac,0.02447684502293301
8,EV,raw,0.02505069037217802
9,EV,bl,0.023918009222332892
9,EV,c0,0.02793719190952014
9,EV,imm,0.024550245068201842
9,EV,lep,0.02443757373340203
9,EV,lico,0.024740729022383494
9,EV,rac,0.02447677975633165
9,EV,raw,0.025050623431933868
10,EV,bl,0.023918009222332892
10,EV,c0,0.02793719190952014
10,EV,imm,0.024550245068201842
10,EV,lep,0.02443757373340203
10,EV,lico,0.024740729022383494
10,EV,rac,0.02447677975633165
10,EV,raw,0.025050623431933868
11,EV,bl,0.023918009222332892
11,EV,c0,0.02793719190952014
11,EV,imm,0.024550245068201842
11,EV,lep,0.02443757373340203
11,EV,lico,0.024740729022383494
11,EV,rac,0.02447677975633165
11,EV,raw,0.025050623431933868
12,EV,bl,0.02391153135774951
12,EV,c0,0.02793719190952014
12,EV,imm,0.024548667856157655
12,EV,lep,0.024436379517341202
12,EV,lico,0.024740729022383494
12,EV,rac,0.024474748759011174
12,EV,raw,0.025049087836965377
13,EV,bl,0.023905040114510903
13,EV,c0,0.02793719190952014
13,EV,imm,0.024547087386716546
13,EV,lep,0.024435182834880418
13,EV,lico,0.024740729022383494
13,EV,rac,0.024472713567096543
13,EV,raw,0.025047549070551206
14,EV,bl,0.023888686015013202
14,EV,c0,0.027930324595578575
14,EV,imm,0.024529336942349947
14,EV,lep,0.02442610542769814
14,EV,lico,0.024725983349772503
14,EV,rac,0.024458634116866686
14,EV,raw,0.025035273023884537
15,EV,bl,0.023888686015013202
15,EV,c0,0.027930324595578575
15,EV,imm,0.024529336942349947
15,EV,lep,0.02442610542769814
15,EV,lico,0.024725983349772503
15,EV,rac,0.024458634116866686
15,EV,raw,0.025035273023884537
16,EV,bl,0.023882286518442968
16,EV,c0,0.02792963680749759
16,EV,imm,0.024527770330511674
16,EV,lep,0.024424892579390355
16,EV,lico,0.024725983349772503
16,EV,rac,0.024456616175245596
16,EV,raw,0.02503375613021507
17,EV,bl,0.02387943532339205
17,EV,c0,0.02792963680749759
17,EV,imm,0.024527076129650147
17,EV,lep,0.024424366952020635
17,EV,lico,0.024725983349772503
17,EV,rac,0.024455722243389807
17,EV,raw,0.02503308024687141
18,EV,bl,0.02387943532339205
18,EV,c0,0.02792963680749759
18,EV,imm,0.024527076129650147
18,EV,lep,0.024424366952020635
18,EV,lico,0.024725983349772503
18,EV,rac,0.024455722243389807
18,EV,raw,0.02503308024687141
19,EV,bl,0.023875198652953795
19,EV,c0,0.0279161414454054
19,EV,imm,0.024515154890630286
19,EV,lep,0.024416753406501103
19,EV,lico,0.024714790834263964
19,EV,rac,0.024446384410387642
19,EV,raw,0.025022284549599032
20,EV,bl,0.023875198652953795
20,EV,c0,0.0279161414454054
20,EV,imm,0.024515154890630286
20,EV,lep,0.024416753406501103
20,EV,lico,0.024714790834263964
20,EV,rac,0.024446384410387642
20,EV,raw,0.025022284549599032
21,EV,bl,0.023875198652953795
21,EV,c0,0.0279161414454054
21,EV,imm,0.024515154890630286
21,EV,lep,0.024416753406501103
21,EV,lico,0.024714790834263964
21,EV,rac,0.024446384410387642
21,EV,raw,0.025022284549599032
22,EV,bl,0.023869271736277366
22,EV,c0,0.027915497522083374
22,EV,imm,0.02450481841744952
22,EV,lep,0.024401467398534632
22,EV,lico,0.024698794577000086
22,EV,rac,0.024434081792745897
22,EV,raw,0.025014295089090352
23,EV,bl,0.0238692346276829
23,EV,c0,0.027915497522083374
23,EV,imm,0.024504719068868842
23,EV,lep,0.024401309501778132
23,EV,lico,0.024698610563368355
23,EV,rac,0.02443398269766455
23,EV,raw,0.02501422952613667
24,EV,bl,0.0238692346276829
24,EV,c0,0.027915497522083374
24,EV,imm,0.024504719068868842
24,EV,lep,0.024401309501778132
24,EV,lico,0.024698610563368355
24,EV,rac,0.02443398269766455
24,EV,raw,0.02501422952613667
25,EV,bl,0.0238692346276829
25,EV,c0,0.027915497522083374
25,EV,imm,0.024504719068868842
25,EV,lep,0.024401309501778132
25,EV,lico,0.024698610563368355
25,EV,rac,0.02443398269766455
25,EV,raw,0.02501422952613667
26,EV,bl,0.023832398155381757
26,EV,c0,0.0278753162461
26,EV,imm,0.024488332669963603
26,EV,lep,0.024347553782796093
26,EV,lico,0.024653780220694373
26,EV,rac,0.024411530801854642
26,EV,raw,0.024985641858475828
27,EV,bl,0.023832398155381757
27,EV,c0,0.0278753162461
27,EV,imm,0.024488332669963603
27,EV,lep,0.024347553782796093
27,EV,lico,0.024653780220694373
27,EV,rac,0.024411530801854642
27,EV,raw,0.024985641858475828
28,EV,bl,0.02381196624186915
28,EV,c0,0.027824210478146937
28,EV,imm,0.024469086809216275
28,EV,lep,0.024318055178833058
28,EV,lico,0.024623018765347223
28,EV,rac,0.024390185917589017
28,EV,raw,0.02495799234082508
29,EV,bl,0.02375756595428549
29,EV,c0,0.02777197413745797
29,EV,imm,0.02444662479594873
29,EV,lep,0.024279469942402675
29,EV,lico,0.02456004827074536
29,EV,rac,0.024354228410218157
29,EV,raw,0.02492883210350851
30,EV,bl,0.023740509904609717
30,EV,c0,0.027756439253949477
30,EV,imm,0.024421646233289507
30,EV,lep,0.0242586798175742
30,EV,lico,0.0245343732239119
30,EV,rac,0.024332942911121584
30,EV,raw,0.024911475243749405
31,EV,bl,0.023735241958776868
31,EV,c0,0.027743750779300264
31,EV,imm,0.02441898851910714
31,EV,lep,0.024249219296817684
31,EV,lico,0.024517303272837243
31,EV,rac,0.02432486274739989
31,EV,raw,0.024905231187116777
32,EV,bl,0.0236940621859159
32,EV,c0,0.027659252870382203
32,EV,imm,0.024374470194278807
32,EV,lep,0.024199782818149915
32,EV,lico,0.024483148894499734
32,EV,rac,0.024288205366987867
32,EV,raw,0.024840911368548036
33,EV,bl,0.023688749791636092
33,EV,c0,0.02765637906349511
33,EV,imm,0.0243499458557696
33,EV,lep,0.024182250067965712
33,EV,lico,0.02445564137395203
33,EV,rac,0.024275607414979007
33,EV,raw,0.02482178766706839
34,EV,bl,0.02368786668264658
34,EV,c0,0.027654191399022435
34,EV,imm,0.024348579342922415
34,EV,lep,0.024181047587881564
34,EV,lico,0.02445464797803955
34,EV,rac,0.024274561229914372
34,EV,raw,0.02482039287774744
35,EV,bl,0.02368158183998603
35,EV,c0,0.027648322509661472
35,EV,imm,0.02434058500550656
35,EV,lep,0.024170434058765632
35,EV,lico,0.024449241281434657
35,EV,rac,0.024264709195461087
35,EV,raw,0.02481411839632544
36,EV,bl,0.023681346919316986
36,EV,c0,0.02764659463785364
36,EV,imm,0.024340245373200075
36,EV,lep,0.024170152809430696
36,EV,lico,0.024449241281434657
36,EV,rac,0.024264379108017
36,EV,raw,0.024813290181705142
37,EV,bl,0.0236808875936886
37,EV,c0,0.02764084677484613
37,EV,imm,0.024333206824550608
37,EV,lep,0.024166605445329954
37,EV,lico,0.024441543776658047
37,EV,rac,0.024259987235372007
37,EV,raw,0.02481053507906575
38,EV,bl,0.02368052456117812
38,EV,c0,0.02764084677484613
38,EV,imm,0.024332607506155814
38,EV,lep,0.024166438860635315
38,EV,lico,0.024441543776658047
38,EV,rac,0.024259612245598392
38,EV,raw,0.024810245899609343
39,EV,bl,0.0236443497547322
39,EV,c0,0.027619136933172406
39,EV,imm,0.02431609545288762
39,EV,lep,0.024146246595554425
39,EV,lico,0.024413793963280993
39,EV,rac,0.02423978809290392
39,EV,raw,0.0247865091680008
40,EV,bl,0.02363686796543572
40,EV,c0,0.027597807855216087
