iteration,period,group,ge_single
0,EV,bl,0.02402878704695212
0,EV,c0,0.027975313351460095
0,EV,imm,0.02460898105246879
0,EV,lep,0.02449569027733097
0,EV,lico,0.024802719053023944
0,EV,rac,0.024531845149986558
0,EV,raw,0.025101241584901537
1,EV,bl,0.02383566513899516
1,EV,c0,0.027705872182244663
1,EV,imm,0.02416391147447138
1,EV,lep,0.024208333118904312
1,EV,lico,0.024488123931311122
1,EV,rac,0.02419099904909575
1,EV,raw,0.024764074182128303
2,EV,bl,0.023522463714004734
2,EV,c0,0.027345118583198467
2,EV,imm,0.023828755764648563
2,EV,lep,0.023913010816266577
2,EV,lico,0.024195419625690783
2,EV,rac,0.02386933097932375
2,EV,raw,0.02441098170477185
3,EV,bl,0.02349878517664786
3,EV,c0,0.027308138577512284
3,EV,imm,0.023787910576700006
3,EV,lep,0.02389446564580927
3,EV,lico,0.024176435266950885
3,EV,rac,0.023832055892875296
3,EV,raw,0.024374706718725186
4,EV,bl,0.023369307441428726
4,EV,c0,0.027168146561012865
4,EV,imm,0.02367443996721674
4,EV,lep,0.02379021807898223
4,EV,lico,0.02404482099181584
4,EV,rac,0.023710256078028562
4,EV,raw,0.024244018893519643
5,EV,bl,0.023369307441428726
5,EV,c0,0.027168146561012865
5,EV,imm,0.02367443996721674
5,EV,lep,0.02379021807898223
5,EV,lico,0.02404482099181584
5,EV,rac,0.023710256078028562
5,EV,raw,0.024244018893519643
6,EV,bl,0.023289638892904713
6,EV,c0,0.027131387346897632
6,EV,imm,0.023603003078597126
6,EV,lep,0.023727788052780998
6,EV,lico,0.023963610808733566
6,EV,rac,0.02363395946979684
6,EV,raw,0.024181796257334583
7,EV,bl,0.023288969713511347
7,EV,c0,0.027130791827659827
7,EV,imm,0.02360252422076851
7,EV,lep,0.023727021944060653
7,EV,lico,0.023961140951480827
7,EV,rac,0.02363331428000712
7,EV,raw,0.0241805989637107
8,EV,bl,0.02328569933096355
8,EV,c0,0.027126794827024722
8,EV,imm,0.023596279994361716
8,EV,lep,0.023725072011600127
8,EV,lico,0.023956524393943388
8,EV,rac,0.023628641460275074
8,EV,raw,0.02417583614714868
9,EV,bl,0.02318391893295382
9,EV,c0,0.026926593807052628
9,EV,imm,0.023266671457355635
9,EV,lep,0.023504503889813868
9,EV,lico,0.023781356721283474
9,EV,rac,0.023377387883065228
9,EV,raw,0.023933036041682097
10,EV,bl,0.02317520875896119
10,EV,c0,0.026902968105983884
10,EV,imm,0.02323410683130026
10,EV,lep,0.0234841772020731
10,EV,lico,0.02377216613905882
10,EV,rac,0.02335340963023364
10,EV,raw,0.023908981515593196
11,EV,bl,0.023175102787219203
11,EV,c0,0.026902968105983884
11,EV,imm,0.023234040874361598
11,EV,lep,0.023484086122719048
11,EV,lico,0.02377216613905882
11,EV,rac,0.0233533101712662
11,EV,raw,0.023908863942853856
12,EV,bl,0.023150420005992267
12,EV,c0,0.026890256269590268
12,EV,imm,0.02321424954469728
12,EV,lep,0.023463081851375595
12,EV,lico,0.023748327897217536
12,EV,rac,0.02333127635995498
12,EV,raw,0.023888496884436873
13,EV,bl,0.023138889788540565
13,EV,c0,0.026878898814072225
13,EV,imm,0.023206252500089265
13,EV,lep,0.023454332201277035
13,EV,lico,0.02372857500274362
13,EV,rac,0.023321246234839107
13,EV,raw,0.023875970084110798
14,EV,bl,0.023128295182209425
14,EV,c0,0.026837224369045634
14,EV,imm,0.02316381653229869
14,EV,lep,0.023424486855045445
14,EV,lico,0.02372698856191823
14,EV,rac,0.023288942021283867
14,EV,raw,0.023848200079923026
15,EV,bl,0.023114925831854722
15,EV,c0,0.026833138822431706
15,EV,imm,0.02315463543590722
15,EV,lep,0.023415499401956714
15,EV,lico,0.02371309430974872
15,EV,rac,0.02327680103718448
15,EV,raw,0.023839091684107177
16,EV,bl,0.02310833742651185
16,EV,c0,0.026817048466564714
16,EV,imm,0.023141135327540797
16,EV,lep,0.023410163142817728
16,EV,lico,0.023704378496752526
16,EV,rac,0.023266268939804016
16,EV,raw,0.02382734253990215
17,EV,bl,0.02310739915048845
17,EV,c0,0.026815038941323442
17,EV,imm,0.0231375989760581
17,EV,lep,0.023408428797623764
17,EV,lico,0.023704378496752526
17,EV,rac,0.02326365592890767
17,EV,raw,0.023824322236128483
18,EV,bl,0.023094467459045868
18,EV,c0,0.026811495665155952
18,EV,imm,0.023128652292856367
18,EV,lep,0.023400831255896776
18,EV,lico,0.023688879116364952
18,EV,rac,0.023252506478623782
18,EV,raw,0.023816272896001942
19,EV,bl,0.02294614231477507
19,EV,c0,0.026579844290912445
19,EV,imm,0.022991532814120464
19,EV,lep,0.02324587042299714
19,EV,lico,0.02357637331856989
19,EV,rac,0.023126250802344334
19,EV,raw,0.02359614616270292
20,EV,bl,0.022945914626220452
20,EV,c0,0.026579750561998787
20,EV,imm,0.022991314460619704
20,EV,lep,0.023245292499044876
20,EV,lico,0.02357637331856989
20,EV,rac,0.023125974151643452
20,EV,raw,0.023595567528894044
21,EV,bl,0.02293880103476033
21,EV,c0,0.02656056645515016
21,EV,imm,0.02297888257525064
21,EV,lep,0.023235724038173314
21,EV,lico,0.023566041170032297
21,EV,rac,0.023114973161098413
21,EV,raw,0.023580307941872686
22,EV,bl,0.022936555502411377
22,EV,c0,0.026550785088481386
22,EV,imm,0.022975472972175004
22,EV,lep,0.023231331738555062
22,EV,lico,0.023560803263020152
22,EV,rac,0.023111580010649804
22,EV,raw,0.02357406926335191
23,EV,bl,0.022872146441178
23,EV,c0,0.026470705667331108
23,EV,imm,0.022898450768192136
23,EV,lep,0.02318572646143175
23,EV,lico,0.023530696447656475
23,EV,rac,0.023057761235040736
23,EV,raw,0.023478180757564613
24,EV,bl,0.022871641539279494
24,EV,c0,0.02646784708624553
24,EV,imm,0.02289812467526484
24,EV,lep,0.023185424947190156
24,EV,lico,0.023527141719573683
24,EV,rac,0.02305729989561032
24,EV,raw,0.02347676369426873
25,EV,bl,0.02284980146720536
25,EV,c0,0.026444411462069342
25,EV,imm,0.022839631983048152
25,EV,lep,0.023136793558979175
25,EV,lico,0.02350256187244465
25,EV,rac,0.023007835896587912
25,EV,raw,0.02344029884327401
26,EV,bl,0.022616145279762346
26,EV,c0,0.02615898941315433
26,EV,imm,0.022456595651626086
26,EV,lep,0.02287110742001538
26,EV,lico,0.02330849698673435
26,EV,rac,0.022716790611619946
26,EV,raw,0.02310376358886084
27,EV,bl,0.022351261275389854
27,EV,c0,0.025945333903743296
27,EV,imm,0.022176520603615378
27,EV,lep,0.02266025701522571
27,EV,lico,0.02306385172471704
27,EV,rac,0.022479950013190895
27,EV,raw,0.022848183988402673
28,EV,bl,0.022223486414497156
28,EV,c0,0.025828876931655566
28,EV,imm,0.022025345495990497
28,EV,lep,0.022556869470060806
28,EV,lico,0.0229596163110731
28,EV,rac,0.022356970332834847
28,EV,raw,0.022700346588144585
29,EV,bl,0.02219356131691833
29,EV,c0,0.025794006799865574
29,EV,imm,0.022000504124645427
29,EV,lep,0.022525562026129344
29,EV,lico,0.022936998422905218
29,EV,rac,0.022325490514669945
29,EV,raw,0.02265156621254406
30,EV,bl,0.022074351156042
30,EV,c0,0.025583013698093675
30,EV,imm,0.021862853824874295
30,EV,lep,0.022423214145762017
30,EV,lico,0.022874956180347066
30,EV,rac,0.022185215677224986
30,EV,raw,0.02248272770300193
31,EV,bl,0.022044122896106806
31,EV,c0,0.025513648346181934
31,EV,imm,0.02182448467529187
31,EV,lep,0.022381318843804128
31,EV,lico,0.022844741551623863
31,EV,rac,0.022151474722950117
31,EV,raw,0.022429879253744924
32,EV,bl,0.02201831399718136
32,EV,c0,0.025464131619157622
32,EV,imm,0.021791345277738693
32,EV,lep,0.022366274746059695
32,EV,lico,0.0228218598377051
32,EV,rac,0.022122679060848218
32,EV,raw,0.022388041965658412
33,EV,bl,0.021979537089119986
33,EV,c0,0.02543503776098892
33,EV,imm,0.021753947703164155
33,EV,lep,0.022292804886138676
33,EV,lico,0.022804042656855508
33,EV,rac,0.02207772453957452
33,EV,raw,0.022335130214894534
34,EV,bl,0.021977865937844586
34,EV,c0,0.025430914979484635
34,EV,imm,0.021752168305576695
34,EV,lep,0.0222894935179054
34,EV,lico,0.022798634025044767
34,EV,rac,0.02207567546946161
34,EV,raw,0.022332081202115547
35,EV,bl,0.02196298549391513
35,EV,c0,0.025407290856420812
35,EV,imm,0.02173306865954613
35,EV,lep,0.02227974197078318
35,EV,lico,0.02279012789282651
35,EV,rac,0.022057277063727492
35,EV,raw,0.02231050905130746
36,EV,bl,0.021871445718723348
36,EV,c0,0.025247077929471787
36,EV,imm,0.02162075846895671
36,EV,lep,0.02219112594078436
36,EV,lico,0.022746258281501015
36,EV,rac,0.021951967521196998
36,EV,raw,0.022188140187893335
37,EV,bl,0.02185231006205718
37,EV,c0,0.025215109146920434
37,EV,imm,0.021600915364974473
37,EV,lep,0.02217921617323153
37,EV,lico,0.022743545150408172
37,EV,rac,0.021932144177626445
37,EV,raw,0.0221625248047819
38,EV,bl,0.02184407526818594
38,EV,c0,0.025202129791053678
38,EV,imm,0.021589542822046854
38,EV,lep,0.022174569004334715
38,EV,lico,0.022742501107160078
38,EV,rac,0.0219220500414329
38,EV,raw,0.022150690630139455
