iteration,period,group,ge_single
0,EV,bl,0.02402878704695212
0,EV,c0,0.027975313351460095
0,EV,imm,0.02460898105246879
0,EV,lep,0.02449569027733097
0,EV,lico,0.024802719053023944
0,EV,rac,0.024531845149986558
0,EV,raw,0.025101241584901537
1,EV,bl,0.02368960334352238
1,EV,c0,0.02778635436969582
1,EV,imm,0.024314877806810128
1,EV,lep,0.024294342769230735
1,EV,lico,0.024454663779754023
1,EV,rac,0.024237634055629592
1,EV,raw,0.024869908531859393
2,EV,bl,0.023559404086230532
2,EV,c0,0.02756736500840075
2,EV,imm,0.02375858031688172
2,EV,lep,0.023856285821432507
2,EV,lico,0.02414087062324864
2,EV,rac,0.023802098967054777
2,EV,raw,0.024563843746557824
3,EV,bl,0.023515179939816302
3,EV,c0,0.027533494202441722
3,EV,imm,0.023715998534111455
3,EV,lep,0.02383101149429069
3,EV,lico,0.02408657552933366
3,EV,rac,0.023758979472970666
3,EV,raw,0.02453562576797796
4,EV,bl,0.023507636440179037
4,EV,c0,0.027504438854246693
4,EV,imm,0.023660065143719818
4,EV,lep,0.02379246628311781
4,EV,lico,0.024068063083308527
4,EV,rac,0.02371944154325906
4,EV,raw,0.02450943344980975
5,EV,bl,0.023504937286610156
5,EV,c0,0.027501024346414864
5,EV,imm,0.02365679421224352
5,EV,lep,0.023791258115096883
5,EV,lico,0.024062809559124414
5,EV,rac,0.02371654383865355
5,EV,raw,0.02450732542073565
6,EV,bl,0.023498073601417407
6,EV,c0,0.02745131553898753
6,EV,imm,0.023581796093276586
6,EV,lep,0.02374736516896064
6,EV,lico,0.023988510098919353
6,EV,rac,0.02366775593530349
6,EV,raw,0.024477386373673794
7,EV,bl,0.02330140183350084
7,EV,c0,0.02731470163031315
7,EV,imm,0.023343087412800397
7,EV,lep,0.023580824651345655
7,EV,lico,0.02380552561683621
7,EV,rac,0.023492828341738613
7,EV,raw,0.024301453650590065
8,EV,bl,0.023298833297954288
8,EV,c0,0.027307021877014396
8,EV,imm,0.023326753126495653
8,EV,lep,0.02356344671372357
8,EV,lico,0.0237947399233559
8,EV,rac,0.023476367989050274
8,EV,raw,0.024291574597465733
9,EV,bl,0.023204626397808802
9,EV,c0,0.027259974180824136
9,EV,imm,0.02324002403168628
9,EV,lep,0.023498602393678805
9,EV,lico,0.02373293780212692
9,EV,rac,0.02340116299989395
9,EV,raw,0.02419233155785655
10,EV,bl,0.02318634069232909
10,EV,c0,0.027256986184888237
10,EV,imm,0.023226605605106233
10,EV,lep,0.023486962313267426
10,EV,lico,0.023731809899590787
10,EV,rac,0.023391183524129316
10,EV,raw,0.024183318003100706
11,EV,bl,0.02318215352807427
11,EV,c0,0.027255164590208922
11,EV,imm,0.023223660395103138
11,EV,lep,0.023485065502069778
11,EV,lico,0.023728989963895403
11,EV,rac,0.02338782746634337
11,EV,raw,0.024181039159514327
12,EV,bl,0.02317995217982619
12,EV,c0,0.027255164590208922
12,EV,imm,0.02322171382061717
12,EV,lep,0.02348337384280558
12,EV,lico,0.02372876907003071
12,EV,rac,0.02338646065530402
12,EV,raw,0.024179845203431024
13,EV,bl,0.023179778952114677
13,EV,c0,0.027255164590208922
13,EV,imm,0.02322149187036044
13,EV,lep,0.023483257728438234
13,EV,lico,0.023728733685896848
13,EV,rac,0.023386310266587586
13,EV,raw,0.024179685495513796
14,EV,bl,0.02311758166028768
14,EV,c0,0.02720564539887811
14,EV,imm,0.02317448834658445
14,EV,lep,0.023434469279714834
14,EV,lico,0.023697465695286465
14,EV,rac,0.023343761307068178
14,EV,raw,0.024130848759911137
15,EV,bl,0.023110911947408865
15,EV,c0,0.027189244635606465
15,EV,imm,0.02316551704010732
15,EV,lep,0.02342950878427921
15,EV,lico,0.023687353418697023
15,EV,rac,0.023337114119745348
15,EV,raw,0.02412220109667941
16,EV,bl,0.02310998655484816
16,EV,c0,0.027186548181436294
16,EV,imm,0.023164215784040914
16,EV,lep,0.023428743367643706
16,EV,lico,0.023684174601397875
16,EV,rac,0.02333623272612159
16,EV,raw,0.02412084295033426
17,EV,bl,0.023088891583744144
17,EV,c0,0.02717109550801556
17,EV,imm,0.0231398215807636
17,EV,lep,0.023411860110318067
17,EV,lico,0.023655760945522873
17,EV,rac,0.023316339854165462
17,EV,raw,0.02410704228416438
18,EV,bl,0.02305129985920886
18,EV,c0,0.027129624520693913
18,EV,imm,0.02310530432481615
18,EV,lep,0.02337927257683597
18,EV,lico,0.023606641295309524
18,EV,rac,0.023275479026267865
18,EV,raw,0.024068667711539208
19,EV,bl,0.02305099069035428
19,EV,c0,0.027129624520693913
19,EV,imm,0.023105039926823577
19,EV,lep,0.023379035305594712
19,EV,lico,0.023606641295309524
19,EV,rac,0.02327530205467232
19,EV,raw,0.024068512323249823
20,EV,bl,0.023036717036393768
20,EV,c0,0.02711500639061753
20,EV,imm,0.023095167218902007
20,EV,lep,0.023365797439822762
20,EV,lico,0.023593709783902763
20,EV,rac,0.023261729377218446
20,EV,raw,0.024055005657173376
21,EV,bl,0.02303569634679467
21,EV,c0,0.02711236122935682
21,EV,imm,0.02309419131614552
21,EV,lep,0.023365530733732792
21,EV,lico,0.023592165033706338
21,EV,rac,0.023260684616917843
21,EV,raw,0.024053068772731293
22,EV,bl,0.023027178414335388
22,EV,c0,0.0271116371035868
22,EV,imm,0.023080151372819283
22,EV,lep,0.02335866575995602
22,EV,lico,0.023592165033706338
22,EV,rac,0.02325208383579535
22,EV,raw,0.024045882547900133
23,EV,bl,0.02299539342141495
23,EV,c0,0.027029429367094158
23,EV,imm,0.023025238006500158
23,EV,lep,0.023322442490881386
23,EV,lico,0.02356775195958173
23,EV,rac,0.023207476147577493
23,EV,raw,0.023992716526484433
24,EV,bl,0.022985771468031164
24,EV,c0,0.02700295962044099
24,EV,imm,0.023008283147171533
24,EV,lep,0.023314614803321705
24,EV,lico,0.023562263898772674
24,EV,rac,0.02319396608628454
24,EV,raw,0.02397711544574215
25,EV,bl,0.022985283998609076
25,EV,c0,0.027001967088492507
25,EV,imm,0.023007602231332323
25,EV,lep,0.023314058311309588
25,EV,lico,0.023560965196297363
25,EV,rac,0.02319350364715979
25,EV,raw,0.023976639698949406
26,EV,bl,0.022940812914755117
26,EV,c0,0.026922742508536476
26,EV,imm,0.0229425796700629
26,EV,lep,0.02323087982580652
26,EV,lico,0.0235111826373104
26,EV,rac,0.02311683793373766
26,EV,raw,0.023904359925285206
27,EV,bl,0.022933813018259083
27,EV,c0,0.02691591367457992
27,EV,imm,0.022933469982905946
27,EV,lep,0.023222116089602497
27,EV,lico,0.023500347036130843
27,EV,rac,0.02310500047633369
27,EV,raw,0.02389672155689929
28,EV,bl,0.022930690221093782
28,EV,c0,0.026910995725591684
28,EV,imm,0.02292866053269772
28,EV,lep,0.023212219895330555
28,EV,lico,0.023493611738111406
28,EV,rac,0.02309851061990678
28,EV,raw,0.02389197176615142
29,EV,bl,0.022921644206055344
29,EV,c0,0.02688762391730539
29,EV,imm,0.02287470643673983
29,EV,lep,0.023178716815204187
29,EV,lico,0.023475158242632372
29,EV,rac,0.023060586960464508
29,EV,raw,0.023866039649742328
30,EV,bl,0.022921520109769215
30,EV,c0,0.026886459431996333
30,EV,imm,0.0228741323083946
30,EV,lep,0.023177955333891213
30,EV,lico,0.02347390638518889
30,EV,rac,0.023059681902038092
30,EV,raw,0.02386544337308157
31,EV,bl,0.022921520109769215
31,EV,c0,0.026886459431996333
31,EV,imm,0.0228741323083946
31,EV,lep,0.023177955333891213
31,EV,lico,0.02347390638518889
31,EV,rac,0.023059681902038092
31,EV,raw,0.02386544337308157
