iteration,period,group,ge_single
0,EV,bl,0.02402878704695212
0,EV,c0,0.027975313351460095
0,EV,imm,0.02460898105246879
0,EV,lep,0.02449569027733097
0,EV,lico,0.024802719053023944
0,EV,rac,0.024531845149986558
0,EV,raw,0.025101241584901537
1,EV,bl,0.02399660420517348
1,EV,c0,0.027908555284533693
1,EV,imm,0.02458078695381037
1,EV,lep,0.02445934703550885
1,EV,lico,0.02479094120286178
1,EV,rac,0.024499899184093194
1,EV,raw,0.02505292812184123
2,EV,bl,0.023994414555428237
2,EV,c0,0.027902176444147567
2,EV,imm,0.024578246183730928
2,EV,lep,0.024457985142346025
2,EV,lico,0.02479052403559439
2,EV,rac,0.024497121012410528
2,EV,raw,0.025049129085769704
3,EV,bl,0.02399285618958908
3,EV,c0,0.027895826983945837
3,EV,imm,0.024576540048982937
3,EV,lep,0.024454415783287508
3,EV,lico,0.02479052403559439
3,EV,rac,0.024495342426735928
3,EV,raw,0.025045972915857178
4,EV,bl,0.02399243628168174
4,EV,c0,0.027895234747083494
4,EV,imm,0.024576103464738153
4,EV,lep,0.024452927905015232
4,EV,lico,0.02479052403559439
4,EV,rac,0.024494791019738914
4,EV,raw,0.025045462855337198
5,EV,bl,0.023991773013852795
5,EV,c0,0.027893105439543476
5,EV,imm,0.024575348520469154
5,EV,lep,0.024451762368679117
5,EV,lico,0.02479052403559439
5,EV,rac,0.02449405908808378
5,EV,raw,0.025044442221961644
6,EV,bl,0.023989237494484953
6,EV,c0,0.027882875964658514
6,EV,imm,0.024572598983813764
6,EV,lep,0.024446179223423563
6,EV,lico,0.02479052403559439
6,EV,rac,0.024491242552391358
6,EV,raw,0.025039538964312966
7,EV,bl,0.023989087509801124
7,EV,c0,0.027882847675320874
7,EV,imm,0.0245725149571306
7,EV,lep,0.024445647841988945
7,EV,lico,0.02479052403559439
7,EV,rac,0.024491073195002107
7,EV,raw,0.02503941718431992
8,EV,bl,0.023984590277349532
8,EV,c0,0.027875731529927405
8,EV,imm,0.024569210306406974
8,EV,lep,0.024442020418787163
8,EV,lico,0.024789115816687073
8,EV,rac,0.02448694760168973
8,EV,raw,0.025034682676624846
9,EV,bl,0.023984590277349532
9,EV,c0,0.027875731529927405
9,EV,imm,0.024569210306406974
9,EV,lep,0.024442020418787163
9,EV,lico,0.024789115816687073
9,EV,rac,0.02448694760168973
9,EV,raw,0.025034682676624846
10,EV,bl,0.023984109598098886
10,EV,c0,0.02787372884688903
10,EV,imm,0.024568691884311298
10,EV,lep,0.024440800558470886
10,EV,lico,0.024789115816687073
10,EV,rac,0.024486372024016746
10,EV,raw,0.02503372273771926
11,EV,bl,0.02398307780326863
11,EV,c0,0.027871208144528165
11,EV,imm,0.02456796383833822
11,EV,lep,0.02444029991704692
11,EV,lico,0.024789115816687073
11,EV,rac,0.024485377154729992
11,EV,raw,0.02503244397922008
12,EV,bl,0.02398175164978252
12,EV,c0,0.027867353157639912
12,EV,imm,0.0245658051875396
12,EV,lep,0.02443929882444786
12,EV,lico,0.02478789900297731
12,EV,rac,0.02448359625832931
12,EV,raw,0.025030117583869773
13,EV,bl,0.02398175164978252
13,EV,c0,0.027867353157639912
13,EV,imm,0.0245658051875396
13,EV,lep,0.02443929882444786
13,EV,lico,0.02478789900297731
13,EV,rac,0.02448359625832931
13,EV,raw,0.025030117583869773
14,EV,bl,0.023978173269425952
14,EV,c0,0.02785797352737268
14,EV,imm,0.02456178454452044
14,EV,lep,0.024433278591550724
14,EV,lico,0.024786214861759002
14,EV,rac,0.024480193417713052
14,EV,raw,0.025024008365947665
15,EV,bl,0.023977957711437816
15,EV,c0,0.02785797352737268
15,EV,imm,0.02456151195085061
15,EV,lep,0.024433122995831752
15,EV,lico,0.024786214861759002
15,EV,rac,0.02448006521030255
15,EV,raw,0.025023795662104265
16,EV,bl,0.023977957711437816
16,EV,c0,0.02785797352737268
16,EV,imm,0.02456151195085061
16,EV,lep,0.024433122995831752
16,EV,lico,0.024786214861759002
16,EV,rac,0.02448006521030255
16,EV,raw,0.025023795662104265
17,EV,bl,0.023977957711437816
17,EV,c0,0.02785797352737268
17,EV,imm,0.02456151195085061
17,EV,lep,0.024433122995831752
17,EV,lico,0.024786214861759002
17,EV,rac,0.02448006521030255
17,EV,raw,0.025023795662104265
18,EV,bl,0.023977842611868964
18,EV,c0,0.02785772609413652
18,EV,imm,0.02456140342797679
18,EV,lep,0.024432989304005524
18,EV,lico,0.024785881986976788
18,EV,rac,0.02447993066393189
18,EV,raw,0.02502365659163014
19,EV,bl,0.023962191176270166
19,EV,c0,0.02785125030028677
19,EV,imm,0.02454722475837986
19,EV,lep,0.024378540614257923
19,EV,lico,0.024783944094745457
19,EV,rac,0.024462616742048904
19,EV,raw,0.02498357533766293
20,EV,bl,0.023946182157046136
20,EV,c0,0.02783166624531707
20,EV,imm,0.02452709642421026
20,EV,lep,0.02436712245838623
20,EV,lico,0.02478352511275632
20,EV,rac,0.024446615764013097
20,EV,raw,0.024966435342120927
21,EV,bl,0.02394604653794315
21,EV,c0,0.027830540875043542
21,EV,imm,0.024526848333832632
21,EV,lep,0.024366684771828975
21,EV,lico,0.02478352511275632
21,EV,rac,0.024446398912883537
21,EV,raw,0.02496589592240845
22,EV,bl,0.023945838717747265
22,EV,c0,0.027829952964552464
22,EV,imm,0.024526625410176976
22,EV,lep,0.02436658055359868
22,EV,lico,0.024782734190001897
22,EV,rac,0.024446149756148814
22,EV,raw,0.024965614121373252
23,EV,bl,0.023945616630306466
23,EV,c0,0.02782886433683533
23,EV,imm,0.024526282565488975
23,EV,lep,0.024366217938703298
23,EV,lico,0.024782734190001897
23,EV,rac,0.024445881551436035
23,EV,raw,0.02496509231333905
24,EV,bl,0.023945499937245113
24,EV,c0,0.027828826149693512
24,EV,imm,0.024526175106173893
24,EV,lep,0.02436612704664851
24,EV,lico,0.024782734190001897
24,EV,rac,0.02444580227803298
24,EV,raw,0.024965001522605133
25,EV,bl,0.023944963968811957
25,EV,c0,0.027828768305750696
25,EV,imm,0.0245249527435156
25,EV,lep,0.02435912546868534
25,EV,lico,0.024782734190001897
25,EV,rac,0.02444419981577807
25,EV,raw,0.024961653205771317
26,EV,bl,0.023900514447738344
26,EV,c0,0.027756788158134142
26,EV,imm,0.024480979820307072
26,EV,lep,0.02431791867484351
26,EV,lico,0.024736401532879242
26,EV,rac,0.0244019705832628
26,EV,raw,0.024904459295192558
27,EV,bl,0.023859079502829107
27,EV,c0,0.02771328847997988
27,EV,imm,0.024446425763221088
27,EV,lep,0.02427976261271512
27,EV,lico,0.024689719946453102
27,EV,rac,0.024366781360026794
27,EV,raw,0.024865885542467048
28,EV,bl,0.02385406140307301
28,EV,c0,0.027706814326427853
28,EV,imm,0.024442497432115826
28,EV,lep,0.0242744119263659
28,EV,lico,0.02468443403235215
28,EV,rac,0.02436258075815833
28,EV,raw,0.024860536186301567
29,EV,bl,0.023840572141501006
29,EV,c0,0.027688705665963986
29,EV,imm,0.02443181652537284
29,EV,lep,0.024254884030559358
29,EV,lico,0.024658356113667984
29,EV,rac,0.024348299225853985
29,EV,raw,0.024841219297579136
30,EV,bl,0.023837752205055077
30,EV,c0,0.02768560990681638
30,EV,imm,0.02443022239024718
30,EV,lep,0.024252247256351132
30,EV,lico,0.02465450767155479
30,EV,rac,0.024345674949383375
30,EV,raw,0.02483811693148409
31,EV,bl,0.023836389196507424
31,EV,c0,0.02768356920262346
31,EV,imm,0.02442864387987726
31,EV,lep,0.02424759678211877
31,EV,lico,0.024654105324288585
31,EV,rac,0.024343119410882144
31,EV,raw,0.024834816965829967
32,EV,bl,0.023833657230696418
32,EV,c0,0.027681093011253925
32,EV,imm,0.024427055673319684
32,EV,lep,0.02424604898934968
32,EV,lico,0.02465062278308036
32,EV,rac,0.024340905427261552
32,EV,raw,0.024832296575637645
33,EV,bl,0.023826464863305745
33,EV,c0,0.027672616383810765
33,EV,imm,0.024420268882677346
33,EV,lep,0.024236018340413848
33,EV,lico,0.02464595683232748
33,EV,rac,0.02433305604924748
33,EV,raw,0.024818717259558552
34,EV,bl,0.023819577825666724
34,EV,c0,0.02765988791257385
34,EV,imm,0.02441513873987673
34,EV,lep,0.02422890813238062
34,EV,lico,0.024638057233610663
34,EV,rac,0.024326915385358555
34,EV,raw,0.024810521331763515
35,EV,bl,0.023818472727904112
35,EV,c0,0.027658850230032683
35,EV,imm,0.02441453913243772
35,EV,lep,0.02422828755704367
35,EV,lico,0.024637294413464583
35,EV,rac,0.024326098952502644
35,EV,raw,0.02480975215485415
36,EV,bl,0.023818278558386342
36,EV,c0,0.027658538464049344
36,EV,imm,0.02441437844466173
36,EV,lep,0.024227948327321242
36,EV,lico,0.024637294413464583
36,EV,rac,0.02432588203192161
36,EV,raw,0.024809460391670292
37,EV,bl,0.023804694007655357
37,EV,c0,0.02764345658423708
37,EV,imm,0.02440413660664172
37,EV,lep,0.024212796362706422
37,EV,lico,0.02462683456457854
37,EV,rac,0.024312144886514567
37,EV,raw,0.02478652688827703
38,EV,bl,0.02380399677389623
38,EV,c0,0.027643207537660013
38,EV,imm,0.024403586439207606
38,EV,lep,0.024212144241270682
38,EV,lico,0.02462683456457854
38,EV,rac,0.024311624439380414
38,EV,raw,0.02478596470653389
39,EV,bl,0.02380349446064227
39,EV,c0,0.027642214984590078
39,EV,imm,0.024403113936978374
39,EV,lep,0.024211994092960352
39,EV,lico,0.024626757817429696
39,EV,rac,0.024311196349916377
39,EV,raw,0.02478539006825759
40,EV,bl,0.023790997351086474
40,EV,c0,0.02762234854207766
