iteration,period,group,ge_single
0,MD,bl,0.02525462235495868
0,MD,c0,0.028143217205052702
0,MD,imm,0.025979393764807124
0,MD,lep,0.025270118545912268
0,MD,lico,0.025872169848976504
0,MD,rac,0.0255713185785006
0,MD,raw,0.026233716926599693
1,MD,bl,0.02524748877291757
1,MD,c0,0.028136188615624242
1,MD,imm,0.02596649649182441
1,MD,lep,0.02524085624440788
1,MD,lico,0.025857861475038414
1,MD,rac,0.025553773000652587
1,MD,raw,0.026223047315346505
2,MD,bl,0.02524732667765575
2,MD,c0,0.02813587482908837
2,MD,imm,0.025965389314600185
2,MD,lep,0.025240145159177444
2,MD,lico,0.0258575184918652
2,MD,rac,0.025552944479792172
2,MD,raw,0.02622236111340601
3,MD,bl,0.02524732667765575
3,MD,c0,0.02813587482908837
3,MD,imm,0.025965389314600185
3,MD,lep,0.025240145159177444
3,MD,lico,0.0258575184918652
3,MD,rac,0.025552944479792172
3,MD,raw,0.02622236111340601
4,MD,bl,0.0252369045838645
4,MD,c0,0.028126636628826227
4,MD,imm,0.025956492984870055
4,MD,lep,0.025229075414848458
4,MD,lico,0.025844086735942344
4,MD,rac,0.025542804805024334
4,MD,raw,0.026211399764239102
5,MD,bl,0.02523475473874548
5,MD,c0,0.028124593885550827
5,MD,imm,0.025954273592797342
5,MD,lep,0.02522712991999866
5,MD,lico,0.025841353596433008
5,MD,rac,0.025540579158202466
5,MD,raw,0.026209115169691995
6,MD,bl,0.02523475473874548
6,MD,c0,0.028124593885550827
6,MD,imm,0.025954273592797342
6,MD,lep,0.02522712991999866
6,MD,lico,0.025841353596433008
6,MD,rac,0.025540579158202466
6,MD,raw,0.026209115169691995
7,MD,bl,0.02523475473874548
7,MD,c0,0.028124593885550827
7,MD,imm,0.025954273592797342
7,MD,lep,0.02522712991999866
7,MD,lico,0.025841353596433008
7,MD,rac,0.025540579158202466
7,MD,raw,0.026209115169691995
8,MD,bl,0.025234185725829878
8,MD,c0,0.028124318462059414
8,MD,imm,0.02595382786898797
8,MD,lep,0.025226873983878906
8,MD,lico,0.02584105675490574
8,MD,rac,0.0255401900760375
8,MD,raw,0.026208829243091446
9,MD,bl,0.02523357119497558
9,MD,c0,0.028124318462059414
9,MD,imm,0.025952039809123504
9,MD,lep,0.025222037675927945
9,MD,lico,0.025840801489091063
9,MD,rac,0.025537998995223497
9,MD,raw,0.026207629829210804
10,MD,bl,0.025232189364424795
10,MD,c0,0.02812407480942976
10,MD,imm,0.02595014730300754
10,MD,lep,0.02521723187302353
10,MD,lico,0.025840535165515873
10,MD,rac,0.025535409979171673
10,MD,raw,0.02620612334010092
11,MD,bl,0.025232189364424795
11,MD,c0,0.02812407480942976
11,MD,imm,0.02595014730300754
11,MD,lep,0.02521723187302353
11,MD,lico,0.025840535165515873
11,MD,rac,0.025535409979171673
11,MD,raw,0.02620612334010092
12,MD,bl,0.02522961507411198
12,MD,c0,0.028122406371212414
12,MD,imm,0.02594641840836624
12,MD,lep,0.0252103824705055
12,MD,lico,0.02583569534809671
12,MD,rac,0.02553120483515546
12,MD,raw,0.02620327526905545
13,MD,bl,0.025213947916036976
13,MD,c0,0.028113617072897355
13,MD,imm,0.0259262836012898
13,MD,lep,0.025186513372665646
13,MD,lico,0.025816216357584725
13,MD,rac,0.025505875310182637
13,MD,raw,0.026187546026146116
14,MD,bl,0.02521282179462337
14,MD,c0,0.028113617072897355
14,MD,imm,0.025925044280420903
14,MD,lep,0.025185760837890366
14,MD,lico,0.025816216357584725
14,MD,rac,0.02550426085906205
14,MD,raw,0.026186388621767195
15,MD,bl,0.02521273894723517
15,MD,c0,0.028113617072897355
15,MD,imm,0.025924898834494062
15,MD,lep,0.025185511019123356
15,MD,lico,0.025815974935551007
15,MD,rac,0.025504109591118294
15,MD,raw,0.026186283139205572
16,MD,bl,0.02521214531008991
16,MD,c0,0.028113617072897355
16,MD,imm,0.025924302231037515
16,MD,lep,0.02518502338533013
16,MD,lico,0.025815974935551007
16,MD,rac,0.025503280342318444
16,MD,raw,0.02618569360722853
17,MD,bl,0.025211643986705657
17,MD,c0,0.028113617072897355
17,MD,imm,0.02592375072720513
17,MD,lep,0.025184692448282336
17,MD,lico,0.025815974935551007
17,MD,rac,0.02550256376443693
17,MD,raw,0.026185183011951996
18,MD,bl,0.025211625545938678
18,MD,c0,0.028113590011441873
18,MD,imm,0.025923734509993905
18,MD,lep,0.025184682655976582
18,MD,lico,0.025815945356130566
18,MD,rac,0.025502544774181513
18,MD,raw,0.026185170088056892
19,MD,bl,0.025204784274966065
19,MD,c0,0.028103227652439344
19,MD,imm,0.02591703572442423
19,MD,lep,0.025176976568788933
19,MD,lico,0.025809618211029266
19,MD,rac,0.025493617116508802
19,MD,raw,0.026179906466144973
20,MD,bl,0.025200664910645345
20,MD,c0,0.02809940139069407
20,MD,imm,0.025911424720018554
20,MD,lep,0.025171899429540203
20,MD,lico,0.025800683675143973
20,MD,rac,0.025486858896900468
20,MD,raw,0.026175793513330253
21,MD,bl,0.025200520315710635
21,MD,c0,0.02809940139069407
21,MD,imm,0.025911188956895648
21,MD,lep,0.025171420445022727
21,MD,lico,0.025800126375296658
21,MD,rac,0.02548637946762435
