iteration,period,group,ge_single
0,MD,bl,0.02525462235495868
0,MD,c0,0.028143217205052702
0,MD,imm,0.025979393764807124
0,MD,lep,0.025270118545912268
0,MD,lico,0.025872169848976504
0,MD,rac,0.0255713185785006
0,MD,raw,0.026233716926599693
1,MD,bl,0.02522457588343446
1,MD,c0,0.02812633687980853
1,MD,imm,0.02596987701475467
1,MD,lep,0.02526048911437009
1,MD,lico,0.025850526775842424
1,MD,rac,0.02555745772920983
1,MD,raw,0.026223214601756282
2,MD,bl,0.025209102818810964
2,MD,c0,0.028116297158379516
2,MD,imm,0.025958910026243794
2,MD,lep,0.02523755985526336
2,MD,lico,0.02584372721746309
2,MD,rac,0.025545301572718317
2,MD,raw,0.02620647841318826
3,MD,bl,0.025203473717148414
3,MD,c0,0.02810659777719882
3,MD,imm,0.025955937697669712
3,MD,lep,0.025231390921500573
3,MD,lico,0.025832966007408704
3,MD,rac,0.02553880807400765
3,MD,raw,0.026200695205041268
4,MD,bl,0.025195923081315408
4,MD,c0,0.028099166632635918
4,MD,imm,0.025948549292116454
4,MD,lep,0.025227480831908046
4,MD,lico,0.02582712189438917
4,MD,rac,0.025532514218076462
4,MD,raw,0.026195353614874035
5,MD,bl,0.025194490763562758
5,MD,c0,0.02809772661045553
5,MD,imm,0.02594726074539857
5,MD,lep,0.02522679225645974
5,MD,lico,0.02582690319442921
5,MD,rac,0.02553142875563222
5,MD,raw,0.026194665895190313
6,MD,bl,0.025193769784618077
6,MD,c0,0.028096605050254304
6,MD,imm,0.02594627465750055
6,MD,lep,0.025225448521968837
6,MD,lico,0.02582690319442921
6,MD,rac,0.025530772030447985
6,MD,raw,0.026193891842225325
7,MD,bl,0.025193769784618077
7,MD,c0,0.028096605050254304
7,MD,imm,0.02594627465750055
7,MD,lep,0.025225448521968837
7,MD,lico,0.02582690319442921
7,MD,rac,0.025530772030447985
7,MD,raw,0.026193891842225325
8,MD,bl,0.02517534105175158
8,MD,c0,0.02808997568270489
8,MD,imm,0.025938397790449853
8,MD,lep,0.02521846125586389
8,MD,lico,0.025814323491621053
8,MD,rac,0.025522963639806554
8,MD,raw,0.026186732679647537
9,MD,bl,0.025175279036210706
9,MD,c0,0.028089821531791816
9,MD,imm,0.025938323542884188
9,MD,lep,0.025218327119846937
9,MD,lico,0.025814323491621053
9,MD,rac,0.025522909852689093
9,MD,raw,0.026186659060908446
10,MD,bl,0.02516992714959133
10,MD,c0,0.028086060871991506
10,MD,imm,0.02592604006842884
10,MD,lep,0.02521065340453222
10,MD,lico,0.025809932327256452
10,MD,rac,0.025513760936922467
10,MD,raw,0.026180233077971432
11,MD,bl,0.02516913140530772
11,MD,c0,0.02808205585973365
11,MD,imm,0.025921040104283397
11,MD,lep,0.025207535575417352
11,MD,lico,0.025805451323984215
11,MD,rac,0.02551092962218123
11,MD,raw,0.02617805337369929
12,MD,bl,0.02516913140530772
12,MD,c0,0.02808205585973365
12,MD,imm,0.025921040104283397
12,MD,lep,0.025207535575417352
12,MD,lico,0.025805451323984215
12,MD,rac,0.02551092962218123
12,MD,raw,0.02617802875635286
13,MD,bl,0.025167598836345235
13,MD,c0,0.028080791356534938
13,MD,imm,0.02591999827404838
13,MD,lep,0.025206825235101978
13,MD,lico,0.025803551507804726
13,MD,rac,0.025510070794696072
13,MD,raw,0.02617719868515291
14,MD,bl,0.025167598836345235
14,MD,c0,0.028080791356534938
14,MD,imm,0.02591999827404838
14,MD,lep,0.025206825235101978
14,MD,lico,0.025803551507804726
14,MD,rac,0.025510070794696072
14,MD,raw,0.02617719868515291
15,MD,bl,0.025161434853726093
15,MD,c0,0.028078344404047044
15,MD,imm,0.025918306990196316
15,MD,lep,0.025205735592415103
15,MD,lico,0.025800876875744224
15,MD,rac,0.025507916117927975
15,MD,raw,0.026175690531006178
16,MD,bl,0.025161434853726093
16,MD,c0,0.028078344404047044
16,MD,imm,0.025918306990196316
16,MD,lep,0.025205735592415103
16,MD,lico,0.025800876875744224
16,MD,rac,0.025507916117927975
16,MD,raw,0.026175690531006178
17,MD,bl,0.02515961395083866
17,MD,c0,0.02807526138156485
17,MD,imm,0.025917361046659225
17,MD,lep,0.02520377746748688
17,MD,lico,0.0257974328788587
17,MD,rac,0.025505845503519396
17,MD,raw,0.02617385550438528
18,MD,bl,0.02515953059794342
18,MD,c0,0.02807507945526311
18,MD,imm,0.02591725134666852
18,MD,lep,0.025203600867414067
18,MD,lico,0.0257974328788587
18,MD,rac,0.025505775877650398
18,MD,raw,0.026173768620793902
19,MD,bl,0.02515953059794342
19,MD,c0,0.02807507945526311
19,MD,imm,0.02591725134666852
19,MD,lep,0.025203600867414067
19,MD,lico,0.0257974328788587
19,MD,rac,0.025505775877650398
19,MD,raw,0.026173768620793902
20,MD,bl,0.025159497418595064
20,MD,c0,0.02807507945526311
20,MD,imm,0.02591711250556202
20,MD,lep,0.02520356292734315
20,MD,lico,0.0257974328788587
20,MD,rac,0.0255057206349404
20,MD,raw,0.026173721803876143
21,MD,bl,0.0251577792872227
21,MD,c0,0.028074288665217623
21,MD,imm,0.025916658550069492
21,MD,lep,0.025203273315901838
21,MD,lico,0.02579656850882322
21,MD,rac,0.025505145415917727
