iteration,period,group,ge_single
0,MD,bl,0.02525462235495868
0,MD,c0,0.028143217205052702
0,MD,imm,0.025979393764807124
0,MD,lep,0.025270118545912268
0,MD,lico,0.025872169848976504
0,MD,rac,0.0255713185785006
0,MD,raw,0.026233716926599693
1,MD,bl,0.025142639319006878
1,MD,c0,0.027994500882201106
1,MD,imm,0.02574831091816325
1,MD,lep,0.02511931525231061
1,MD,lico,0.025777875117980315
1,MD,rac,0.02539300205085751
1,MD,raw,0.025994803352646426
2,MD,bl,0.02513191436485593
2,MD,c0,0.027966864459368843
2,MD,imm,0.025722063635601856
2,MD,lep,0.025109544120173622
2,MD,lico,0.02577375900557335
2,MD,rac,0.025373037011172633
2,MD,raw,0.025973555568845123
3,MD,bl,0.024972806669193305
3,MD,c0,0.027776353696534358
3,MD,imm,0.02555583599576691
3,MD,lep,0.024966843883738783
3,MD,lico,0.025590785659151585
3,MD,rac,0.025206544269917478
3,MD,raw,0.025804971059052956
4,MD,bl,0.024864581771493706
4,MD,c0,0.027647116305677604
4,MD,imm,0.025433023329963556
4,MD,lep,0.024874512495324415
4,MD,lico,0.025458100972837433
4,MD,rac,0.02508915607427526
4,MD,raw,0.025691946020917074
5,MD,bl,0.024864581771493706
5,MD,c0,0.027647116305677604
5,MD,imm,0.025433023329963556
5,MD,lep,0.024874512495324415
5,MD,lico,0.025458100972837433
5,MD,rac,0.02508915607427526
5,MD,raw,0.025691946020917074
6,MD,bl,0.024796783176607735
6,MD,c0,0.027504080332593574
6,MD,imm,0.025255324188382857
6,MD,lep,0.024761256170098823
6,MD,lico,0.02536753857665083
6,MD,rac,0.02495285394676636
6,MD,raw,0.025534774078365557
7,MD,bl,0.024795178435049834
7,MD,c0,0.02750060315703256
7,MD,imm,0.025248641075211367
7,MD,lep,0.02475824090395537
7,MD,lico,0.025365094320572188
7,MD,rac,0.02494896714074317
7,MD,raw,0.02553057750303646
8,MD,bl,0.02474347072870587
8,MD,c0,0.02747848721176959
8,MD,imm,0.025203363270653093
8,MD,lep,0.02471771456356353
8,MD,lico,0.025318501561916913
8,MD,rac,0.024897816510935467
8,MD,raw,0.025490797430611004
9,MD,bl,0.0247289111973464
9,MD,c0,0.02746622137192382
9,MD,imm,0.02519367229330912
9,MD,lep,0.024711019341661058
9,MD,lico,0.02530648664822138
9,MD,rac,0.024884382707137283
9,MD,raw,0.025480225977042918
10,MD,bl,0.02471977739691826
10,MD,c0,0.027449715965122207
10,MD,imm,0.025181771858961356
10,MD,lep,0.02470312511006803
10,MD,lico,0.02529372074101419
10,MD,rac,0.02487372358207344
10,MD,raw,0.025464399685655708
11,MD,bl,0.024597652443247072
11,MD,c0,0.027290691658872192
11,MD,imm,0.0250784814053264
11,MD,lep,0.024557813641402953
11,MD,lico,0.025156148401407747
11,MD,rac,0.024767917004624676
11,MD,raw,0.025293099498590436
12,MD,bl,0.024589398645911194
12,MD,c0,0.02728256402081502
12,MD,imm,0.02506998524024887
12,MD,lep,0.024549976628085054
12,MD,lico,0.025151426932091436
12,MD,rac,0.024760901159091922
12,MD,raw,0.025282062522920205
13,MD,bl,0.024582809291915222
13,MD,c0,0.02726974950639386
13,MD,imm,0.025056154143304598
13,MD,lep,0.02454194018421759
13,MD,lico,0.025144682713475766
13,MD,rac,0.02474938148870399
13,MD,raw,0.02526851073760455
14,MD,bl,0.02457891684020404
14,MD,c0,0.02726137047065525
14,MD,imm,0.025052466357777664
14,MD,lep,0.024537050951646634
14,MD,lico,0.02514353947534501
14,MD,rac,0.0247457436482281
14,MD,raw,0.025261767788660527
15,MD,bl,0.024564066479426598
15,MD,c0,0.02724919745005529
15,MD,imm,0.025042820172603356
15,MD,lep,0.024527816160865207
15,MD,lico,0.02513407420314215
15,MD,rac,0.024732593157246095
15,MD,raw,0.025250920109745348
16,MD,bl,0.024555835352619963
16,MD,c0,0.027239376540547797
16,MD,imm,0.025038655313515377
16,MD,lep,0.024523594010458404
16,MD,lico,0.025132863055460683
16,MD,rac,0.02472535294285635
16,MD,raw,0.0252445811597667
17,MD,bl,0.024535859295714935
17,MD,c0,0.027211617693336503
17,MD,imm,0.025020209814426778
17,MD,lep,0.02450353204074046
17,MD,lico,0.02511865417049191
17,MD,rac,0.024708409327136315
17,MD,raw,0.025215010533054145
18,MD,bl,0.024527083340603627
18,MD,c0,0.02719705853242473
18,MD,imm,0.025009697039575136
18,MD,lep,0.02449690340822944
18,MD,lico,0.025109368433430788
18,MD,rac,0.024699967965443288
18,MD,raw,0.025205849454246254
19,MD,bl,0.024520494262174695
19,MD,c0,0.02718249252661533
19,MD,imm,0.02500036846346977
19,MD,lep,0.02449014231143147
19,MD,lico,0.025103591949616182
19,MD,rac,0.024691517827771667
19,MD,raw,0.025191516530077566
20,MD,bl,0.024515889905748486
20,MD,c0,0.0271694737440318
20,MD,imm,0.02499447283555237
20,MD,lep,0.024485397051525484
20,MD,lico,0.025098903245573307
20,MD,rac,0.02468709254881535
20,MD,raw,0.025183296046380914
21,MD,bl,0.024511735909552405
21,MD,c0,0.027163639852139453
21,MD,imm,0.02499185060810947
21,MD,lep,0.024481658580767934
21,MD,lico,0.025093474829125363
21,MD,rac,0.02468373991921995
