iteration,period,group,ge_single
0,MD,bl,0.02525462235495868
0,MD,c0,0.028143217205052702
0,MD,imm,0.025979393764807124
0,MD,lep,0.025270118545912268
0,MD,lico,0.025872169848976504
0,MD,rac,0.0255713185785006
0,MD,raw,0.026233716926599693
1,MD,bl,0.025021217422233732
1,MD,c0,0.027964479044903196
1,MD,imm,0.025777581422529637
1,MD,lep,0.025122968025575412
1,MD,lico,0.02564199585095924
1,MD,rac,0.02534871871261338
1,MD,raw,0.026059780382658538
2,MD,bl,0.024975111757891296
2,MD,c0,0.02791682155555589
2,MD,imm,0.025738000294306007
2,MD,lep,0.02509091517656474
2,MD,lico,0.02559490954133944
2,MD,rac,0.02530568537467666
2,MD,raw,0.026026605948924017
3,MD,bl,0.024895244899982624
3,MD,c0,0.027845823101514212
3,MD,imm,0.025486058594801526
3,MD,lep,0.024893129915262813
3,MD,lico,0.025468298846455094
3,MD,rac,0.02510568329711104
3,MD,raw,0.025862816832345065
4,MD,bl,0.024890480395201763
4,MD,c0,0.02783971584014845
4,MD,imm,0.02546774399156207
4,MD,lep,0.024877874687774332
4,MD,lico,0.02546281936475828
4,MD,rac,0.0250910223376058
4,MD,raw,0.02585216068661007
5,MD,bl,0.024887611820529284
5,MD,c0,0.027836473262989554
5,MD,imm,0.025464656693354307
5,MD,lep,0.02487553588563403
5,MD,lico,0.025459449536026496
5,MD,rac,0.02508821113617666
5,MD,raw,0.025849941352345324
6,MD,bl,0.02483321872713515
6,MD,c0,0.027781093481171797
6,MD,imm,0.025409880766671243
6,MD,lep,0.02481326862601961
6,MD,lico,0.02540350545591075
6,MD,rac,0.025035415610079853
6,MD,raw,0.025771769741439698
7,MD,bl,0.024723306748332452
7,MD,c0,0.027693846053668425
7,MD,imm,0.025305734423230846
7,MD,lep,0.024728527506768114
7,MD,lico,0.025306889255583442
7,MD,rac,0.024925410355344152
7,MD,raw,0.02567466459778806
8,MD,bl,0.024579804063832075
8,MD,c0,0.027610827714943678
8,MD,imm,0.025112236443629327
8,MD,lep,0.024598595716889212
8,MD,lico,0.02518042632992133
8,MD,rac,0.02477920856994173
8,MD,raw,0.025526888317294865
9,MD,bl,0.02457749825532055
9,MD,c0,0.027596107748886503
9,MD,imm,0.02509262306799482
9,MD,lep,0.024585293627980252
9,MD,lico,0.02517258650474313
9,MD,rac,0.024765701543189793
9,MD,raw,0.02551822147189568
10,MD,bl,0.02455679363052508
10,MD,c0,0.02758623173677677
10,MD,imm,0.025072045550487934
10,MD,lep,0.024571048446642065
10,MD,lico,0.025150263667328303
10,MD,rac,0.024745700735427686
10,MD,raw,0.02550301645078798
11,MD,bl,0.024491233478689655
11,MD,c0,0.027509791228153124
11,MD,imm,0.025013864845349072
11,MD,lep,0.024512593524417883
11,MD,lico,0.02507070060661428
11,MD,rac,0.02468956601627254
11,MD,raw,0.025431720477990985
12,MD,bl,0.02448789369996794
12,MD,c0,0.027495186876122138
12,MD,imm,0.024991946733518962
12,MD,lep,0.02449038704955962
12,MD,lico,0.02504978351831327
12,MD,rac,0.024672037537287875
12,MD,raw,0.02542153783013929
13,MD,bl,0.024481822322423206
13,MD,c0,0.027488808257147133
13,MD,imm,0.024985648520810633
13,MD,lep,0.02448501427883221
13,MD,lico,0.025049015538927702
13,MD,rac,0.024667430985155333
13,MD,raw,0.02541691598723564
14,MD,bl,0.02447370092970258
14,MD,c0,0.02747571646459378
14,MD,imm,0.02497963983349412
14,MD,lep,0.024476746105167497
14,MD,lico,0.025035588435889808
14,MD,rac,0.02466136648037318
14,MD,raw,0.02540785233711674
15,MD,bl,0.02447140242924736
15,MD,c0,0.02747397747800618
15,MD,imm,0.02497614954228555
15,MD,lep,0.024473882707100894
15,MD,lico,0.025033874778175036
15,MD,rac,0.024658906070158547
15,MD,raw,0.025404931482239993
16,MD,bl,0.024469833835721367
16,MD,c0,0.027471812772963105
16,MD,imm,0.02497503888607307
16,MD,lep,0.024472769551078164
16,MD,lico,0.025032408379479506
16,MD,rac,0.024657315986533333
16,MD,raw,0.02540359796366086
17,MD,bl,0.024464970984011302
17,MD,c0,0.02746927873330612
17,MD,imm,0.024968663393710833
17,MD,lep,0.024466797028122156
17,MD,lico,0.025030097963943284
17,MD,rac,0.024652732138271516
17,MD,raw,0.02539814432276852
18,MD,bl,0.024464970984011302
18,MD,c0,0.02746927873330612
18,MD,imm,0.024968663393710833
18,MD,lep,0.024466797028122156
18,MD,lico,0.025030097963943284
18,MD,rac,0.024652732138271516
18,MD,raw,0.02539814432276852
19,MD,bl,0.024436595010719386
19,MD,c0,0.027438506463228058
19,MD,imm,0.02493344746466592
19,MD,lep,0.024430092617227336
19,MD,lico,0.024980293247823405
19,MD,rac,0.02461844332215169
19,MD,raw,0.025346216891646386
20,MD,bl,0.024428143581125456
20,MD,c0,0.02743145556440046
20,MD,imm,0.024923459988451562
20,MD,lep,0.02442479400281932
20,MD,lico,0.024968021664389006
20,MD,rac,0.024610840763409882
20,MD,raw,0.02534085516870882
21,MD,bl,0.024416578635303963
21,MD,c0,0.027424000282409967
21,MD,imm,0.024917432219706374
21,MD,lep,0.02441943943656672
21,MD,lico,0.024959783739948234
21,MD,rac,0.024604857471173892
