iteration,period,group,ge_single
0,MD,bl,0.02525462235495868
0,MD,c0,0.028143217205052702
0,MD,imm,0.025979393764807124
0,MD,lep,0.025270118545912268
0,MD,lico,0.025872169848976504
0,MD,rac,0.0255713185785006
0,MD,raw,0.026233716926599693
1,MD,bl,0.025238165364438705
1,MD,c0,0.028118031497246843
1,MD,imm,0.025961689922099906
1,MD,lep,0.025216445014036973
1,MD,lico,0.02585950579105226
1,MD,rac,0.025551242903242788
1,MD,raw,0.02619807628369873
2,MD,bl,0.025236318594584025
2,MD,c0,0.028115926560452056
2,MD,imm,0.02595974098251654
2,MD,lep,0.02521248082106018
2,MD,lico,0.0258591952079843
2,MD,rac,0.02554926236222604
2,MD,raw,0.026194765632239894
3,MD,bl,0.025236170580557805
3,MD,c0,0.028115323847081524
3,MD,imm,0.02595955542058472
3,MD,lep,0.02521244371803332
3,MD,lico,0.02585915406127247
3,MD,rac,0.02554906603486676
3,MD,raw,0.026194440267749718
4,MD,bl,0.02523614076043647
4,MD,c0,0.0281152894454587
4,MD,imm,0.025959518376281104
4,MD,lep,0.02521242393143986
4,MD,lico,0.02585915406127247
4,MD,rac,0.02554904187653434
4,MD,raw,0.026194397899730184
5,MD,bl,0.025235213308034736
5,MD,c0,0.02811426190516997
5,MD,imm,0.02595861018402311
5,MD,lep,0.025210628705451082
5,MD,lico,0.025859067892177356
5,MD,rac,0.025548038879593588
5,MD,raw,0.026192770959823284
6,MD,bl,0.025228329061419773
6,MD,c0,0.028107662124817794
6,MD,imm,0.025951163892432003
6,MD,lep,0.025195717891046094
6,MD,lico,0.025854498486838635
6,MD,rac,0.02554021169200617
6,MD,raw,0.026180073002419983
7,MD,bl,0.02522807490189916
7,MD,c0,0.028107533059419067
7,MD,imm,0.025950872120381767
7,MD,lep,0.02519515608129018
7,MD,lico,0.02585435741239806
7,MD,rac,0.02553992059503591
7,MD,raw,0.026179577664034726
8,MD,bl,0.0252278815504463
8,MD,c0,0.028107533059419067
8,MD,imm,0.025950646956117266
8,MD,lep,0.025194746201725775
8,MD,lico,0.02585435741239806
8,MD,rac,0.025539704085532227
8,MD,raw,0.02617918526890549
9,MD,bl,0.025227870830329485
9,MD,c0,0.028107533059419067
9,MD,imm,0.025950639170553423
9,MD,lep,0.02519473698471139
9,MD,lico,0.02585435741239806
9,MD,rac,0.025539693207975417
9,MD,raw,0.026179167809933155
10,MD,bl,0.025227870830329485
10,MD,c0,0.028107533059419067
10,MD,imm,0.025950639170553423
10,MD,lep,0.02519473698471139
10,MD,lico,0.02585435741239806
10,MD,rac,0.025539693207975417
10,MD,raw,0.026179167809933155
11,MD,bl,0.025227842079126487
11,MD,c0,0.028107412248202814
11,MD,imm,0.025950522590314624
11,MD,lep,0.025194716115785366
11,MD,lico,0.02585435741239806
11,MD,rac,0.02553963351166894
11,MD,raw,0.026179040384253133
12,MD,bl,0.025227248072062367
12,MD,c0,0.028105707541205224
12,MD,imm,0.025948717524291294
12,MD,lep,0.025193629416227374
12,MD,lico,0.025853991467420633
12,MD,rac,0.025538471219397892
12,MD,raw,0.02617816030315773
13,MD,bl,0.02522723964383368
13,MD,c0,0.028105707541205224
13,MD,imm,0.025948713540346783
13,MD,lep,0.025193614305747097
13,MD,lico,0.025853991467420633
13,MD,rac,0.02553845503528327
13,MD,raw,0.02617812238645315
14,MD,bl,0.02522723964383368
14,MD,c0,0.028105707541205224
14,MD,imm,0.025948713540346783
14,MD,lep,0.025193614305747097
14,MD,lico,0.025853991467420633
14,MD,rac,0.02553845503528327
14,MD,raw,0.02617812238645315
15,MD,bl,0.025214177089659867
15,MD,c0,0.028094529192383665
15,MD,imm,0.02593740510621358
15,MD,lep,0.025141334882846183
15,MD,lico,0.025843310056170337
15,MD,rac,0.025522807658679505
15,MD,raw,0.026147882681624084
16,MD,bl,0.025214177089659867
16,MD,c0,0.028094529192383665
16,MD,imm,0.02593740510621358
16,MD,lep,0.025141334882846183
16,MD,lico,0.025843310056170337
16,MD,rac,0.025522807658679505
16,MD,raw,0.026147882681624084
17,MD,bl,0.025214177089659867
17,MD,c0,0.028094529192383665
17,MD,imm,0.02593740510621358
17,MD,lep,0.025141334882846183
17,MD,lico,0.025843310056170337
17,MD,rac,0.025522807658679505
17,MD,raw,0.026147882681624084
18,MD,bl,0.025214177089659867
18,MD,c0,0.028094529192383665
18,MD,imm,0.02593740510621358
18,MD,lep,0.025141334882846183
18,MD,lico,0.025843310056170337
18,MD,rac,0.025522807658679505
18,MD,raw,0.026147882681624084
19,MD,bl,0.025206699482757822
19,MD,c0,0.028081717103141838
19,MD,imm,0.025930170354104148
19,MD,lep,0.02513507891988507
19,MD,lico,0.02583670190237737
19,MD,rac,0.025515438945258918
19,MD,raw,0.026139238360598303
20,MD,bl,0.025206451936751032
20,MD,c0,0.028081572351421596
20,MD,imm,0.025929915111624027
20,MD,lep,0.025134976494063335
20,MD,lico,0.025836081907136765
20,MD,rac,0.025515131311494244
20,MD,raw,0.026138898341218283
21,MD,bl,0.025202446983486438
21,MD,c0,0.028078424957789984
21,MD,imm,0.025925503067120725
21,MD,lep,0.0251313090561709
21,MD,lico,0.02583438389550526
21,MD,rac,0.025511185676141183
