iteration,period,group,ge_single
0,PM,bl,0.022000148278456845
0,PM,c0,0.025493949046628425
0,PM,imm,0.022463998811526276
0,PM,lep,0.02170442806688207
0,PM,lico,0.022639296093329965
0,PM,rac,0.022059800095315763
0,PM,raw,0.022917806340507794
1,PM,bl,0.02199632284522156
1,PM,c0,0.025491689962597708
1,PM,imm,0.02245784859204684
1,PM,lep,0.02168812025935941
1,PM,lico,0.022632960182686068
1,PM,rac,0.02205127845368595
1,PM,raw,0.022911881718509695
2,PM,bl,0.021996276889852822
2,PM,c0,0.025491689962597708
2,PM,imm,0.02245782391233844
2,PM,lep,0.021688044155045032
2,PM,lico,0.022632960182686068
2,PM,rac,0.02205123403533302
2,PM,raw,0.022911857710230646
3,PM,bl,0.021992316929648873
3,PM,c0,0.025485414206796144
3,PM,imm,0.022453243237460972
3,PM,lep,0.02168253466008819
3,PM,lico,0.02262953574213917
3,PM,rac,0.02204635586734232
3,PM,raw,0.02290508283348711
4,PM,bl,0.021992316929648873
4,PM,c0,0.025485414206796144
4,PM,imm,0.022453243237460972
4,PM,lep,0.02168253466008819
4,PM,lico,0.02262953574213917
4,PM,rac,0.02204635586734232
4,PM,raw,0.02290508283348711
5,PM,bl,0.021992004865745193
5,PM,c0,0.025484721467218256
5,PM,imm,0.02245299594010407
5,PM,lep,0.021682229341717575
5,PM,lico,0.022629043818328327
5,PM,rac,0.022046031221828827
5,PM,raw,0.022904413757461377
6,PM,bl,0.021992004865745193
6,PM,c0,0.025484721467218256
6,PM,imm,0.02245299594010407
6,PM,lep,0.021682229341717575
6,PM,lico,0.022629043818328327
6,PM,rac,0.022046031221828827
6,PM,raw,0.022904413757461377
7,PM,bl,0.021990933335384884
7,PM,c0,0.02548360879806559
7,PM,imm,0.02245161561430165
7,PM,lep,0.021678604145563725
7,PM,lico,0.02262733265690315
7,PM,rac,0.022044047281606572
7,PM,raw,0.022903222563439244
8,PM,bl,0.021990933335384884
8,PM,c0,0.02548360879806559
8,PM,imm,0.02245161561430165
8,PM,lep,0.021678604145563725
8,PM,lico,0.02262733265690315
8,PM,rac,0.022044047281606572
8,PM,raw,0.022903222563439244
9,PM,bl,0.021990646160802454
9,PM,c0,0.02548180659130121
9,PM,imm,0.022450394476092712
9,PM,lep,0.021678125129122733
9,PM,lico,0.022626598354900208
9,PM,rac,0.022043066825755936
9,PM,raw,0.022902278314237832
10,PM,bl,0.021990646160802454
10,PM,c0,0.02548180659130121
10,PM,imm,0.022450394476092712
10,PM,lep,0.021678125129122733
10,PM,lico,0.022626598354900208
10,PM,rac,0.022043066825755936
10,PM,raw,0.022902278314237832
11,PM,bl,0.021990139649890522
11,PM,c0,0.02548096506285774
11,PM,imm,0.022449528264938477
11,PM,lep,0.02167625023286127
11,PM,lico,0.022624062152296374
11,PM,rac,0.02204201132360062
11,PM,raw,0.022901620732643554
12,PM,bl,0.021989933022824246
12,PM,c0,0.0254804938196418
12,PM,imm,0.022449010941665157
12,PM,lep,0.021676120380335225
12,PM,lico,0.022624062152296374
12,PM,rac,0.022041637182871412
12,PM,raw,0.022901139762289614
13,PM,bl,0.021989758241227265
13,PM,c0,0.025479973811622397
13,PM,imm,0.022448579028910145
13,PM,lep,0.021675985231747942
13,PM,lico,0.022624062152296374
13,PM,rac,0.022041257324543005
13,PM,raw,0.022900733322056863
14,PM,bl,0.021989531707017444
14,PM,c0,0.025479634080271686
14,PM,imm,0.02244834023230917
14,PM,lep,0.021675803202776733
14,PM,lico,0.02262394519870446
14,PM,rac,0.022041000377868825
14,PM,raw,0.022900585061034758
15,PM,bl,0.02198252779964081
15,PM,c0,0.025458002046211167
15,PM,imm,0.022432615513312985
15,PM,lep,0.021670854577229507
15,PM,lico,0.02261914205303049
15,PM,rac,0.02203184377841135
15,PM,raw,0.0228866629834013
16,PM,bl,0.021972257522204042
16,PM,c0,0.025431966126271778
16,PM,imm,0.02241150258774853
16,PM,lep,0.02166347031686567
16,PM,lico,0.022611340298480543
16,PM,rac,0.022018387707494633
16,PM,raw,0.022868189450319956
17,PM,bl,0.021972257522204042
17,PM,c0,0.025431966126271778
17,PM,imm,0.02241150258774853
17,PM,lep,0.02166347031686567
17,PM,lico,0.022611340298480543
17,PM,rac,0.022018387707494633
17,PM,raw,0.022868189450319956
18,PM,bl,0.02196852957724901
18,PM,c0,0.025423496770881793
18,PM,imm,0.02240569058803325
18,PM,lep,0.021659679164792396
18,PM,lico,0.02260758371303468
18,PM,rac,0.02201367886406162
18,PM,raw,0.022860916761065487
19,PM,bl,0.021961806326008183
19,PM,c0,0.02541995836546969
19,PM,imm,0.02239964576704071
19,PM,lep,0.02165492154848685
