iteration,period,group,ge_single
0,PM,bl,0.022000148278456845
0,PM,c0,0.025493949046628425
0,PM,imm,0.022463998811526276
0,PM,lep,0.02170442806688207
0,PM,lico,0.022639296093329965
0,PM,rac,0.022059800095315763
0,PM,raw,0.022917806340507794
1,PM,bl,0.021965650347509004
1,PM,c0,0.025480662506545196
1,PM,imm,0.022449140518593282
1,PM,lep,0.021690267671702696
1,PM,lico,0.022619338756385932
1,PM,rac,0.02204545665353528
1,PM,raw,0.022905229848142812
2,PM,bl,0.02196509018857691
2,PM,c0,0.025480604940543355
2,PM,imm,0.02244875808989304
2,PM,lep,0.02168953231009043
2,PM,lico,0.022618725901698184
2,PM,rac,0.022044967926325678
2,PM,raw,0.022904784684418963
3,PM,bl,0.02196484294280218
3,PM,c0,0.025480599216575958
3,PM,imm,0.022448530096694997
3,PM,lep,0.021689243302847806
3,PM,lico,0.022618650110158088
3,PM,rac,0.022044734275884607
3,PM,raw,0.022904512003703505
4,PM,bl,0.021964794494986
4,PM,c0,0.025480599216575958
4,PM,imm,0.022448445584303825
4,PM,lep,0.021689199531962532
4,PM,lico,0.022618650110158088
4,PM,rac,0.022044675291692635
4,PM,raw,0.02290440675383491
5,PM,bl,0.021964772322844474
5,PM,c0,0.025480599216575958
5,PM,imm,0.02244838850123893
5,PM,lep,0.02168918747318924
5,PM,lico,0.022618650110158088
5,PM,rac,0.022044643131161324
5,PM,raw,0.02290433208468323
6,PM,bl,0.021964596138569607
6,PM,c0,0.025480599216575958
6,PM,imm,0.022448302754169404
6,PM,lep,0.021689118764919614
6,PM,lico,0.022618650110158088
6,PM,rac,0.022044563871333855
6,PM,raw,0.02290422611013832
7,PM,bl,0.02195726501781359
7,PM,c0,0.02547644282365936
7,PM,imm,0.022444988978739082
7,PM,lep,0.02168635561324068
7,PM,lico,0.022612471269218514
7,PM,rac,0.0220415778835711
7,PM,raw,0.022901600231671943
8,PM,bl,0.02195715374582255
8,PM,c0,0.02547637678829082
8,PM,imm,0.02244482173396333
8,PM,lep,0.02168621981835631
8,PM,lico,0.02261206244523581
8,PM,rac,0.02204147500315851
8,PM,raw,0.022901498062186804
9,PM,bl,0.021957038573193522
9,PM,c0,0.02547637678829082
9,PM,imm,0.022444571077230874
9,PM,lep,0.021686002652216648
9,PM,lico,0.0226114777476181
9,PM,rac,0.022041330477284952
9,PM,raw,0.02290135042028117
10,PM,bl,0.021957027489751035
10,PM,c0,0.02547637678829082
10,PM,imm,0.02244454726147906
10,PM,lep,0.021685983004352916
10,PM,lico,0.022611420882279062
10,PM,rac,0.022041316673784377
10,PM,raw,0.022901336209024837
11,PM,bl,0.021957027489751035
11,PM,c0,0.02547637678829082
11,PM,imm,0.02244454726147906
11,PM,lep,0.021685983004352916
11,PM,lico,0.022611420882279062
11,PM,rac,0.022041316673784377
11,PM,raw,0.022901336209024837
12,PM,bl,0.0219526216100674
12,PM,c0,0.025474444284121225
12,PM,imm,0.022443551150744943
12,PM,lep,0.021685084715846497
12,PM,lico,0.022609070330280135
12,PM,rac,0.022040048742932146
12,PM,raw,0.022900538076440095
13,PM,bl,0.021944804100042323
13,PM,c0,0.02545083364873237
13,PM,imm,0.022435882109373174
13,PM,lep,0.021671080944435747
13,PM,lico,0.022596611849295758
13,PM,rac,0.02203136957896157
13,PM,raw,0.022886173855451233
14,PM,bl,0.02194473440960316
14,PM,c0,0.02545080300704644
14,PM,imm,0.02243580804079539
14,PM,lep,0.02167102608445881
14,PM,lico,0.02259656888973608
14,PM,rac,0.02203131533061997
14,PM,raw,0.022886086429827656
15,PM,bl,0.021934285168686205
15,PM,c0,0.02543822359977391
15,PM,imm,0.022425325932316154
15,PM,lep,0.02166273635854279
15,PM,lico,0.02258805324864242
15,PM,rac,0.022022291807744062
15,PM,raw,0.022875638008889736
16,PM,bl,0.021933874622779195
16,PM,c0,0.02543767156347836
16,PM,imm,0.02242494068251211
16,PM,lep,0.02166237663953889
16,PM,lico,0.02258769645551988
16,PM,rac,0.022021990692383277
16,PM,raw,0.02287517480234807
17,PM,bl,0.021933874622779195
17,PM,c0,0.02543767156347836
17,PM,imm,0.02242494068251211
17,PM,lep,0.02166237663953889
17,PM,lico,0.02258769645551988
17,PM,rac,0.022021990692383277
17,PM,raw,0.02287517480234807
18,PM,bl,0.021933874622779195
18,PM,c0,0.02543767156347836
18,PM,imm,0.02242494068251211
18,PM,lep,0.02166237663953889
18,PM,lico,0.02258769645551988
18,PM,rac,0.022021990692383277
18,PM,raw,0.02287517480234807
19,PM,bl,0.02192480581767808
19,PM,c0,0.02541912681589913
19,PM,imm,0.022412644058081008
19,PM,lep,0.021651944851238066
