iteration,period,group,ge_single
0,PM,bl,0.022000148278456845
0,PM,c0,0.025493949046628425
0,PM,imm,0.022463998811526276
0,PM,lep,0.02170442806688207
0,PM,lico,0.022639296093329965
0,PM,rac,0.022059800095315763
0,PM,raw,0.022917806340507794
1,PM,bl,0.0218167581210131
1,PM,c0,0.025254334580588036
1,PM,imm,0.022019784139682565
1,PM,lep,0.021392584075290592
1,PM,lico,0.02245589029847458
1,PM,rac,0.02170271418780243
1,PM,raw,0.022561981118749252
2,PM,bl,0.021803647144687147
2,PM,c0,0.02521008812859064
2,PM,imm,0.02198887595925717
2,PM,lep,0.02138361357139095
2,PM,lico,0.022449172795066974
2,PM,rac,0.0216800744478406
2,PM,raw,0.02253593697893738
3,PM,bl,0.021789431344467477
3,PM,c0,0.025183369744142814
3,PM,imm,0.021977755552274974
3,PM,lep,0.02137798579728889
3,PM,lico,0.0224481969550489
3,PM,rac,0.021669054991865357
3,PM,raw,0.022522526197288315
4,PM,bl,0.021284969020381024
4,PM,c0,0.024747163745797836
4,PM,imm,0.02157423936645866
4,PM,lep,0.02092850522678057
4,PM,lico,0.022015137153114143
4,PM,rac,0.021190143177223474
4,PM,raw,0.0220296265335941
5,PM,bl,0.02128433941717293
5,PM,c0,0.02474618752432539
5,PM,imm,0.021573817422056784
5,PM,lep,0.020928041887382703
5,PM,lico,0.022014544052698762
5,PM,rac,0.021189609640258178
5,PM,raw,0.022029037763875256
6,PM,bl,0.021265611158947227
6,PM,c0,0.02471336934257412
6,PM,imm,0.02155137482841727
6,PM,lep,0.020917820793473464
6,PM,lico,0.021997133989533364
6,PM,rac,0.021171683530434103
6,PM,raw,0.022011366293368247
7,PM,bl,0.021261273476475516
7,PM,c0,0.024702808301848237
7,PM,imm,0.021547087702227633
7,PM,lep,0.020914453203868005
7,PM,lico,0.021996415550808942
7,PM,rac,0.021166828476366504
7,PM,raw,0.022005383563183004
8,PM,bl,0.021197662790921418
8,PM,c0,0.024595666288049378
8,PM,imm,0.021332054803684355
8,PM,lep,0.020767777368537455
8,PM,lico,0.02190199773380295
8,PM,rac,0.021001160828971525
8,PM,raw,0.021859336085218745
9,PM,bl,0.021124558574371517
9,PM,c0,0.024547642622610787
9,PM,imm,0.021277524440488874
9,PM,lep,0.020707773614101324
9,PM,lico,0.021830069941847954
9,PM,rac,0.020931370956431057
9,PM,raw,0.021803431072383438
10,PM,bl,0.0211240745791142
10,PM,c0,0.024547642622610787
10,PM,imm,0.021277036228903354
10,PM,lep,0.02070725174049353
10,PM,lico,0.02182981113672134
10,PM,rac,0.020930827617371243
10,PM,raw,0.02180295695087818
11,PM,bl,0.021123543547306906
11,PM,c0,0.02454660206810109
11,PM,imm,0.02127407633925423
11,PM,lep,0.020705317477171924
11,PM,lico,0.02182770012326772
11,PM,rac,0.02092875453630562
11,PM,raw,0.021801254126134456
12,PM,bl,0.02111972791268687
12,PM,c0,0.024541929798690788
12,PM,imm,0.021260003562004606
12,PM,lep,0.02069581189754501
12,PM,lico,0.021821156549140984
12,PM,rac,0.02091821851348167
12,PM,raw,0.02179276132161419
13,PM,bl,0.0210891112511038
13,PM,c0,0.024519732935657398
13,PM,imm,0.021235392544210113
13,PM,lep,0.020670633936962328
13,PM,lico,0.02178830381627284
13,PM,rac,0.02088947015277699
13,PM,raw,0.021768525745611896
14,PM,bl,0.02107549366284486
14,PM,c0,0.024502494989100575
14,PM,imm,0.021192533575566688
14,PM,lep,0.02064105380520738
14,PM,lico,0.0217635764758571
14,PM,rac,0.02085465488766688
14,PM,raw,0.021733133803986355
15,PM,bl,0.020846742030900617
15,PM,c0,0.024214667025887263
15,PM,imm,0.020978797177065394
15,PM,lep,0.02034057448481583
15,PM,lico,0.021553391691749125
15,PM,rac,0.020643758840466517
15,PM,raw,0.02140170872661137
16,PM,bl,0.020810114221325095
16,PM,c0,0.024171467006769465
16,PM,imm,0.020942154618112635
16,PM,lep,0.020304957726169876
16,PM,lico,0.02152245142839669
16,PM,rac,0.020610193814021963
16,PM,raw,0.021346664213481522
17,PM,bl,0.020471411789318623
17,PM,c0,0.023913425819719447
17,PM,imm,0.02065418440357247
17,PM,lep,0.02002478284240262
17,PM,lico,0.021385602190899484
17,PM,rac,0.02035490445295597
17,PM,raw,0.021031104514474125
18,PM,bl,0.020465948930612883
18,PM,c0,0.023911110619794826
18,PM,imm,0.020649559257865487
18,PM,lep,0.0200187741395118
18,PM,lico,0.021378995357957547
18,PM,rac,0.020348729527416558
18,PM,raw,0.021025648712684683
19,PM,bl,0.020453175009954826
19,PM,c0,0.02388137003582156
19,PM,imm,0.02062933774121969
19,PM,lep,0.020007466312738736
