iteration,period,group,ge_single
0,PM,bl,0.022000148278456845
0,PM,c0,0.025493949046628425
0,PM,imm,0.022463998811526276
0,PM,lep,0.02170442806688207
0,PM,lico,0.022639296093329965
0,PM,rac,0.022059800095315763
0,PM,raw,0.022917806340507794
1,PM,bl,0.021601385360905462
1,PM,c0,0.02529251649453873
1,PM,imm,0.022159106780597928
1,PM,lep,0.021441858744912744
1,PM,lico,0.022324281819908882
1,PM,rac,0.021692529790102038
1,PM,raw,0.02263988679177822
2,PM,bl,0.021425780085140067
2,PM,c0,0.025092791715443118
2,PM,imm,0.02146047588615156
2,PM,lep,0.02087375361627489
2,PM,lico,0.02205161796507093
2,PM,rac,0.021132522410217982
2,PM,raw,0.022243272577393218
3,PM,bl,0.021414621716786552
3,PM,c0,0.025075834434537134
3,PM,imm,0.02139502575607332
3,PM,lep,0.0208229650118044
3,PM,lico,0.022031460196040187
3,PM,rac,0.02108164199128729
3,PM,raw,0.022209743213593355
4,PM,bl,0.021363673168100863
4,PM,c0,0.02505856964622082
4,PM,imm,0.021357523748541947
4,PM,lep,0.020772341074489695
4,PM,lico,0.02198968087581915
4,PM,rac,0.021029446328082027
4,PM,raw,0.0221764691549419
5,PM,bl,0.02135959000655762
5,PM,c0,0.025057031848677077
5,PM,imm,0.021352826470230027
5,PM,lep,0.020767279406866002
5,PM,lico,0.02198832802527801
5,PM,rac,0.021024596657634512
5,PM,raw,0.022173139491519042
6,PM,bl,0.021350296851698796
6,PM,c0,0.025054637001499607
6,PM,imm,0.02134654097630407
6,PM,lep,0.020759515608682912
6,PM,lico,0.021981867592285164
6,PM,rac,0.02101525307064683
6,PM,raw,0.022166893656812434
7,PM,bl,0.02134594810775319
7,PM,c0,0.025049905315292203
7,PM,imm,0.02132157631374033
7,PM,lep,0.02073756261480507
7,PM,lico,0.021973676148871978
7,PM,rac,0.02099505879269124
7,PM,raw,0.022154271135768237
8,PM,bl,0.020998383711131444
8,PM,c0,0.024894096098544986
8,PM,imm,0.02094405429313442
8,PM,lep,0.020448253360112228
8,PM,lico,0.02177313402536369
8,PM,rac,0.020706654909783358
8,PM,raw,0.02187322622726023
9,PM,bl,0.020886979482103354
9,PM,c0,0.024847635660776576
9,PM,imm,0.020846179558432577
9,PM,lep,0.020358807603389824
9,PM,lico,0.021680033069789162
9,PM,rac,0.020610313098897864
9,PM,raw,0.02174028540158826
10,PM,bl,0.020881599672158312
10,PM,c0,0.024841733828888008
10,PM,imm,0.02083914609611446
10,PM,lep,0.0203515978067788
10,PM,lico,0.021672432404768086
10,PM,rac,0.020604411304321037
10,PM,raw,0.021734437171729442
11,PM,bl,0.020872534047846673
11,PM,c0,0.024838263640267113
11,PM,imm,0.020830797387083433
11,PM,lep,0.02034511583630003
11,PM,lico,0.02166572001479179
11,PM,rac,0.02059683862947713
11,PM,raw,0.021726856719543202
12,PM,bl,0.020868964203267972
12,PM,c0,0.02483731741003016
12,PM,imm,0.020807633289093987
12,PM,lep,0.020325980325453904
12,PM,lico,0.02166406716108699
12,PM,rac,0.020579857032129202
12,PM,raw,0.02171666990885399
13,PM,bl,0.020861761044600597
13,PM,c0,0.024834208867254248
13,PM,imm,0.02080121585283508
13,PM,lep,0.02031546346792329
13,PM,lico,0.021658281863619382
13,PM,rac,0.020570148137276048
13,PM,raw,0.021709450104578497
14,PM,bl,0.020861124211035333
14,PM,c0,0.024831708197430902
14,PM,imm,0.02079999512035488
14,PM,lep,0.020315052977496258
14,PM,lico,0.021658238753114456
14,PM,rac,0.020569214158319592
14,PM,raw,0.021708384582662
15,PM,bl,0.020858019853176882
15,PM,c0,0.024826866667345744
15,PM,imm,0.020797497259487135
15,PM,lep,0.020311692584278843
15,PM,lico,0.021655858195649896
15,PM,rac,0.020564839511956364
15,PM,raw,0.02170566169008835
16,PM,bl,0.020797468217102513
16,PM,c0,0.02466446433487649
16,PM,imm,0.02069300782508805
16,PM,lep,0.020243897525064586
16,PM,lico,0.02162821462146473
16,PM,rac,0.020478240868743388
16,PM,raw,0.021600051860400527
17,PM,bl,0.020777534939349154
17,PM,c0,0.024655864270091626
17,PM,imm,0.020674421725216264
17,PM,lep,0.020227324433896243
17,PM,lico,0.021614766386960787
17,PM,rac,0.02046145155704074
17,PM,raw,0.02158481951458832
18,PM,bl,0.020777017272898452
18,PM,c0,0.02465546808575998
18,PM,imm,0.020673524497612988
18,PM,lep,0.020226697737240572
18,PM,lico,0.021614749686775455
18,PM,rac,0.020460793575822502
18,PM,raw,0.0215842461618163
19,PM,bl,0.02077633847414312
19,PM,c0,0.024655067202216666
19,PM,imm,0.020672872500638106
19,PM,lep,0.02022567213648897
