iteration,period,group,ge_single
0,PM,bl,0.022000148278456845
0,PM,c0,0.025493949046628425
0,PM,imm,0.022463998811526276
0,PM,lep,0.02170442806688207
0,PM,lico,0.022639296093329965
0,PM,rac,0.022059800095315763
0,PM,raw,0.022917806340507794
1,PM,bl,0.021983642277212986
1,PM,c0,0.02546905731218716
1,PM,imm,0.02244801088412867
1,PM,lep,0.021692602534648896
1,PM,lico,0.022619993282061625
1,PM,rac,0.02204552649093495
1,PM,raw,0.022902439675462773
2,PM,bl,0.021960673801453775
2,PM,c0,0.025427529639507594
2,PM,imm,0.022426361490701464
2,PM,lep,0.02167163075126617
2,PM,lico,0.02259029434672193
2,PM,rac,0.022024080372043404
2,PM,raw,0.022873586136343764
3,PM,bl,0.021959709170259474
3,PM,c0,0.025424677708393593
3,PM,imm,0.022425646966075765
3,PM,lep,0.021670834137405698
3,PM,lico,0.022589917125467183
3,PM,rac,0.02202317975246453
3,PM,raw,0.022872126684489406
4,PM,bl,0.02195839722224058
4,PM,c0,0.02542234568357645
4,PM,imm,0.022424366875340454
4,PM,lep,0.02166973602340819
4,PM,lico,0.022588865611002706
4,PM,rac,0.02202210706760149
4,PM,raw,0.022871127728454406
5,PM,bl,0.02195839722224058
5,PM,c0,0.02542234568357645
5,PM,imm,0.022424366875340454
5,PM,lep,0.02166973602340819
5,PM,lico,0.022588865611002706
5,PM,rac,0.02202210706760149
5,PM,raw,0.022871127728454406
6,PM,bl,0.021955773597747988
6,PM,c0,0.025417321427275204
6,PM,imm,0.022421556435657228
6,PM,lep,0.02166656225848911
6,PM,lico,0.022588132103976588
6,PM,rac,0.022019454896270024
6,PM,raw,0.022867126170799647
7,PM,bl,0.021954240437408474
7,PM,c0,0.025412832942501
7,PM,imm,0.02241996078682109
7,PM,lep,0.021664532997674818
7,PM,lico,0.022588132103976588
7,PM,rac,0.02201799936096293
7,PM,raw,0.022864565912413124
8,PM,bl,0.021954240437408474
8,PM,c0,0.025412832942501
8,PM,imm,0.02241996078682109
8,PM,lep,0.021664532997674818
8,PM,lico,0.022588132103976588
8,PM,rac,0.02201799936096293
8,PM,raw,0.022864565912413124
9,PM,bl,0.02195389594260546
9,PM,c0,0.02541196680465856
9,PM,imm,0.022419696834973076
9,PM,lep,0.021664293450500794
9,PM,lico,0.022588107929942886
9,PM,rac,0.022017670116540187
9,PM,raw,0.022864062174299028
10,PM,bl,0.02193446870819384
10,PM,c0,0.02538769288842458
10,PM,imm,0.02240950600652246
10,PM,lep,0.021640551675369143
10,PM,lico,0.02258070842779099
10,PM,rac,0.0219998790819361
10,PM,raw,0.02284054709034773
11,PM,bl,0.021934280614900156
11,PM,c0,0.025387569017201104
11,PM,imm,0.022409427357590786
11,PM,lep,0.02164037713617036
11,PM,lico,0.022580607234161536
11,PM,rac,0.021999741422050384
11,PM,raw,0.022840370646511288
12,PM,bl,0.021934280614900156
12,PM,c0,0.025387569017201104
12,PM,imm,0.022409427357590786
12,PM,lep,0.02164037713617036
12,PM,lico,0.022580607234161536
12,PM,rac,0.021999741422050384
12,PM,raw,0.022840370646511288
13,PM,bl,0.021934280614900156
13,PM,c0,0.025387569017201104
13,PM,imm,0.022409427357590786
13,PM,lep,0.02164037713617036
13,PM,lico,0.022580607234161536
13,PM,rac,0.021999741422050384
13,PM,raw,0.022840370646511288
14,PM,bl,0.021932450976615316
14,PM,c0,0.02538538831352482
14,PM,imm,0.02240752392681249
14,PM,lep,0.02163939655885116
14,PM,lico,0.022578398544046096
14,PM,rac,0.021997944192431094
14,PM,raw,0.022838199796841666
15,PM,bl,0.021932450976615316
15,PM,c0,0.02538538831352482
15,PM,imm,0.02240752392681249
15,PM,lep,0.02163939655885116
15,PM,lico,0.022578398544046096
15,PM,rac,0.021997944192431094
15,PM,raw,0.022838199796841666
16,PM,bl,0.02193163772033554
16,PM,c0,0.025383516674493206
16,PM,imm,0.022407079587523478
16,PM,lep,0.0216381623730834
16,PM,lico,0.022577955385074035
16,PM,rac,0.021997167358308794
16,PM,raw,0.02283706374259416
17,PM,bl,0.02193163772033554
17,PM,c0,0.025383516674493206
17,PM,imm,0.022407079587523478
17,PM,lep,0.0216381623730834
17,PM,lico,0.022577955385074035
17,PM,rac,0.021997167358308794
17,PM,raw,0.02283706374259416
18,PM,bl,0.02193119842885906
18,PM,c0,0.025382674795666693
18,PM,imm,0.022406676812892604
18,PM,lep,0.021637832967737306
18,PM,lico,0.02257702762524375
18,PM,rac,0.021996701954468012
18,PM,raw,0.022836405023046052
19,PM,bl,0.02193119842885906
19,PM,c0,0.025382674795666693
19,PM,imm,0.022406676812892604
19,PM,lep,0.021637832967737306
