iteration,period,group,ge_single
0,AM,bl,0.021394969960941063
0,AM,c0,0.024147567107815578
0,AM,imm,0.02177168174628967
0,AM,lep,0.02107676940775021
0,AM,lico,0.022465832046163325
0,AM,rac,0.021324145214450224
0,AM,raw,0.021848089228721425
1,AM,bl,0.02127648820751483
1,AM,c0,0.02402091677368073
1,AM,imm,0.021602778115024153
1,AM,lep,0.020928234915856256
1,AM,lico,0.022327978310960384
1,AM,rac,0.021173080996520714
1,AM,raw,0.02171556796724893
2,AM,bl,0.02116640781098361
2,AM,c0,0.023908974712238937
2,AM,imm,0.021428336741091916
2,AM,lep,0.02077234339229014
2,AM,lico,0.02220560872729102
2,AM,rac,0.02101835415252925
2,AM,raw,0.021580919636654965
3,AM,bl,0.02103222409828574
3,AM,c0,0.023745302007317268
3,AM,imm,0.021298552948029313
3,AM,lep,0.02064037267016977
3,AM,lico,0.02207141578838005
3,AM,rac,0.020890395804800187
3,AM,raw,0.021444246948199613
4,AM,bl,0.020832719070868568
4,AM,c0,0.02350594699365843
4,AM,imm,0.021109375212170715
4,AM,lep,0.020460922484627
4,AM,lico,0.021884697511946865
4,AM,rac,0.020687145995413957
4,AM,raw,0.021240817557056615
5,AM,bl,0.02071800513634981
5,AM,c0,0.02336394946160937
5,AM,imm,0.020997554021695567
5,AM,lep,0.020341442212009647
5,AM,lico,0.021770992569024403
5,AM,rac,0.02057544126865164
5,AM,raw,0.021107586499141854
6,AM,bl,0.020602870617444632
6,AM,c0,0.02323936687675788
6,AM,imm,0.020897549618516174
6,AM,lep,0.020244713362313826
6,AM,lico,0.021661286057374333
6,AM,rac,0.020471132784666796
6,AM,raw,0.02099259197175774
7,AM,bl,0.020452333966985467
7,AM,c0,0.023088402331278627
7,AM,imm,0.020773472202269477
7,AM,lep,0.020120261280855672
7,AM,lico,0.02150735403926606
7,AM,rac,0.020349139952011278
7,AM,raw,0.020866726790261952
8,AM,bl,0.020301362874728494
8,AM,c0,0.022949962015037996
8,AM,imm,0.02065296672724678
8,AM,lep,0.01998805474429457
8,AM,lico,0.02137248554626403
8,AM,rac,0.020224944448889542
8,AM,raw,0.020726456344673377
9,AM,bl,0.02019077384203465
9,AM,c0,0.022857875340387045
9,AM,imm,0.020567879487472247
9,AM,lep,0.01989068796970883
9,AM,lico,0.021252125119790334
9,AM,rac,0.020134306477691606
9,AM,raw,0.020638316623202965
10,AM,bl,0.0201030950789019
10,AM,c0,0.022761457279754992
10,AM,imm,0.02049556534616421
10,AM,lep,0.01981997131740413
10,AM,lico,0.021166084774524956
10,AM,rac,0.02006087141393366
10,AM,raw,0.02056156435918333
11,AM,bl,0.019932360193532707
11,AM,c0,0.0225538709710155
11,AM,imm,0.020330273422374912
11,AM,lep,0.0196560176897605
11,AM,lico,0.021007936809758047
11,AM,rac,0.019902647124394917
11,AM,raw,0.020383207383680952
12,AM,bl,0.019772213123984268
12,AM,c0,0.02236287358744537
12,AM,imm,0.02020051966290031
12,AM,lep,0.019526039195336166
12,AM,lico,0.020844209053667784
12,AM,rac,0.019769993870160475
12,AM,raw,0.020224683625143212
13,AM,bl,0.019664507774246495
13,AM,c0,0.02223285251786069
13,AM,imm,0.020113467990185714
13,AM,lep,0.019432776610054502
13,AM,lico,0.020741319310415625
13,AM,rac,0.019675519649404265
13,AM,raw,0.020118072653580267
14,AM,bl,0.01955953133279098
14,AM,c0,0.02207560464316181
14,AM,imm,0.01999326796378219
14,AM,lep,0.019320320086236135
14,AM,lico,0.020633983459078777
14,AM,rac,0.019559507854065898
14,AM,raw,0.0199898072028946
15,AM,bl,0.019460770749820815
15,AM,c0,0.021971274495259974
15,AM,imm,0.019907105204971586
15,AM,lep,0.0192269082483267
15,AM,lico,0.020518093431326292
15,AM,rac,0.019470986153054756
15,AM,raw,0.01990020469483893
16,AM,bl,0.019280221120435866
16,AM,c0,0.02181929101434365
16,AM,imm,0.019756316163537714
16,AM,lep,0.019065704487986553
16,AM,lico,0.02035079491374873
16,AM,rac,0.019303996030272386
16,AM,raw,0.01974479097832
17,AM,bl,0.01900084610792648
17,AM,c0,0.021570609850989856
17,AM,imm,0.019377768495350226
17,AM,lep,0.01875227372141543
