iteration,period,group,ge_single
0,EM,bl,0.012942046538342397
0,EM,c0,0.013753155909347685
0,EM,imm,0.012396814723424262
0,EM,lep,0.013599780996113945
0,EM,lico,0.014084110187443986
0,EM,rac,0.012721090910437391
0,EM,raw,0.013428114023045194
1,EM,bl,0.012479317347642899
1,EM,c0,0.013414114821358519
1,EM,imm,0.0120291744429612
1,EM,lep,0.013239045865888486
1,EM,lico,0.013746971886973991
1,EM,rac,0.012340281376095445
1,EM,raw,0.01304791191851467
2,EM,bl,0.011979182558889379
2,EM,c0,0.012945084079428884
2,EM,imm,0.011587881248989967
2,EM,lep,0.012847232346911229
2,EM,lico,0.01330566654204706
2,EM,rac,0.011891496738048977
2,EM,raw,0.012619381308082355
3,EM,bl,0.011610923790495494
3,EM,c0,0.012673841427451796
3,EM,imm,0.011165407397883586
3,EM,lep,0.012518590833419494
3,EM,lico,0.012944760811850019
3,EM,rac,0.01150184971917186
3,EM,raw,0.012202440191678631
4,EM,bl,0.01105501355907079
4,EM,c0,0.01204990325213456
4,EM,imm,0.010655261262627246
4,EM,lep,0.012063501411635093
4,EM,lico,0.012263990323100516
4,EM,rac,0.01100666719519406
4,EM,raw,0.011669443260703835
5,EM,bl,0.01060969798137429
5,EM,c0,0.011716918117980242
5,EM,imm,0.010299642751977431
5,EM,lep,0.01177172081820969
5,EM,lico,0.01186614564593939
5,EM,rac,0.010668730852308055
5,EM,raw,0.011299329580996702
6,EM,bl,0.010370080157666665
6,EM,c0,0.01157036720756722
6,EM,imm,0.010062611136185166
6,EM,lep,0.011539822627349556
6,EM,lico,0.011592009883706567
6,EM,rac,0.010426281079536413
6,EM,raw,0.011047158743921886
7,EM,bl,0.010097251820001601
7,EM,c0,0.01129949472620166
7,EM,imm,0.009807713209795598
7,EM,lep,0.011280177373987852
7,EM,lico,0.011404984326470462
7,EM,rac,0.010171026398966087
7,EM,raw,0.010781218428176661
8,EM,bl,0.009878635329350028
8,EM,c0,0.011137575313019893
8,EM,imm,0.009639867111414256
8,EM,lep,0.011143928107673659
8,EM,lico,0.011197191435019375
8,EM,rac,0.010000841041923917
8,EM,raw,0.010575664746363806
9,EM,bl,0.009689203136271333
9,EM,c0,0.010933312993991012
9,EM,imm,0.009446112288487308
9,EM,lep,0.010980509023989435
9,EM,lico,0.010984929305534723
9,EM,rac,0.009822092525721693
9,EM,raw,0.010407480510950258
10,EM,bl,0.00949189907132506
10,EM,c0,0.010728663203984757
10,EM,imm,0.009211270805249612
10,EM,lep,0.010801544433108226
10,EM,lico,0.010737725410388784
10,EM,rac,0.00960585718460649
10,EM,raw,0.010193604519161098
11,EM,bl,0.009378270536868172
11,EM,c0,0.010599819791759257
11,EM,imm,0.00912443548522573
11,EM,lep,0.010695677316786398
11,EM,lico,0.01061908069559351
11,EM,rac,0.009516032813568548
11,EM,raw,0.010072030999068466
12,EM,bl,0.009263918037638761
12,EM,c0,0.010474749241738461
12,EM,imm,0.008999706556067614
12,EM,lep,0.010590572720306623
12,EM,lico,0.010520630977034007
12,EM,rac,0.009398057106181874
12,EM,raw,0.009928412264444627
13,EM,bl,0.009227689351444517
13,EM,c0,0.010391508999280355
13,EM,imm,0.008932498327248283
13,EM,lep,0.010537648671047284
13,EM,lico,0.010441284115086475
13,EM,rac,0.009346697733316043
13,EM,raw,0.00986836762839635
14,EM,bl,0.009137938660308636
14,EM,c0,0.01030989035045663
14,EM,imm,0.008845267898454167
14,EM,lep,0.01046360561824336
14,EM,lico,0.010338712666301238
14,EM,rac,0.00925934114876937
14,EM,raw,0.009752615252463511
15,EM,bl,0.008992693456663363
15,EM,c0,0.010203508519569854
15,EM,imm,0.008738749008482509
15,EM,lep,0.01036324837908996
15,EM,lico,0.010189890170663695
15,EM,rac,0.009158965457646412
15,EM,raw,0.009642175801057605
16,EM,bl,0.008900058060782317
16,EM,c0,0.010099880073853288
16,EM,imm,0.008619289576714295
16,EM,lep,0.010263354810030826
16,EM,lico,0.010018800043620017
16,EM,rac,0.009055145245675947
16,EM,raw,0.009513903919696155
17,EM,bl,0.008867254025081562
17,EM,c0,0.010016667154701864
17,EM,imm,0.008586643796788425
17,EM,lep,0.010221585832020371
17,EM,lico,0.009953095362738165
17,EM,rac,0.009018011007347764
17,EM,raw,0.00942905216075249
18,EM,bl,0.008827432256961172
18,EM,c0,0.009959777919578763
18,EM,imm,0.008533312850601332
18,EM,lep,0.01018431109422674
18,EM,lico,0.009899287990531507
18,EM,rac,0.008971688827607007
18,EM,raw,0.009375794995090943
19,EM,bl,0.008766867922802804
19,EM,c0,0.00988587871246521
19,EM,imm,0.008468379645519818
19,EM,lep,0.01013467365478591
19,EM,lico,0.00984496964822362
19,EM,rac,0.008913247813870246
19,EM,raw,0.009321488174206631
20,EM,bl,0.0087128824130058
20,EM,c0,0.009788018665964219
20,EM,imm,0.008402599441305472
20,EM,lep,0.010061939760260367
20,EM,lico,0.009761659637772877
20,EM,rac,0.008845904578002309
20,EM,raw,0.009247552600864252
21,EM,bl,0.008659878753826403
21,EM,c0,0.009716493509304522
21,EM,imm,0.008351137896282567
21,EM,lep,0.01000808850480725
21,EM,lico,0.009673134772048106
21,EM,rac,0.008796226469493807
21,EM,raw,0.009184906030966293
22,EM,bl,0.008643812186374916
22,EM,c0,0.009704613083358862
22,EM,imm,0.008335650644730332
22,EM,lep,0.009995498340776055
22,EM,lico,0.00966174523519169
22,EM,rac,0.008781606515675663
22,EM,raw,0.009161336365517594
23,EM,bl,0.008593311568584285
23,EM,c0,0.009610624050245348
23,EM,imm,0.008279263563310739
23,EM,lep,0.009950895113742132
23,EM,lico,0.009625884183789603
23,EM,rac,0.008732253887492726
23,EM,raw,0.009101155624408417
24,EM,bl,0.00856906765243791
24,EM,c0,0.009575586053073737
24,EM,imm,0.008246610318833792
24,EM,lep,0.009922139839832507
24,EM,lico,0.00959969919940291
24,EM,rac,0.008702984473737482
24,EM,raw,0.009064251493769047
25,EM,bl,0.008519810023778326
25,EM,c0,0.009537216441458031
25,EM,imm,0.008208148936653534
25,EM,lep,0.00988214220874737
25,EM,lico,0.009573932462615824
25,EM,rac,0.008657395494778616
25,EM,raw,0.009009398755323356
26,EM,bl,0.008468994608554648
26,EM,c0,0.009511185970869708
26,EM,imm,0.008173537477502473
26,EM,lep,0.009847832781410154
26,EM,lico,0.009529906025338456
26,EM,rac,0.008626101341655557
26,EM,raw,0.008976958736971755
27,EM,bl,0.00845510371479148
27,EM,c0,0.009497383454922858
27,EM,imm,0.00816209542592322
27,EM,lep,0.00984013071496269
27,EM,lico,0.009518752343772429
27,EM,rac,0.00861468718212819
27,EM,raw,0.00896198440971769
28,EM,bl,0.008420563654676775
28,EM,c0,0.00946389320743995
28,EM,imm,0.00812638314275661
28,EM,lep,0.009810507654616683
28,EM,lico,0.00948353817146105
28,EM,rac,0.008580017985154852
28,EM,raw,0.008919611505064089
29,EM,bl,0.008359957505256513
29,EM,c0,0.009447189495845628
29,EM,imm,0.008086447128699754
29,EM,lep,0.009783148259655539
29,EM,lico,0.00943537710606138
29,EM,rac,0.008546441053908638
29,EM,raw,0.00888308102601231
30,EM,bl,0.008354982635848907
30,EM,c0,0.009441109473994947
30,EM,imm,0.008080139477016118
30,EM,lep,0.009777531548650149
30,EM,lico,0.00943185684579849
30,EM,rac,0.008541495462990644
30,EM,raw,0.008876647620368425
31,EM,bl,0.008328067576116484
31,EM,c0,0.009420354721913748
31,EM,imm,0.00805682023353289
31,EM,lep,0.009753171949872018
31,EM,lico,0.009411714060292035
31,EM,rac,0.008515199333540066
31,EM,raw,0.008839954936161876
32,EM,bl,0.008310809637652928
32,EM,c0,0.009400221085475667
32,EM,imm,0.008041177574560077
32,EM,lep,0.009729919837455695
32,EM,lico,0.009390828900494991
32,EM,rac,0.00849858628384774
32,EM,raw,0.0088237810869278
33,EM,bl,0.008300798800273568
33,EM,c0,0.009385474295268934
33,EM,imm,0.008029130662086409
33,EM,lep,0.009722538467583638
33,EM,lico,0.009376360294248997
33,EM,rac,0.0084870531847449
33,EM,raw,0.008812071753044553
34,EM,bl,0.008295787936905242
34,EM,c0,0.009382018437389485
34,EM,imm,0.008023217611370601
34,EM,lep,0.009718684515670817
34,EM,lico,0.00937252593666623
34,EM,rac,0.00848258369837723
34,EM,raw,0.008805871642529097
35,EM,bl,0.00826748816239664
35,EM,c0,0.009347997935165536
35,EM,imm,0.00799404256441503
35,EM,lep,0.00969170506323737
35,EM,lico,0.009350237569307873
35,EM,rac,0.008454541238644073
35,EM,raw,0.008771072408626608
36,EM,bl,0.008248362888339425
36,EM,c0,0.009321829318553007
36,EM,imm,0.007971201776825844
36,EM,lep,0.009673262465065616
36,EM,lico,0.009325189840516926
36,EM,rac,0.008435880206817613
36,EM,raw,0.008748893117627277
37,EM,bl,0.008237073925632575
37,EM,c0,0.00930228308359759
37,EM,imm,0.007959454735810815
37,EM,lep,0.009661707748643267
37,EM,lico,0.009303456461151759
37,EM,rac,0.008424691036980054
37,EM,raw,0.008733103980471266
38,EM,bl,0.008227310286646597
38,EM,c0,0.009293727013722369
38,EM,imm,0.007947123894717006
38,EM,lep,0.009651495166890345
38,EM,lico,0.009290591592151995
38,EM,rac,0.008413612545568612
38,EM,raw,0.008721067759336776
39,EM,bl,0.00820850477567517
39,EM,c0,0.00927114680774725
39,EM,imm,0.00792780667508433
39,EM,lep,0.009626002195563596
39,EM,lico,0.00926774182321443
39,EM,rac,0.008393749193156956
39,EM,raw,0.008701729433885702
40,EM,bl,0.0082059946426856
40,EM,c0,0.009265604804431869
40,EM,imm,0.007924763756987814
40,EM,lep,0.009623638030940525
40,EM,lico,0.009263713679740717
40,EM,rac,0.008390833672443086
40,EM,raw,0.00869754322814811
41,EM,bl,0.008191211784415696
41,EM,c0,0.009246932884290956
41,EM,imm,0.007905179257164862
41,EM,lep,0.00961180257821273
41,EM,lico,0.009242294968801532
41,EM,rac,0.008375959020675963
41,EM,raw,0.008681525422008875
42,EM,bl,0.008181645214573043
42,EM,c0,0.009234355875703102
42,EM,imm,0.007886478963066625
42,EM,lep,0.009594464921565531
42,EM,lico,0.00923682286392764
42,EM,rac,0.008360518041255713
