iteration,period,group,ge_single
0,EV,bl,0.024015785513855033
0,EV,c0,0.027889698547835993
0,EV,imm,0.02457911227196234
0,EV,lep,0.024430276106762804
0,EV,lico,0.02478533390558347
0,EV,rac,0.024511149844703026
0,EV,raw,0.02506352425646091
1,EV,bl,0.023815032887228908
1,EV,c0,0.027680075933231914
1,EV,imm,0.024357874930148467
1,EV,lep,0.024245419415374676
1,EV,lico,0.02459473455737882
1,EV,rac,0.02430182865471485
1,EV,raw,0.024852986585168442
2,EV,bl,0.02360474351189262
2,EV,c0,0.02744925591903288
2,EV,imm,0.024174201287167713
2,EV,lep,0.02403743723263939
2,EV,lico,0.024405166363503476
2,EV,rac,0.02411214774084367
2,EV,raw,0.024649619684348728
3,EV,bl,0.023422783778258
3,EV,c0,0.027281009089707334
3,EV,imm,0.024007700266153398
3,EV,lep,0.02385925298515397
3,EV,lico,0.024245245337858653
3,EV,rac,0.023947625639271636
3,EV,raw,0.024470224451877923
4,EV,bl,0.023283243963336496
4,EV,c0,0.027129519818617664
4,EV,imm,0.023878088724895448
4,EV,lep,0.023724742836525717
4,EV,lico,0.02409678181620394
4,EV,rac,0.023817174180788752
4,EV,raw,0.024326392810692068
5,EV,bl,0.02297442438724009
5,EV,c0,0.02681481940352303
5,EV,imm,0.023564992278603807
5,EV,lep,0.023444903426717935
5,EV,lico,0.023821724683725023
5,EV,rac,0.023512912663492806
5,EV,raw,0.023992537681721333
6,EV,bl,0.022725646550894565
6,EV,c0,0.02655892912852377
6,EV,imm,0.023307462037541894
6,EV,lep,0.023202072720468845
6,EV,lico,0.023565421203834123
6,EV,rac,0.023258793842003054
6,EV,raw,0.02375441033460637
7,EV,bl,0.022504458068066984
7,EV,c0,0.026357714631438114
7,EV,imm,0.023091648277571923
7,EV,lep,0.02299879616006478
7,EV,lico,0.023356531932445045
7,EV,rac,0.023048071038342523
7,EV,raw,0.023536660358666105
8,EV,bl,0.022327499510164276
8,EV,c0,0.026179031610303435
8,EV,imm,0.022923167092391578
8,EV,lep,0.02283987176304826
8,EV,lico,0.023192603067266844
8,EV,rac,0.022884978926849688
8,EV,raw,0.023364289139988267
9,EV,bl,0.022105862305800545
9,EV,c0,0.02597058172834523
9,EV,imm,0.022680897717577853
9,EV,lep,0.02263072699469053
9,EV,lico,0.022944113375912675
9,EV,rac,0.022661599886694472
9,EV,raw,0.02314426833722227
10,EV,bl,0.021782092067656977
10,EV,c0,0.02565784327137055
10,EV,imm,0.022332603763857442
10,EV,lep,0.0223108566716109
10,EV,lico,0.022619217943081964
10,EV,rac,0.022327717769864922
10,EV,raw,0.022816528949595054
11,EV,bl,0.02159807369348392
11,EV,c0,0.025471999300862132
11,EV,imm,0.022179742455198923
11,EV,lep,0.02213835133653734
11,EV,lico,0.022427245295207173
11,EV,rac,0.022161796985022058
11,EV,raw,0.022654116365076454
12,EV,bl,0.021322244890426577
12,EV,c0,0.025156871304076435
12,EV,imm,0.021764797281109045
