iteration,period,group,ge_single
0,MD,bl,0.02516395044340228
0,MD,c0,0.02812430476610911
0,MD,imm,0.025938169416827774
0,MD,lep,0.025248791302108164
0,MD,lico,0.025810885015323387
0,MD,rac,0.02553153530804512
0,MD,raw,0.026194886053104147
1,MD,bl,0.025034456821234494
1,MD,c0,0.02797558113094807
1,MD,imm,0.025812514628425442
1,MD,lep,0.0251196963241338
1,MD,lico,0.025673887693335038
1,MD,rac,0.025406045099238068
1,MD,raw,0.02604637078190503
2,MD,bl,0.024864833721688684
2,MD,c0,0.02781424966687148
2,MD,imm,0.025658610790000157
2,MD,lep,0.024936942615249473
2,MD,lico,0.025508928782136578
2,MD,rac,0.02524105367304434
2,MD,raw,0.025868720790370794
3,MD,bl,0.0246697073789437
3,MD,c0,0.027638475215155642
3,MD,imm,0.02545195232338664
3,MD,lep,0.024748728827817226
3,MD,lico,0.025313803225311706
3,MD,rac,0.025032877131110104
3,MD,raw,0.025676050937264147
4,MD,bl,0.02449266095270379
4,MD,c0,0.027438872732915877
4,MD,imm,0.02526465981053816
4,MD,lep,0.024581082349260343
4,MD,lico,0.025120915301733156
4,MD,rac,0.024856379307802205
4,MD,raw,0.02548592019983692
5,MD,bl,0.024349964179902227
5,MD,c0,0.027302304893267362
5,MD,imm,0.025127356083559576
5,MD,lep,0.02444035207765386
5,MD,lico,0.02497438219970175
5,MD,rac,0.024718641975617496
5,MD,raw,0.025344051251761993
6,MD,bl,0.02420300125792878
6,MD,c0,0.027164421628504472
6,MD,imm,0.024991107795955
6,MD,lep,0.02428750465382725
6,MD,lico,0.024833785422943087
6,MD,rac,0.024577363919988427
6,MD,raw,0.025203487235621973
7,MD,bl,0.024045027270215416
7,MD,c0,0.027030010783596358
7,MD,imm,0.02482907973717131
7,MD,lep,0.02413440949316813
7,MD,lico,0.024687679315635164
7,MD,rac,0.024420287712641164
7,MD,raw,0.025034152332487375
8,MD,bl,0.02388128158223465
8,MD,c0,0.026871458993071962
8,MD,imm,0.02465205065340231
8,MD,lep,0.023976926293931635
8,MD,lico,0.0245086735599082
8,MD,rac,0.024247283655068907
8,MD,raw,0.024863040966563655
9,MD,bl,0.023674580585044
9,MD,c0,0.026674857369011287
9,MD,imm,0.024444563373632405
9,MD,lep,0.02378737246609558
9,MD,lico,0.02431818772168043
9,MD,rac,0.024048095035772193
9,MD,raw,0.024648813030216016
10,MD,bl,0.023549269588580148
10,MD,c0,0.026558704105200774
10,MD,imm,0.024332736802631576
10,MD,lep,0.02367255472927715
