iteration,period,group,ge_single
0,PM,bl,0.022008401497287246
0,PM,c0,0.025533250968874554
0,PM,imm,0.022475705485570954
0,PM,lep,0.0217183321065428
0,PM,lico,0.022632615608145026
0,PM,rac,0.022065717937723897
0,PM,raw,0.0229233904626581
1,PM,bl,0.021861247746118844
1,PM,c0,0.02538462476956894
1,PM,imm,0.022349030488211314
1,PM,lep,0.021599641999877982
1,PM,lico,0.022498064633422077
1,PM,rac,0.021942553216483248
1,PM,raw,0.02279309993919033
2,PM,bl,0.02169653536011044
2,PM,c0,0.02522408023446376
2,PM,imm,0.02211256876791537
2,PM,lep,0.021393043120550223
2,PM,lico,0.022330888855524058
2,PM,rac,0.02173987555884268
2,PM,raw,0.02256720903703835
3,PM,bl,0.021561300711657943
3,PM,c0,0.025114601986080905
3,PM,imm,0.02198313256451521
3,PM,lep,0.021268710857784298
3,PM,lico,0.022216881256638066
3,PM,rac,0.02161783313705616
3,PM,raw,0.022450491034064234
4,PM,bl,0.021399968746554685
4,PM,c0,0.02491992198897015
4,PM,imm,0.021737465673228634
4,PM,lep,0.021065136166043198
4,PM,lico,0.02204775763346411
4,PM,rac,0.021400711622715896
4,PM,raw,0.022242226934354892
5,PM,bl,0.021279909182408806
5,PM,c0,0.02478051233943288
5,PM,imm,0.021571166071754515
5,PM,lep,0.02093973730695472
5,PM,lico,0.021931240268528822
5,PM,rac,0.021253305789853988
5,PM,raw,0.02209815553272497
6,PM,bl,0.021139024789484925
6,PM,c0,0.024609386036219205
6,PM,imm,0.021444703265354047
6,PM,lep,0.02079593870509546
6,PM,lico,0.02177818040555072
6,PM,rac,0.02112196770051673
6,PM,raw,0.021946781313738745
7,PM,bl,0.020975725863578976
7,PM,c0,0.02449159894892989
7,PM,imm,0.02131121859734705
7,PM,lep,0.02066217313900484
7,PM,lico,0.02163168966515498
7,PM,rac,0.02098382745333701
7,PM,raw,0.021816240509597132
8,PM,bl,0.020789479398530958
8,PM,c0,0.024310479659017066
8,PM,imm,0.021138168608747412
8,PM,lep,0.02049482525058492
8,PM,lico,0.021454031874209075
8,PM,rac,0.02079818596136106
8,PM,raw,0.02163544308174625
9,PM,bl,0.02065155118358716
9,PM,c0,0.02420325472554143
9,PM,imm,0.02103512196004733
9,PM,lep,0.02035643897520753
9,PM,lico,0.021322814732226556
9,PM,rac,0.020672869363669303
9,PM,raw,0.021520920747626605
10,PM,bl,0.02054779795617385
10,PM,c0,0.024101420186737228
10,PM,imm,0.020860199394502853
10,PM,lep,0.02020638277954427
10,PM,lico,0.021197334254554636
10,PM,rac,0.020524426838092934
10,PM,raw,0.021390081748734316
11,PM,bl,0.0204551011097705
11,PM,c0,0.024013638581798058
11,PM,imm,0.020781198154956996
11,PM,lep,0.02012020335506679
11,PM,lico,0.021124695041059537
11,PM,rac,0.020441314646750402
11,PM,raw,0.02130237743074449
12,PM,bl,0.02034487684190531
12,PM,c0,0.023875507822380945
12,PM,imm,0.020656588367253207
12,PM,lep,0.020013935930596395
12,PM,lico,0.021021045756424987
12,PM,rac,0.020327810393127265
12,PM,raw,0.021176762652476682
13,PM,bl,0.02013519422790684
13,PM,c0,0.023688134230389766
13,PM,imm,0.02047261216622075
13,PM,lep,0.019823499811519638
13,PM,lico,0.020805504660708685
13,PM,rac,0.020125618506539985
13,PM,raw,0.02098418736669969
14,PM,bl,0.0199732309804432
14,PM,c0,0.023536087743394773
14,PM,imm,0.02034632663272241
14,PM,lep,0.01968187907168214
14,PM,lico,0.020658538911236316
14,PM,rac,0.019983345139165366
14,PM,raw,0.020828206682448357
15,PM,bl,0.01988032145267271
15,PM,c0,0.023432095132133575
15,PM,imm,0.020251714953147173
15,PM,lep,0.019583583719184162
15,PM,lico,0.02055953387416135
15,PM,rac,0.01988732732857159
15,PM,raw,0.020730022863483077
16,PM,bl,0.019804245801939974
16,PM,c0,0.023377966743935365
16,PM,imm,0.020194508992881718
16,PM,lep,0.019517864572427133
16,PM,lico,0.020486107278719773
16,PM,rac,0.019823640176323837
16,PM,raw,0.020671160200262256
17,PM,bl,0.0196611485894075
17,PM,c0,0.02323360964672633
17,PM,imm,0.020077285060094013
17,PM,lep,0.019381058408192594
