iteration,period,group,ge_single
0,AM,bl,0.02137777828060312
0,AM,c0,0.02409671006204549
0,AM,imm,0.021737206805052083
0,AM,lep,0.021047658067414588
0,AM,lico,0.022427165758705014
0,AM,rac,0.021300456303597164
0,AM,raw,0.021817607027418
1,AM,bl,0.02123820906289213
1,AM,c0,0.02387382944514767
1,AM,imm,0.02133227583334162
1,AM,lep,0.02076808658411882
1,AM,lico,0.02227841864044092
1,AM,rac,0.02098410167479196
1,AM,raw,0.021494112142858745
2,AM,bl,0.02123155698900794
2,AM,c0,0.02383703482301655
2,AM,imm,0.021314689727336307
2,AM,lep,0.020762206463985477
2,AM,lico,0.022276588167732186
2,AM,rac,0.020970720261793325
2,AM,raw,0.021479903314576696
3,AM,bl,0.020832175672906374
3,AM,c0,0.023452420417372728
3,AM,imm,0.020964338218354212
3,AM,lep,0.020393729098983404
3,AM,lico,0.02191179360309219
3,AM,rac,0.020562096453194383
3,AM,raw,0.021061524252841152
4,AM,bl,0.020831655778919093
4,AM,c0,0.023451157768836814
4,AM,imm,0.0209639293236199
4,AM,lep,0.020393191177960623
4,AM,lico,0.021911493466625274
4,AM,rac,0.02056152327768229
4,AM,raw,0.021060778805351572
5,AM,bl,0.020816491742695883
5,AM,c0,0.02340733807786251
5,AM,imm,0.02094172215385985
5,AM,lep,0.02038600780682353
5,AM,lico,0.02189760433184075
5,AM,rac,0.020545518672569492
5,AM,raw,0.021045797494900036
6,AM,bl,0.020813518927415016
6,AM,c0,0.023393512393391765
6,AM,imm,0.02093544009797494
6,AM,lep,0.02038318419172062
6,AM,lico,0.02189758167510194
6,AM,rac,0.020539713513983274
6,AM,raw,0.02103924513251105
7,AM,bl,0.020720487656963354
7,AM,c0,0.023342194171140612
7,AM,imm,0.0208640605527533
7,AM,lep,0.020307112266615735
7,AM,lico,0.021821757962093267
7,AM,rac,0.020447701031861665
7,AM,raw,0.020962111086468442
8,AM,bl,0.020716263545426373
8,AM,c0,0.02333637965773413
8,AM,imm,0.02086130661706663
8,AM,lep,0.020305476649853136
8,AM,lico,0.02181493195995026
8,AM,rac,0.020444867966411737
8,AM,raw,0.020959797235667484
9,AM,bl,0.020689621421810453
9,AM,c0,0.023322894116791684
9,AM,imm,0.02083965788143819
9,AM,lep,0.02028660853037539
9,AM,lico,0.021787892732114865
9,AM,rac,0.02042001475430181
9,AM,raw,0.020938582255793807
10,AM,bl,0.02067900349198545
10,AM,c0,0.023313820815632828
10,AM,imm,0.020832048928204002
10,AM,lep,0.0202793832470588
10,AM,lico,0.021778479977460637
10,AM,rac,0.020411015440192967
10,AM,raw,0.020929490817568733
11,AM,bl,0.02034117123359454
11,AM,c0,0.022997237617207525
11,AM,imm,0.02048676864046142
11,AM,lep,0.01996059835821992
11,AM,lico,0.02160921131124556
11,AM,rac,0.020113810564830012
11,AM,raw,0.020547683684292262
12,AM,bl,0.02033518990606549
12,AM,c0,0.022973301328201506
12,AM,imm,0.0204753082953953
12,AM,lep,0.019956236582778297
12,AM,lico,0.021607767727974563
12,AM,rac,0.02010359460203654
12,AM,raw,0.020531288402318906
13,AM,bl,0.0202552196384334
13,AM,c0,0.022846308753537943
13,AM,imm,0.020174531306633423
13,AM,lep,0.019733030920239838
13,AM,lico,0.02147807486888144
13,AM,rac,0.019867404087853032
13,AM,raw,0.020334634494491945
14,AM,bl,0.0202517972221096
14,AM,c0,0.022834865637259016
14,AM,imm,0.02016483079976621
14,AM,lep,0.019729024904790612
14,AM,lico,0.021472026225961175
14,AM,rac,0.019860811411913853
14,AM,raw,0.020324509000157347
