iteration,period,group,ge_single
0,EV,bl,0.024027449005423463
0,EV,c0,0.027941807327171348
0,EV,imm,0.02461816872022007
0,EV,lep,0.02445475179103475
0,EV,lico,0.02477228988431572
0,EV,rac,0.024527924859074214
0,EV,raw,0.025083735377061274
1,EV,bl,0.02383479728793212
1,EV,c0,0.027659124708712946
1,EV,imm,0.024166473884390156
1,EV,lep,0.024167729686779663
1,EV,lico,0.024449274391329774
1,EV,rac,0.0241879621328402
1,EV,raw,0.024749803686524813
2,EV,bl,0.02352163308395619
2,EV,c0,0.02730488543758475
2,EV,imm,0.02383370527826667
2,EV,lep,0.023869657001862513
2,EV,lico,0.02415863813068527
2,EV,rac,0.023865716666780206
2,EV,raw,0.024395400463835076
3,EV,bl,0.02349863261458222
3,EV,c0,0.027265512866015217
3,EV,imm,0.023787746081543153
3,EV,lep,0.02385012407147504
3,EV,lico,0.02414611037146493
3,EV,rac,0.023824826648974225
3,EV,raw,0.024355722834653686
4,EV,bl,0.023373957573049307
4,EV,c0,0.027127980282653025
4,EV,imm,0.023682043731999478
4,EV,lep,0.023752593544338573
4,EV,lico,0.02402888769519613
4,EV,rac,0.023709990104656745
4,EV,raw,0.024231609221551768
5,EV,bl,0.023373957573049307
5,EV,c0,0.027127980282653025
5,EV,imm,0.023682043731999478
5,EV,lep,0.023752593544338573
5,EV,lico,0.02402888769519613
5,EV,rac,0.023709990104656745
5,EV,raw,0.024231609221551768
6,EV,bl,0.023294147004510928
6,EV,c0,0.02709402358358721
6,EV,imm,0.023612944302031733
6,EV,lep,0.023692489911154635
6,EV,lico,0.023949222569968006
6,EV,rac,0.023634490781429218
6,EV,raw,0.02417108345966407
7,EV,bl,0.023292724125430334
7,EV,c0,0.027093088809418877
7,EV,imm,0.02361191032367532
7,EV,lep,0.023690730770059266
7,EV,lico,0.023943641023066103
7,EV,rac,0.023632896573308405
7,EV,raw,0.02416846460958394
8,EV,bl,0.023289546759668815
8,EV,c0,0.027088075678568
8,EV,imm,0.023605717964461346
8,EV,lep,0.023688959724629033
8,EV,lico,0.023939103576824168
8,EV,rac,0.023628113541500257
8,EV,raw,0.024163286326994507
9,EV,bl,0.023183755192024227
9,EV,c0,0.02689013731225057
9,EV,imm,0.0232669214547665
9,EV,lep,0.023459576314072493
9,EV,lico,0.02375593771662156
9,EV,rac,0.023368370596495287
9,EV,raw,0.023916258535580652
10,EV,bl,0.023175561954168124
10,EV,c0,0.026866088028312307
10,EV,imm,0.02323669089900012
10,EV,lep,0.023440171316006952
10,EV,lico,0.02374625942648747
10,EV,rac,0.02334615906893214
10,EV,raw,0.023894758587642607
11,EV,bl,0.023175529566217868
11,EV,c0,0.026866088028312307
11,EV,imm,0.023236670740701234
11,EV,lep,0.023440143479590066
11,EV,lico,0.02374625942648747
11,EV,rac,0.023346128671469294
11,EV,raw,0.023894722654100684
12,EV,bl,0.02315018462218619
12,EV,c0,0.026857437761680158
12,EV,imm,0.02321585887067846
12,EV,lep,0.02341960394797038
12,EV,lico,0.023721881505025858
12,EV,rac,0.023323519219081122
12,EV,raw,0.023874920577466627
13,EV,bl,0.023139978704908325
13,EV,c0,0.026842644679498432
13,EV,imm,0.023208599949428362
