iteration,period,group,ge_single
0,MD,bl,0.02522077855227446
0,MD,c0,0.028165650257620467
0,MD,imm,0.025965451737512635
0,MD,lep,0.025258823686889816
0,MD,lico,0.025859529268823327
0,MD,rac,0.025558229705970475
0,MD,raw,0.026227333598843286
1,MD,bl,0.025114315903502677
1,MD,c0,0.02802767820945467
1,MD,imm,0.025745102878150922
1,MD,lep,0.025115466932950494
1,MD,lico,0.025771978274209538
1,MD,rac,0.02538601459430426
1,MD,raw,0.025996499786557593
2,MD,bl,0.025103515948061768
2,MD,c0,0.02799644741736495
2,MD,imm,0.025718848362637416
2,MD,lep,0.02510327799207755
2,MD,lico,0.025768773588308484
2,MD,rac,0.0253664931562007
2,MD,raw,0.025974356843653876
3,MD,bl,0.024941867345673014
3,MD,c0,0.027798804106934177
3,MD,imm,0.025543559757776668
3,MD,lep,0.02495994597822097
3,MD,lico,0.025581214068976135
3,MD,rac,0.025196014173533628
3,MD,raw,0.02580354291439106
4,MD,bl,0.024829233284867004
4,MD,c0,0.027662050154689803
4,MD,imm,0.025413747627852427
4,MD,lep,0.024863504679976858
4,MD,lico,0.025442032703377127
4,MD,rac,0.025073626793760163
4,MD,raw,0.02568496812499718
5,MD,bl,0.024829233284867004
5,MD,c0,0.027662050154689803
5,MD,imm,0.025413747627852427
5,MD,lep,0.024863504679976858
5,MD,lico,0.025442032703377127
5,MD,rac,0.025073626793760163
5,MD,raw,0.02568496812499718
6,MD,bl,0.02476332144554298
6,MD,c0,0.027519755223734663
6,MD,imm,0.025239585388956116
6,MD,lep,0.02475182220598334
6,MD,lico,0.025354549368529426
6,MD,rac,0.024938965091258855
6,MD,raw,0.025528345868354528
7,MD,bl,0.024761541730520958
7,MD,c0,0.027516088060953535
7,MD,imm,0.02523204633641696
7,MD,lep,0.02474832149230898
7,MD,lico,0.02535180805230983
7,MD,rac,0.02493459053920254
7,MD,raw,0.025523871354690936
8,MD,bl,0.024707421873114553
8,MD,c0,0.027492261350564318
8,MD,imm,0.025185601355269514
8,MD,lep,0.024705718908504332
8,MD,lico,0.025302026088932755
8,MD,rac,0.024881627410016913
8,MD,raw,0.02548193767780296
9,MD,bl,0.024692673419828417
9,MD,c0,0.027480015831176173
9,MD,imm,0.025175462326310967
9,MD,lep,0.024698821536771443
9,MD,lico,0.025289864022886552
9,MD,rac,0.02486782336564863
9,MD,raw,0.025471210229422656
10,MD,bl,0.024683375703079356
10,MD,c0,0.02746625682397302
10,MD,imm,0.025164425834173037
10,MD,lep,0.024690542021815916
10,MD,lico,0.025278176418376815
10,MD,rac,0.02485767375231036
10,MD,raw,0.025455596305216606
11,MD,bl,0.024565432856279545
11,MD,c0,0.027315824739035047
11,MD,imm,0.025064979648067958
11,MD,lep,0.0245566258844115
11,MD,lico,0.025152150973798974
11,MD,rac,0.024756865094988104
11,MD,raw,0.025292235850751237
12,MD,bl,0.024556166063658444
12,MD,c0,0.02730756987516448
12,MD,imm,0.025056078461906613
12,MD,lep,0.024548501081104714
12,MD,lico,0.025147414875410466
12,MD,rac,0.02474950167354962
12,MD,raw,0.025281218364703536
13,MD,bl,0.024549840624653582
13,MD,c0,0.02729590505205444
13,MD,imm,0.02504359784414557
13,MD,lep,0.024541253494137716
13,MD,lico,0.025140510721537054
13,MD,rac,0.024738848998478155
13,MD,raw,0.025269000288484625
14,MD,bl,0.02454583118611019
14,MD,c0,0.02728714483184939
14,MD,imm,0.025039809887094866
14,MD,lep,0.02453634144282634
14,MD,lico,0.0251395782290377
14,MD,rac,0.024735141808778456
14,MD,raw,0.025262231377399247
15,MD,bl,0.02453013558018383
15,MD,c0,0.027274001286869496
15,MD,imm,0.02502970403725518
15,MD,lep,0.02452604409869197
15,MD,lico,0.025129009137898867
15,MD,rac,0.02472111714199449
15,MD,raw,0.025251054042548994
16,MD,bl,0.024520791346130305
16,MD,c0,0.02726300162403534
16,MD,imm,0.025024884868731022
16,MD,lep,0.02452124425201543
