iteration,period,group,ge_single
0,PM,bl,0.022036914742963095
0,PM,c0,0.025517751725263597
0,PM,imm,0.022475677116407713
0,PM,lep,0.02171431662524781
0,PM,lico,0.022656372051444492
0,PM,rac,0.02207201184016838
0,PM,raw,0.02292988405195948
1,PM,bl,0.021855526151128492
1,PM,c0,0.02528501677908461
1,PM,imm,0.022031550354414876
1,PM,lep,0.021406102248246676
1,PM,lico,0.022470784940014327
1,PM,rac,0.02171545838334326
1,PM,raw,0.022573065644891577
2,PM,bl,0.021842581690022015
2,PM,c0,0.025242963199162655
2,PM,imm,0.022001707180407726
2,PM,lep,0.021397335013491697
2,PM,lico,0.022463958593868443
2,PM,rac,0.02169357446515961
2,PM,raw,0.02254785461330257
3,PM,bl,0.02182865573270106
3,PM,c0,0.02521670216250185
3,PM,imm,0.021990833601707276
3,PM,lep,0.021391817351218104
3,PM,lico,0.022463027710305346
3,PM,rac,0.021682685188759415
3,PM,raw,0.022534732839417076
4,PM,bl,0.02132459824134344
4,PM,c0,0.024778847693660313
4,PM,imm,0.02158677340133881
4,PM,lep,0.020943715995038942
4,PM,lico,0.022030796274850495
4,PM,rac,0.02120401246267195
4,PM,raw,0.022041984606874853
5,PM,bl,0.021323505044059353
5,PM,c0,0.02477728238430227
5,PM,imm,0.021586111432754542
5,PM,lep,0.020942980160509456
5,PM,lico,0.022030115904679685
5,PM,rac,0.02120312597992375
5,PM,raw,0.022041123237041136
6,PM,bl,0.021304170708759864
6,PM,c0,0.024744877782562867
6,PM,imm,0.02156295129259188
6,PM,lep,0.020932470073991297
6,PM,lico,0.02201194402758488
6,PM,rac,0.02118464234519889
6,PM,raw,0.022023102912859457
7,PM,bl,0.02129963283006771
7,PM,c0,0.024733602916114112
7,PM,imm,0.021558605098974268
7,PM,lep,0.02092902476778924
7,PM,lico,0.022011374751719246
7,PM,rac,0.021179685206913847
7,PM,raw,0.022016902315063105
8,PM,bl,0.021231927588490292
8,PM,c0,0.024624493549812585
8,PM,imm,0.02133185186025484
8,PM,lep,0.020772672010224303
8,PM,lico,0.021912443624459106
8,PM,rac,0.02100366670389244
8,PM,raw,0.02186288889168647
9,PM,bl,0.021158140506534733
9,PM,c0,0.024577434431446814
9,PM,imm,0.021278099856481953
9,PM,lep,0.020711849433168956
9,PM,lico,0.021838978609375063
9,PM,rac,0.020933294639146463
9,PM,raw,0.02180634046906205
10,PM,bl,0.02115767440522006
10,PM,c0,0.02457737270678472
10,PM,imm,0.0212774443071018
10,PM,lep,0.02071117516979285
10,PM,lico,0.021838698308536138
10,PM,rac,0.020932637342533814
10,PM,raw,0.021805723763115372
11,PM,bl,0.021157213413463064
11,PM,c0,0.024576665293889705
11,PM,imm,0.02127488001805967
11,PM,lep,0.020709279619518805
11,PM,lico,0.021836423876030055
11,PM,rac,0.02093085875904717
11,PM,raw,0.02180433537379496
12,PM,bl,0.021153828799993262
12,PM,c0,0.02457142178304318
12,PM,imm,0.021261119593143574
12,PM,lep,0.020700310110310132
12,PM,lico,0.021830773951191804
12,PM,rac,0.02092083449312261
12,PM,raw,0.021796089897727838
13,PM,bl,0.02112817511086924
13,PM,c0,0.02455328098184225
13,PM,imm,0.021241299385226436
13,PM,lep,0.020680472310189216
13,PM,lico,0.02180434862399663
13,PM,rac,0.020897743490430637
13,PM,raw,0.02177622642586346
14,PM,bl,0.02111597894508216
14,PM,c0,0.024538901831011296
14,PM,imm,0.021202045540167316
14,PM,lep,0.02065297151058468
14,PM,lico,0.021781120468390182
14,PM,rac,0.020865513486199486
14,PM,raw,0.02174364200506973
15,PM,bl,0.020876471916625026
15,PM,c0,0.024243937061697116
15,PM,imm,0.020981288657698893
15,PM,lep,0.02033637998284336
15,PM,lico,0.02156629781733156
