INT_ID,string
13469891,Index Rd / North Queen St
13467838,Mill Rd / Rathburn Rd / Centennial Park Blvd
13469001,Bloor St W / Koos Rd
13468412,Burnhamthorpe Rd / Old Burnhamthorpe Rd
13467579,Rathburn Rd / Elmcrest Rd
13468898,Bloor St W / The West Mall
13469458,Dundas St W / The West Mall / 427 C S Dundas Ramp
13469872,Eastside Dr / North Queen St
13469836,The East Mall / North Queen St
13469789,Medulla Ave / North Queen St
13469402,Dundas St W / Cloverdale Mall / 427 C N Dundas Ramp
13470516,Brown'S Line / Woodbury Rd
13470438,Brown'S Line / Horner Ave
13469206,Yarn Rd / The East Mall
20110447,The West Mall / Leavenworth Cres
13470365,Brown'S Line / Rimilton Ave / Finsbury Cres
13470305,Brown'S Line / Valermo Dr
13470207,Sherway Gardens Rd / The West Mall / Sherway Dr
13990825,Evans Ave / Sherway Gt
13990837,Sherway Gardens Rd / Sherway Gt
13469029,The East Mall / Gordon Park Dr
13468751,Bloor St W / The East Mall
13469351,Dundas St W / The East Mall / 427 C N Dundas E Ramp / Dundas 427 C N Ramp
13469317,Dundas St W / East Mall Cres
13469285,Dundas St W / Paulart Dr
13469211,Dundas St W / Shorncliffe Rd / Shaver Ave S
13470690,Brown'S Line / Lake Shore Blvd W
13469943,Manstor Rd / North Queen St
13470082,The Queensway / North Queen St
13470013,Nova Rd / North Queen St
13470192,Evans Ave / Gair Dr
13470217,Brown'S Line / Evans Browns Li Ramp
13470179,Evans Ave / Evans Browns Li Ramp / 427 C S Evans Ramp
13468614,Bloor St W / Laurel Ave
13469764,Atomic Ave / North Queen St
13469743,Shorncliffe Rd / North Queen St
13469915,The Queensway / Algie Ave
13469555,Shorncliffe Rd / Newbridge Rd
13469464,Shorncliffe Rd / Lockport Ave
13469888,The Queensway / Wickman Rd / Vansco Rd
13470664,Brown'S Line / Lake Shore Blvd W
13469823,The Queensway / Plywood Pl
13469800,Kipling Ave / The Queensway
13469717,Kipling Ave / Warnica Ave
13469594,Kipling Ave / North Queen St
13470590,Brown'S Line / Jellicoe Ave
13470159,Evans Ave / Sheldon Ave
13470147,Evans Ave / The East Mall
13469526,Kipling Ave / Jutland Rd
13468974,Dundas St W / Wilmar Rd
13468811,Dundas St W / Poplar Ave / Subway Cres
13468683,Dundas St W / Acorn Ave
13470639,Lake Shore Blvd W / Long Branch Ave
13470610,Lake Shore Blvd W / Thirtieth St
13470554,Elder Ave / Thirtieth St
13470599,Lake Shore Blvd W / Twenty Eighth St
13468572,Dundas St W / Aukland Rd
13469239,Kipling Ave / Norseman St
13469120,Kipling Ave / Advance Rd
13468987,Kipling Ave / Six Point Rd
13468871,Kipling Ave / Olivewood Rd
13468822,Kipling Ave / Munster Kipling S Ramp
13470138,The Queensway / The West Mall
13469403,Bloor St W / Markland Dr
13469170,Markland Dr / Cherry Post Cres / Maple Gate Crt
13469015,Fourthgreen Pl / Markland Dr / Silverthorne Bush Dr
13468845,Mill Rd / Markland Dr
13469998,The Queensway / The East Mall
13470418,Sheldon Ave / Horner Ave
13470396,Alderbrae Ave / Horner Ave
13470377,Horner Ave / Beta St
13469498,Dundas St W / Neilson Dr / West Mall Cres
13470366,Horner Ave / Delta St
13470480,Akron Rd / Thirtieth St
13470410,Alhena Ave / Thirtieth St
13461072,Dixon Rd / 427 N Dixon Ramp
13459796,Carlingview Dr / Worcester Rd
13469240,Bloor St W / Mill Rd
13469193,Bloor St W / Mapledawn Rd / Forest View Rd
13469133,Bloor St W / Markland Dr
13469097,Mill Rd / Toledo Rd
13470350,Horner Ave / Thirtieth St
13470329,Horner Ave / Edilou Dr
13470312,Belvia Rd / Horner Ave
13470303,Horner Ave / Fima Cres
13470128,Evans Ave / Gamma St
13470116,Evans Ave / North Carson St
13470100,Evans Ave / Treeview Dr
13469954,The Queensway / Atomic Ave
13458080,Attwell Dr / Carlingview Dr
13458633,Carlingview Dr / Disco Rd
13455506,Rexdale Blvd / Queen'S Plate Dr / Woodbine Track Access
13470077,Evans Ave / Bellman Ave
13470045,Evans Ave / Wickman Rd
13464598,Renforth Dr / Eglinton Ave W
13464781,Renforth Dr / Gentian Dr
13466259,Islington Ave / Fairway Rd
13465956,Islington Ave / Finchley Rd / Orrell Ave
13467170,Rathburn Rd / Melbert Rd
13467024,Centennial Park Rd / Rathburn Rd
13464710,Wellesworth Dr / Gentian Dr
13463579,Renforth Dr / Convair Dr
13463462,Martin Grove Rd / Winterton Dr / Nottinghill Gt
13462841,Willowridge Rd / Earldown Dr
13462944,Willowridge Rd / Richgrove Dr
13462365,Longbourne Dr / Redgrave Dr
13462745,Martin Grove Rd / Richgrove Dr
13463137,Martin Grove Rd / Eglinton Ave W
13464505,Martin Grove Rd / Princess Margaret Blvd
13464491,Princess Margaret Blvd / Dornoch Dr
13464013,Martin Grove Rd / Dewitt Rd
13462783,Renforth Dr / Carlingview Dr / International Blvd
13462312,Martin Grove Rd / Sedgeley Dr / Caverley Dr
13468280,Valhalla Inn Rd / The East Mall
13464874,Lloyd Manor Rd / North Heights Rd
13465214,Lloyd Manor Rd / Beaverbrook Ave
13465087,Kipling Ave / Beaverbrook Ave
13464632,Lloyd Manor Rd / Firwood Cres
13467689,Burnhamthorpe Rd / The East Mall / Burnhamthorpe 427 C N Ramp
13464280,Lloyd Manor Rd / Princess Margaret Blvd
13464705,Kipling Ave / North Heights Rd
13464249,Kipling Ave / Prince George Dr
13468296,Burnhamthorpe Rd / Silver Shadow Path
13467359,Keane Ave / The East Mall
13467622,Burnhamthorpe Rd / Meadowbank Rd
13468541,Bloor St W / Shaver Ave N / Shaver Ave S
13462244,Royal York Rd / Allanhurst Dr
13468183,Burnhamthorpe Rd / Old Burnhamthorpe Rd / Saturn Rd
13462652,International Blvd / Voyager Crt N / Voyager Crt S
13465286,Sanctbury Pl / Eringate Dr
13468457,Bloor St W / Wilmar Rd
13467416,Burnhamthorpe Rd / Shaver Ave N
13467307,Burnhamthorpe Rd / Martin Grove Rd
13462936,Eglinton Ave W / Lloyd Manor Rd / Widdicombe Hill Blvd
13463235,Kipling Ave / Longfield Rd / The Kingsway
13463854,Kipling Ave / Princess Margaret Blvd
13468073,Burnhamthorpe Rd / Renforth Dr
13465218,Sigmont Rd / Eringate Dr
13465185,Rangoon Rd / Eringate Dr
13464929,Rangoon Rd / Hagersville Crt
13466209,Rathburn Rd / Cottrelle Gt
13466070,Rathburn Rd / West Deane Park Dr
13465562,Islington Ave / Bywood Dr
13465305,Islington Ave / Great Oak Dr
13465143,Rathburn Rd / Birchcroft Rd
13465055,Islington Ave / Rathburn Rd
13464419,Islington Ave / Aylesbury Rd
13464763,Islington Ave / Anglesey Blvd
13464097,Islington Ave / The Kingsway
13468202,The West Mall / Civic Centre Crt
13467965,Burnhamthorpe Rd / Mulgrove Dr
13467918,Burnhamthorpe Rd / The West Mall / Burnhamthorpe 427 C S Ramp / 427 C S Burnhamthorpe W Ramp
13464546,Rangoon Rd / Wellesworth Dr
13465976,Martin Grove Rd / Rathburn Rd
13462101,Carlingview Dr / Meteor Dr
13461025,Dixon Rd / Carlingview Dr
13461753,Meridian Rd / Skyway Ave
13460801,Dixon Rd / Skyway Ave / Attwell Dr
13460502,Attwell Dr / Carlson Crt
13461369,Meridian Rd / Skyway Ave
13460160,Carlingview Dr / Fasken Dr
13459321,Marmac Dr / Attwell Dr
13458987,Belfield Rd / Attwell Dr
13464425,West Deane Valley Rd / The East Mall
13465650,The East Mall / West Deane Park Dr
13465103,Talgarth Rd / The East Mall
13467238,Burnhamthorpe Rd / Appleby Rd
