gta06,pd,lat,lon
90,1,43.642778888770685,-79.41060412962847
268,6,43.65835276553577,-79.34578947332652
267,6,43.660945225462974,-79.33430790739773
254,6,43.66974749596742,-79.29326819672652
255,6,43.67240683008027,-79.3046212151096
269,6,43.6683121929177,-79.33172497717183
271,6,43.662997194284344,-79.34994638714295
17,1,43.65864352533135,-79.36120905079443
18,1,43.66176426339244,-79.36162966605823
23,1,43.66015507498439,-79.37195745135313
24,1,43.65661995209769,-79.3685706366979
67,1,43.65197533171346,-79.39132371074673
68,1,43.65631530582981,-79.39386934204528
75,1,43.65465574439621,-79.40257357314232
76,1,43.650151506150536,-79.40056924436223
91,2,43.64901929160038,-79.40880840434377
92,2,43.65355085308448,-79.4108801302952
97,2,43.6521445658239,-79.41954953455493
98,2,43.64700116309318,-79.41964496113665
99,2,43.64441141761874,-79.42571127960198
100,2,43.651188492862794,-79.4306410274765
108,2,43.64772752094083,-79.434801040426
109,2,43.64403598221983,-79.43790170882788
113,2,43.64234735220769,-79.44781346707823
120,2,43.64524358460006,-79.47227016712402
115,2,43.65067660738388,-79.45434042659359
114,2,43.650179848015966,-79.44795580159317
107,2,43.65453668774635,-79.44128099709003
101,2,43.6570127455884,-79.43161609791967
102,2,43.65779811880381,-79.42619394935686
96,2,43.65871094419636,-79.42089372224842
93,2,43.659738555161226,-79.41318895910659
73,1,43.66417344443695,-79.40583571807633
21,1,43.66930737516785,-79.37395600716799
22,1,43.66506403988776,-79.37400034995359
20,1,43.66902320279887,-79.3656980551223
19,1,43.66471746162952,-79.36359525210437
272,6,43.66908058559963,-79.34740175972416
278,6,43.67391149659444,-79.35499488931497
277,6,43.6750131471278,-79.3478408197926
265,6,43.67422240046908,-79.32453692060994
264,6,43.68156694911078,-79.32777992173456
257,6,43.67453304090855,-79.31425255113834
256,6,43.68032781607869,-79.30462568903361
252,6,43.68370162825222,-79.29210486553593
251,6,43.687894620229784,-79.30124721744785
258,6,43.683865398533314,-79.31800627108501
280,6,43.68085968251321,-79.35001814378084
279,6,43.67851929172817,-79.3587207929458
206,4,43.68440467350882,-79.37453275192387
205,4,43.67708352008614,-79.3798896485339
43,1,43.67227910627036,-79.3841396568405
45,1,43.67190951059672,-79.39206016386836
44,1,43.675630910975066,-79.39154690431344
71,1,43.67200867902075,-79.40071925745033
72,1,43.66995909542359,-79.40838980124697
94,2,43.66844556322408,-79.4165324673024
95,2,43.66746528807184,-79.42426393266625
103,2,43.665898440070904,-79.42918238222688
104,2,43.664877536707415,-79.43410121775337
105,2,43.663397222495945,-79.44279443544768
106,2,43.66183935013878,-79.45070746527388
116,2,43.65897346113643,-79.45613807027884
117,2,43.665184154677185,-79.46124817876547
118,2,43.663914112663115,-79.46752299268448
119,2,43.656248880070024,-79.4648265148962
125,2,43.656168799665565,-79.47258626845652
124,2,43.65524922144837,-79.48275647918726
126,2,43.66403587813515,-79.47708023462832
148,3,43.6775494938697,-79.46212454465498
166,3,43.67063961079403,-79.44281597452989
165,3,43.67538741416451,-79.44309766737184
164,3,43.68020400254542,-79.44999571648489
170,3,43.678177482066026,-79.42966144792769
167,3,43.673050709527345,-79.42758160727867
187,4,43.67726017300534,-79.40613671728674
203,4,43.68402160981554,-79.39624022125042
216,4,43.70481909755208,-79.38162378577336
184,4,43.703367354524545,-79.43390077425383
191,4,43.70517812991711,-79.42241423710988
213,4,43.72175797683361,-79.39562441617117
196,4,43.72901949175157,-79.4095263026134
214,4,43.730174666870454,-79.39774175912918
123,2,43.654388846408494,-79.49109271432759
128,2,43.66275941689935,-79.50068797593043
127,2,43.662801540826166,-79.48826294219978
129,3,43.66943949343292,-79.49059937501066
130,3,43.674311969252926,-79.50229527329707
144,3,43.67825597741616,-79.4796978685724
143,3,43.67766832356913,-79.49029819769615
142,3,43.68447959257008,-79.49061347843573
149,3,43.684403036969655,-79.47533060908931
150,3,43.68609804146333,-79.4675882596594
176,3,43.69043824419108,-79.44443580201961
171,3,43.68309680111237,-79.44107774071699
172,3,43.68588591802394,-79.43493842095282
175,3,43.694567637393305,-79.44127942418162
177,3,43.701560788469074,-79.44398105691673
152,3,43.69367945035358,-79.46960622990662
140,3,43.689249012728474,-79.49480444087098
131,3,43.68866429821101,-79.50464140257164
132,3,43.698523891152554,-79.51109794774175
134,3,43.705292972883704,-79.51248979391458
250,6,43.693670684560665,-79.30567058058362
263,6,43.688441515873116,-79.33371414837106
281,6,43.689726259334215,-79.34514847937827
282,6,43.68868642995958,-79.35301346895713
249,6,43.69964693323935,-79.29767308255694
248,6,43.71077944322761,-79.30365956126862
286,7,43.61420896249698,-79.48494625131217
294,7,43.594204320127346,-79.52740658131958
317,8,43.6562486496768,-79.50340645847942
346,8,43.67995825947727,-79.56997979615979
352,8,43.68812458562862,-79.56323110149107
347,8,43.67993689257192,-79.55927862565919
343,8,43.68629689706264,-79.53475420460144
373,9,43.73672537834863,-79.58646209794695
374,9,43.739443618834095,-79.5739689703683
375,9,43.73728639800871,-79.55740782564567
245,5,43.72949529150165,-79.30746976582992
234,5,43.7562037837556,-79.3266023015711
194,4,43.73496048438591,-79.42624254805771
193,4,43.72514179548928,-79.42316053796861
183,4,43.71330906762616,-79.43469816454704
139,3,43.69863458617891,-79.49617480267295
154,3,43.71293119728973,-79.48359426744209
155,3,43.717018794573335,-79.47645424858992
182,4,43.72123093498132,-79.43750269948629
181,4,43.73034898739523,-79.4376525350731
422,10,43.731263127998965,-79.46559240761759
414,10,43.72979897039664,-79.48407920217963
410,10,43.72575965276933,-79.49749496771223
411,10,43.73396277559115,-79.5061944583058
413,10,43.73899112816177,-79.48959180809067
466,12,43.7704014848626,-79.35353038312246
477,12,43.797246981702415,-79.33723290679526
479,12,43.79091519183644,-79.34903801376322
478,12,43.789081474100406,-79.35916643403368
437,11,43.76951743604085,-79.43467248474157
544,14,43.70717227570737,-79.25710969712883
536,13,43.70787768044548,-79.27287933586773
535,13,43.71094249456151,-79.26489545786603
524,13,43.736074657913186,-79.27212500531022
509,13,43.74640916183933,-79.27423897485247
521,13,43.750483117271585,-79.24711910801472
518,13,43.74298019518635,-79.23419912662459
575,15,43.80364805891581,-79.17633209625113
487,13,43.76852285585435,-79.2861259927049
502,13,43.753148470272635,-79.28270678367684
588,16,43.79851248502291,-79.32589053234885
592,16,43.80170730896998,-79.30869844757552
607,16,43.81266486298638,-79.26457687165431
601,16,43.81002427692463,-79.28028685240508
81,1,43.62314280704007,-79.38191263463492
163,3,43.689559875872355,-79.4517030725351
162,3,43.68737261101796,-79.45956851611335
357,9,43.68666135724568,-79.57265261657805
358,9,43.69215194236945,-79.59446761954398
359,9,43.701317912057846,-79.59906306258345
356,9,43.698122209160346,-79.58036583118194
361,9,43.71425093669978,-79.59421623710479
367,9,43.7162969906896,-79.57680920571521
406,10,43.74195394713588,-79.51884592389223
401,10,43.75237742458824,-79.52041934398143
153,3,43.701608862242416,-79.48321089911629
392,10,43.77323273301775,-79.48830121224461
77,1,43.64617496234784,-79.39946644547693
66,1,43.64805438438308,-79.39131331736152
78,1,43.643501789179304,-79.39838303158525
65,1,43.64499199370868,-79.39053438076978
79,1,43.64006915807123,-79.3963300732262
62,1,43.63902962962226,-79.3852965650927
55,1,43.64964916048154,-79.38387371892803
57,1,43.646686973269865,-79.38261953324158
56,1,43.647597235336406,-79.37857012898755
54,1,43.65054034436309,-79.37977550011614
58,1,43.64516928950406,-79.37925388656707
70,1,43.66615948970279,-79.39979868908742
46,1,43.66722122331588,-79.38707661354434
47,1,43.666776621440896,-79.39075790375935
49,1,43.66208296068353,-79.38926920378444
48,1,43.66288994491713,-79.38515369759685
51,1,43.65865237083008,-79.38631344370548
53,1,43.6532952000334,-79.38521601784568
52,1,43.654055043194454,-79.38152116147369
50,1,43.659331018827636,-79.3837323465868
42,1,43.668049685310805,-79.38390587943167
40,1,43.66322638880187,-79.38199829901276
41,1,43.66914610572587,-79.38095673188545
39,1,43.66417351487334,-79.37879692366666
37,1,43.65519879150148,-79.37642904709196
38,1,43.65982399996022,-79.37915266517795
35,1,43.64886876903004,-79.37494377763846
36,1,43.65155147489729,-79.37546798399933
16,1,43.655092198786605,-79.35903471433174
25,1,43.65261278255492,-79.36841029263537
190,4,43.702055445371954,-79.41286832104527
189,4,43.69540570995405,-79.41111010594204
275,6,43.68296641361499,-79.33578817781967
276,6,43.68159200840208,-79.34173761029339
273,6,43.674874417920726,-79.34075845017881
274,6,43.67695064380024,-79.33559341758423
2,1,43.65883554136328,-79.31593017001717
500,13,43.75903339758019,-79.27050830266765
501,13,43.75999007915229,-79.2819787184707
490,13,43.773422551807485,-79.25764042037301
606,16,43.804897815551534,-79.26594449403186
561,15,43.780071257045925,-79.20010207576483
581,16,43.78225798450346,-79.27151177234497
423,11,43.73275368986916,-79.44685914250877
180,3,43.72576201062582,-79.4527281630175
583,16,43.77952231388118,-79.29192070325439
603,16,43.79308814894701,-79.27637975578352
602,16,43.80115629571083,-79.28031624501497
270,6,43.66450441520374,-79.33908036200799
179,3,43.71899446298157,-79.45038821014829
157,3,43.71822447767615,-79.46106006599051
229,5,43.75594030439543,-79.39159795206541
432,11,43.78850558568169,-79.44320365830025
447,11,43.79277486868944,-79.41538640123258
459,11,43.79596167417079,-79.40360246812399
458,11,43.786769512039,-79.40141546121694
456,11,43.76861853718151,-79.39473295768755
457,11,43.77823166803729,-79.3985184752442
484,12,43.77165957684309,-79.33217635881981
483,12,43.77242710421844,-79.34362693671578
480,12,43.78961022265948,-79.33521091914298
482,12,43.779171836754365,-79.33292690101561
582,16,43.78021990586596,-79.28143261436337
597,16,43.79190112375334,-79.28627443971021
586,16,43.77907916768942,-79.31928606213629
587,16,43.790951172184876,-79.32019101950132
593,16,43.793865699853754,-79.31059606047872
577,16,43.79808094561252,-79.20770607280727
578,16,43.792923436342825,-79.23164693030988
497,13,43.77024544115389,-79.23875051461557
512,13,43.76184608110104,-79.23371222411551
178,3,43.709423711355974,-79.44757447848488
231,5,43.75939506045414,-79.35489446589084
609,16,43.82762689726797,-79.2571453412712
610,16,43.81591979583024,-79.25238219188871
505,13,43.748716162333295,-79.30282241186144
545,14,43.72149198895373,-79.24344996115516
546,14,43.71426522774482,-79.23809742006377
219,4,43.715709326212846,-79.36686163891554
217,4,43.70547956678883,-79.36834718131921
11,1,43.64302567219404,-79.35376679800122
121,2,43.63600014577171,-79.46440711856076
220,4,43.71038857791761,-79.35682551638791
547,14,43.7240251038123,-79.2264508306337
319,8,43.66014585387334,-79.52370445012994
473,12,43.806619891273506,-79.34191150614284
295,7,43.5908638578638,-79.54023567936558
382,9,43.753023020776816,-79.59342051830129
371,9,43.73075597639562,-79.6107516777189
362,9,43.71205475341473,-79.57265246819449
355,9,43.69442443041297,-79.56730863552386
353,8,43.69701777217755,-79.55580057328052
348,8,43.68276373127535,-79.54707005376864
351,8,43.69273197716512,-79.55154407107351
338,8,43.663526496024026,-79.5506260912615
345,8,43.672913853198004,-79.55425156485484
339,8,43.6656951805341,-79.54018668168627
344,8,43.67395624094565,-79.54276135246093
293,7,43.600291401872724,-79.51854371070357
291,7,43.60255174626133,-79.51033162385725
407,10,43.72676617550376,-79.5155137288346
408,10,43.7207238437088,-79.51215274559078
135,3,43.71043135075037,-79.52444364316943
136,3,43.71489599693098,-79.51273695991415
385,10,43.75341345621616,-79.56570027197692
415,10,43.72549508012765,-79.47962925395795
409,10,43.721308786076634,-79.49992029096792
137,3,43.713358102213384,-79.4975417108189
138,3,43.70717309026307,-79.50150714665543
434,11,43.78742320673934,-79.43141907654919
442,11,43.76490329219808,-79.4131416331713
197,4,43.71866848191485,-79.40633097578609
198,4,43.71395765815917,-79.41643621799041
159,3,43.70356809671433,-79.46169679307023
160,3,43.69891426981164,-79.46038640984277
161,3,43.69566581376421,-79.45724362268656
141,3,43.691062407625395,-79.48985797172521
151,3,43.693530820730096,-79.47965681875709
145,3,43.67390716376381,-79.47425593883248
169,3,43.68066914595332,-79.42072956418073
168,3,43.674697497868934,-79.41889123747517
283,6,43.6926691052283,-79.36206952796516
533,13,43.72192596305785,-79.25951436696901
523,13,43.73892545619246,-79.2589748840798
522,13,43.748098521906165,-79.25830956293149
506,13,43.736179991134556,-79.30521284341752
527,13,43.72703738714167,-79.30076956013681
526,13,43.729773595432746,-79.29338206344897
504,13,43.75372068950781,-79.30936985314662
485,13,43.76394027554241,-79.31072872572535
503,13,43.752699356221974,-79.29439962656278
585,16,43.77415672894508,-79.31167409550851
584,16,43.77583500784841,-79.30171239388112
580,16,43.78549184119197,-79.26060272468142
612,16,43.7950880906691,-79.24907467163958
599,16,43.818078738059626,-79.29916632872775
598,16,43.806778631971326,-79.29395848762167
552,14,43.74583876451034,-79.21590604486354
496,13,43.77276405718579,-79.22521866907334
513,13,43.76483793592244,-79.22175581999744
495,13,43.77429578418258,-79.21371170182925
514,13,43.76689358285617,-79.21011515510818
564,15,43.7918113390429,-79.19036882459042
565,15,43.79388954671709,-79.18033035432924
566,15,43.78394512911086,-79.18632652047367
562,15,43.78623581311562,-79.20026074547926
621,16,43.81380382023335,-79.21473793281383
10,1,43.64652970210527,-79.34899943457299
9,1,43.63871164068391,-79.3460241191381
6,1,43.652270763553396,-79.3365249816836
201,4,43.70150992653536,-79.40343437810189
211,4,43.71021072907547,-79.3958519116518
491,13,43.77762342328194,-79.24812776086536
488,13,43.77342177963729,-79.26967022552023
396,10,43.756763040465444,-79.49284892505163
397,10,43.76343628385267,-79.49598224022408
210,4,43.70551159266447,-79.39437521315985
209,4,43.69834119292253,-79.39134565815333
112,2,43.63586659652672,-79.44393122577924
63,1,43.64257782842334,-79.38467501529341
64,1,43.64108388288021,-79.39112175558719
59,1,43.643239463350916,-79.37880827263498
60,1,43.64191609708607,-79.37776072729619
26,1,43.64911082548448,-79.36744002786673
29,1,43.644828947724434,-79.36418719063755
27,1,43.64688046076999,-79.3637704222702
15,1,43.6509573799169,-79.35973214692787
14,1,43.65320533997801,-79.35448476157931
12,1,43.650557502430736,-79.3519663991773
13,1,43.64788612234388,-79.35808816932908
5,1,43.65489699305101,-79.34434391394106
4,1,43.65818737049934,-79.33387302586787
8,1,43.646224879094156,-79.3343256783058
7,1,43.63358825691192,-79.33049989494842
326,8,43.64017853533913,-79.57050239404471
327,8,43.64002250503009,-79.56319800099826
303,8,43.63433302734111,-79.48081732240136
486,13,43.76687505316028,-79.29746323086216
354,9,43.705920889044165,-79.55453723989018
350,8,43.70048354863989,-79.54197819283509
336,8,43.661489293248906,-79.57704721814194
332,8,43.65138438807026,-79.56850815461026
328,8,43.64144963810154,-79.5598501233077
296,7,43.60070392398319,-79.53509961225835
289,7,43.60680256759052,-79.50185793379575
287,7,43.61288521294532,-79.49273209032013
292,7,43.61192409446946,-79.52120998361707
111,2,43.631760441450226,-79.43096232451143
87,1,43.63074268067709,-79.42243850686746
83,1,43.634804787352955,-79.40569219631159
86,1,43.63128602163974,-79.41396220138887
85,1,43.6357057972308,-79.41406889026409
84,1,43.637708221019125,-79.40430786378984
82,1,43.634150146451596,-79.39982096296329
80,1,43.63704737126156,-79.39587663628836
69,1,43.661319643189856,-79.39677399495508
74,1,43.65975791726492,-79.40512006485511
186,4,43.681248616206155,-79.41315497677716
188,4,43.68527391822893,-79.40547182428739
425,11,43.74761613467206,-79.44437173403894
440,11,43.74579973692851,-79.4304180141563
424,11,43.74045623260337,-79.44115364958803
438,11,43.77211558234036,-79.42178873392486
443,11,43.77474249066906,-79.41582471765497
448,11,43.78214471754177,-79.41463772785099
449,11,43.78414028974827,-79.41121185983101
450,11,43.77566373273175,-79.41293012570269
451,11,43.7768212912984,-79.40897322500147
462,11,43.77974884926199,-79.3836990238263
215,4,43.720307277891884,-79.38363303992185
557,15,43.7596014048591,-79.18530185956686
567,15,43.78563985631151,-79.17624247994831
574,15,43.79522775614263,-79.16681617372944
572,15,43.80224761543317,-79.15954727682416
568,15,43.772421998398364,-79.16947722644338
569,15,43.78213186764196,-79.15647616508684
556,15,43.76446944996554,-79.1652706059938
529,13,43.72189429426789,-79.29047530184394
528,13,43.714804916250785,-79.2923498193956
260,6,43.71211969099889,-79.31314443587868
246,5,43.72062227874118,-79.31602282779377
247,5,43.71951158178464,-79.30306602962419
262,6,43.69551927376486,-79.33609022289122
261,6,43.70617018235518,-79.32644461188224
259,6,43.69322899030329,-79.32139674819733
202,4,43.691824477279596,-79.39878245024514
204,4,43.686829277141776,-79.39105856430713
208,4,43.69570486099546,-79.38589012124842
212,4,43.71234915206072,-79.38980273641256
200,4,43.70915934618944,-79.40539217040444
472,12,43.81011542960367,-79.35481614521416
590,16,43.81242490983988,-79.32735349303277
591,16,43.81460771048733,-79.31413476624496
600,16,43.82208347481419,-79.28414742789099
608,16,43.82402906833445,-79.27048376170418
310,8,43.62217208601357,-79.5614407596031
389,10,43.767997696606685,-79.52304575826315
377,9,43.73904532259556,-79.59613153176115
378,9,43.74016086378294,-79.61777817474132
372,9,43.73215405872927,-79.59542495988418
370,9,43.72613707676756,-79.6187988717751
369,9,43.722517532789446,-79.60180671476277
360,9,43.71296956742572,-79.60557237693918
325,8,43.635728299458805,-79.57903131723411
32,1,43.64456535734651,-79.37304486803559
31,1,43.645190930262316,-79.37097269634988
379,9,43.74870492022366,-79.61283417306242
380,9,43.75260608824534,-79.60218402161152
376,9,43.744542789241905,-79.58775841385285
381,9,43.74520170705824,-79.59942343067804
383,9,43.75283189331485,-79.58207771071282
384,10,43.756063998203146,-79.57512150213789
386,10,43.7549084963577,-79.55838415699807
403,10,43.74778517889394,-79.55118407987266
366,9,43.72764389638173,-79.56842332607475
368,9,43.72475127735674,-79.5828876133858
365,9,43.72501546585869,-79.54974029176755
363,9,43.71706735433587,-79.56208165664688
364,9,43.716147736551854,-79.54883435507455
402,10,43.73994006092807,-79.54086949731553
404,10,43.7226804752646,-79.53444740312894
405,10,43.728825738403366,-79.53103620367902
349,8,43.69661959810169,-79.52419689905547
133,3,43.7033334135907,-79.52503640486616
333,8,43.64850227582962,-79.57286851757684
334,8,43.6440407440264,-79.5837564985975
330,8,43.65194637352355,-79.55680766516662
329,8,43.64287696026468,-79.5522517550387
331,8,43.65260475604759,-79.56494215063734
324,8,43.63043137066868,-79.56852487224425
311,8,43.6281284944994,-79.55036119716301
312,8,43.636170294645645,-79.53877648848353
308,8,43.62768087209071,-79.5396675442661
323,8,43.63575519031917,-79.5485078430768
322,8,43.64931616430463,-79.54334008259708
321,8,43.64813029530721,-79.53423447765583
313,8,43.64583558004305,-79.52757913899212
320,8,43.65772352244369,-79.5347877790297
309,8,43.61357396307202,-79.55845990578115
299,8,43.61750055324025,-79.53925468682817
298,7,43.60732740124278,-79.53968217261654
297,7,43.601595857725044,-79.54961543894868
290,7,43.59813015829088,-79.50492708963719
300,8,43.623227287743724,-79.51952995529633
307,8,43.63689165862743,-79.52566085985629
305,8,43.64149586104692,-79.49993186113257
306,8,43.63789668033261,-79.51422018291399
315,8,43.64461969554315,-79.50920613871548
122,2,43.64235374026534,-79.48004975198249
304,8,43.63819518184206,-79.4904458982117
288,7,43.62060215514353,-79.49918622438193
337,8,43.66402268164793,-79.56531711825895
340,8,43.67119625646377,-79.52826269168216
335,8,43.655933239081065,-79.58870909551362
