trip_headsign,direction_id,route_short_name,shape_id
LINE 1 (YONGE-UNIVERSITY),0,1,600246
LINE 1 (YONGE-UNIVERSITY),1,1,600735
LINE 1 (YONGE-UNIVERSITY),1,1,600741
LINE 1 (YONGE-UNIVERSITY),1,1,600736
LINE 1 (YONGE-UNIVERSITY),1,1,600563
LINE 1 (YONGE-UNIVERSITY),1,1,600555
LINE 1 (YONGE-UNIVERSITY),1,1,600602
LINE 1 (YONGE-UNIVERSITY),1,1,600603
LINE 1 (YONGE-UNIVERSITY),1,1,600728
LINE 1 (YONGE-UNIVERSITY),1,1,600557
LINE 1 (YONGE-UNIVERSITY),1,1,600560
LINE 1 (YONGE-UNIVERSITY),1,1,600593
LINE 1 (YONGE-UNIVERSITY),1,1,600693
LINE 1 (YONGE-UNIVERSITY),1,1,600694
LINE 1 (YONGE-UNIVERSITY),1,1,600692
LINE 1 (YONGE-UNIVERSITY),1,1,600768
LINE 1 (YONGE-UNIVERSITY),1,1,600695
LINE 1 (YONGE-UNIVERSITY),1,1,600696
LINE 1 (YONGE-UNIVERSITY),1,1,600646
LINE 1 (YONGE-UNIVERSITY),1,1,600645
LINE 1 (YONGE-UNIVERSITY),1,1,600647
LINE 1 (YONGE-UNIVERSITY),1,1,600637
LINE 1 (YONGE-UNIVERSITY),1,1,600639
LINE 1 (YONGE-UNIVERSITY),1,1,600640
LINE 1 (YONGE-UNIVERSITY),1,1,600636
LINE 1 (YONGE-UNIVERSITY),1,1,600641
LINE 1 (YONGE-UNIVERSITY),1,1,600642
LINE 1 (YONGE-UNIVERSITY),1,1,600643
LINE 1 (YONGE-UNIVERSITY),1,1,600644
LINE 1 (YONGE-UNIVERSITY),1,1,600666
LINE 1 (YONGE-UNIVERSITY),1,1,600739
LINE 1 (YONGE-UNIVERSITY),1,1,600762
LINE 1 (YONGE-UNIVERSITY),1,1,600638
LINE 1 (YONGE-UNIVERSITY),1,1,600601
LINE 1 (YONGE-UNIVERSITY),1,1,600772
LINE 1 (YONGE-UNIVERSITY),0,1,600446
LINE 1 (YONGE-UNIVERSITY),0,1,600249
LINE 1 (YONGE-UNIVERSITY),0,1,600250
LINE 1 (YONGE-UNIVERSITY),0,1,600217
LINE 1 (YONGE-UNIVERSITY),0,1,600359
LINE 1 (YONGE-UNIVERSITY),0,1,600361
LINE 1 (YONGE-UNIVERSITY),0,1,600264
LINE 1 (YONGE-UNIVERSITY),0,1,600432
LINE 1 (YONGE-UNIVERSITY),0,1,600431
LINE 1 (YONGE-UNIVERSITY),0,1,600270
LINE 1 (YONGE-UNIVERSITY),0,1,600371
LINE 1 (YONGE-UNIVERSITY),0,1,600337
LINE 1 (YONGE-UNIVERSITY),0,1,600338
LINE 1 (YONGE-UNIVERSITY),0,1,600339
LINE 1 (YONGE-UNIVERSITY),0,1,600222
LINE 1 (YONGE-UNIVERSITY),0,1,600367
LINE 1 (YONGE-UNIVERSITY),0,1,600340
LINE 1 (YONGE-UNIVERSITY),0,1,600286
LINE 1 (YONGE-UNIVERSITY),0,1,600335
LINE 1 (YONGE-UNIVERSITY),0,1,600390
LINE 1 (YONGE-UNIVERSITY),0,1,600334
LINE 1 (YONGE-UNIVERSITY),0,1,600366
LINE 1 (YONGE-UNIVERSITY),0,1,600330
LINE 1 (YONGE-UNIVERSITY),0,1,600374
LINE 1 (YONGE-UNIVERSITY),0,1,600373
LINE 1 (YONGE-UNIVERSITY),0,1,600332
LINE 1 (YONGE-UNIVERSITY),0,1,600372
LINE 1 (YONGE-UNIVERSITY),0,1,600331
LINE 1 (YONGE-UNIVERSITY),0,1,600336
LINE 1 (YONGE-UNIVERSITY),0,1,600333
LINE 2 (BLOOR-DANFORTH),1,2,601462
LINE 2 (BLOOR-DANFORTH),1,2,601481
LINE 2 (BLOOR-DANFORTH),0,2,601386
LINE 2 (BLOOR-DANFORTH),0,2,601392
LINE 2 (BLOOR-DANFORTH),0,2,601391
LINE 2 (BLOOR-DANFORTH),0,2,601390
LINE 2 (BLOOR-DANFORTH),0,2,601389
LINE 2 (BLOOR-DANFORTH),0,2,601388
LINE 2 (BLOOR-DANFORTH),0,2,601383
LINE 2 (BLOOR-DANFORTH),0,2,601437
LINE 2 (BLOOR-DANFORTH),0,2,601431
LINE 2 (BLOOR-DANFORTH),0,2,601436
LINE 2 (BLOOR-DANFORTH),0,2,601435
LINE 2 (BLOOR-DANFORTH),0,2,601434
LINE 2 (BLOOR-DANFORTH),0,2,601433
LINE 2 (BLOOR-DANFORTH),0,2,601432
LINE 2 (BLOOR-DANFORTH),0,2,601430
LINE 2 (BLOOR-DANFORTH),0,2,601429
