trip_headsign_x,trip_headsign_y,delta,direction_id_x,route_short_name,shape_id_x,dist_x,direction_id_y,shape_id_y,dist_y
SOUTH - 5B AVENUE RD TOWARDS GERRARD,NORTH - 5 AVENUE RD TOWARDS EGLINTON STATION,340.37,0,5,602183,6687.941151,1,602184,6347.567975
SOUTH - 5A AVENUE RD TOWARDS QUEEN'S PARK ,NORTH - 5 AVENUE RD TOWARDS EGLINTON STATION,388.22,0,5,602182,5959.348484,1,602184,6347.567975
SOUTH - 6 BAY TOWARDS QUEENS QUAY AND SHERBOURNE,NORTH - 6B BAY TOWARDS BLOOR AND DAVENPORT/YONGE,10.98,0,6,602512,5068.326354,1,602516,5079.306107
SOUTH - 6 BAY TOWARDS QUEENS QUAY AND SHERBOURNE,NORTH - 6A BAY TOWARDS DUPONT,47.29,0,6,602511,5985.115898,1,602515,5937.824223
SOUTH - 7 BATHURST TOWARDS BATHURST STATION,NORTH - 7S BATHURST TOWARDS WILSON,68.19,0,7,602594,8241.121637,1,602599,8309.30687
SOUTH - 7 BATHURST TOWARDS BATHURST STATION,NORTH - 7 BATHURST TOWARDS STEELES,430.33,0,7,602593,14826.85697,1,602598,15257.18483
SOUTH - 7 BATHURST TOWARDS BATHURST STATION,NORTH - 7 BATHURST TOWARDS STEELES,5852.05,0,7,602596,1124.827248,1,602600,6976.874756
SOUTH - 7 BATHURST TOWARDS BATHURST STATION,NORTH - 7 BATHURST TOWARDS STEELES,5852.05,0,7,602595,1124.827248,1,602600,6976.874756
SOUTH - 7 BATHURST TOWARDS STEELES,NORTH - 7 BATHURST TOWARDS STEELES,6418.74,0,7,602597,558.139599,1,602600,6976.874756
NORTH - 8 BROADVIEW TOWARDS COXWELL,SOUTH - 8 BROADVIEW TOWARDS BROADVIEW STATION,561.65,0,8,602685,4712.780524,1,602686,4151.128881
SOUTH - 9 BELLAMY TOWARDS WARDEN STATION,NORTH - 9 BELLAMY TOWARDS SCARBOROUGH CENTRE,51.70,0,9,602802,13322.67292,1,602804,13374.3713
EAST - 10 VAN HORNE TOWARDS VICTORIA PARK ,WEST - 10 VAN HORNE TOWARDS DON MILLS STATION,1330.25,0,10,600774,4758.173065,1,600776,3427.919
EAST - 10 VAN HORNE TOWARDS VICTORIA PARK ,WEST - 10 VAN HORNE TOWARDS DON MILLS STATION,2068.18,0,10,600775,1359.736646,1,600776,3427.919
SOUTH - 11 BAYVIEW TOWARDS DAVISVILLE STATION VIA SUNNYBROOK ,NORTH - 11A BAYVIEW TOWARDS STEELES VIA SUNNYBROOK,286.01,0,11,600900,14473.98479,1,600906,14187.97538
SOUTH - 11 BAYVIEW TOWARDS DAVISVILLE STATION,NORTH - 11C BAYVIEW TOWARDS SUNNYBROOK ,317.91,0,11,600902,4778.682891,1,600909,4460.776443
EAST - 12C KINGSTON RD TOWARDS ST CLAIR AND BARKDENE HILLS,WEST - 12C KINGSTON RD TOWARDS VICTORIA PARK STATION,27.60,0,12,600981,8843.436389,1,600993,8815.837029
EAST - 12C KINGSTON RD TOWARDS ST CLAIR AND BARKDENE HILLS,WEST - 12C KINGSTON RD TOWARDS VICTORIA PARK STATION,32.11,0,12,600982,8234.916902,1,600992,8267.025717
EAST - 12C KINGSTON RD TOWARDS ST CLAIR AND BARKDENE HILLS,WEST - 12C KINGSTON RD TOWARDS ST CLAIR AND BARKDENE HILLS,149.70,0,12,600987,852.0232585,1,600994,1001.721556
EAST - 12A KINGSTON RD TOWARDS KENNEDY STATION VIA VARIETY VILLAGE AND BRIMLEY,WEST - 12A KINGSTON RD TOWARDS VICTORIA PARK STATION VIA BRIMLEY AND VARIETY VILLAGE,271.16,0,12,600978,11859.37237,1,600990,11588.21549
EAST - 12A KINGSTON RD TOWARDS KENNEDY STATION VIA VARIETY VILLAGE AND BRIMLEY,WEST - 12A KINGSTON RD TOWARDS VICTORIA PARK STATION VIA BRIMLEY AND VARIETY VILLAGE,271.16,0,12,600979,11859.37237,1,600990,11588.21549
EAST - 12S KINGSTON RD TOWARDS BINGHAM LOOP,WEST - 12C KINGSTON RD TOWARDS ST CLAIR AND BARKDENE HILLS,1040.96,0,12,600988,2042.678744,1,600994,1001.721556
EAST - 12A KINGSTON RD TOWARDS KENNEDY STATION VIA VARIETY VILLAGE AND BRIMLEY,WEST - 12A KINGSTON RD TOWARDS VICTORIA PARK STATION VIA BRIMLEY AND VARIETY VILLAGE,1356.02,0,12,600983,10232.19465,1,600990,11588.21549
EAST - 14 GLENCAIRN TOWARDS DAVISVILLE STATION,WEST - 14 GLENCAIRN TOWARDS CALEDONIA ,103.82,0,14,601076,6774.757722,1,601077,6878.577797
WEST - 15 EVANS TOWARDS SHERWAY,EAST - 15 EVANS TOWARDS ROYAL YORK STATION,263.52,0,15,601109,8520.546671,1,601110,8257.022716
SOUTH - 16 MCCOWAN TOWARDS WARDEN STATION,NORTH - 16 MCCOWAN TOWARDS SCARBOROUGH CENTRE,70.04,0,16,601113,9500.119749,1,601115,9430.078233
SOUTH - 16S MCCOWAN TOWARDS DANFORTH AVE,NORTH - 16 MCCOWAN TOWARDS SCARBOROUGH CENTRE,2379.68,0,16,601114,11809.75397,1,601115,9430.078233
SOUTH - 17 BIRCHMOUNT TOWARDS WARDEN STATION,NORTH - 17C BIRCHMOUNT TOWARDS STEELES AND WARDEN,162.35,0,17,601189,14279.44218,1,601193,14441.79253
SOUTH - 17 BIRCHMOUNT TOWARDS WARDEN STATION,NORTH - 17B BIRCHMOUNT TOWARDS STEELES VIA WINTERMUTE,166.66,0,17,601188,13754.63463,1,601192,13921.29669
SOUTH - 17 BIRCHMOUNT TOWARDS WARDEN STATION EXTRA FARE REQUIRED NORTH OF STEELES,NORTH - 17A BIRCHMOUNT TOWARDS HIGHWAY 7 EXTRA FARE REQUIRED NORTH OF STEELES,746.41,0,17,601187,17497.26027,1,601191,18243.66886
EAST - 20 CLIFFSIDE TOWARDS KENNEDY STATION,WEST - 20 CLIFFSIDE TOWARDS MAIN STREET STATION,55.33,0,20,601608,10134.36859,1,601609,10079.04297
SOUTH - 21B BRIMLEY TOWARDS SCARBOROUGH CENTRE STATION,NORTH - 21B BRIMLEY TOWARDS STEELES AVE E,39.01,0,21,601611,7199.07368,1,601614,7160.060761
SOUTH - 21A BRIMLEY TOWARDS KENNEDY STATION,NORTH - 21A BRIMLEY TOWARDS SCARBOROUGH CENTRE STATION,231.62,0,21,601610,6907.286673,1,601613,6675.665079
SOUTH - 21C BRIMLEY TOWARDS KENNEDY STATION VIA SCARBOROUGH CENTRE STATION,NORTH - 21C BRIMLEY TOWARDS STEELES AVE E VIA SCARBOROUGH CENTRE STATION,304.81,0,21,601612,13896.30249,1,601615,13591.48865
SOUTH - 22A COXWELL TOWARDS VICTORIA PARK AVE VIA KINGSTON RD,NORTH - 22 COXWELL TOWARDS COXWELL STATION,363.72,0,22,601618,5935.327906,1,601622,5571.612018
SOUTH - 22B COXWELL TOWARDS QUEEN ST E,NORTH - 22 COXWELL TOWARDS COXWELL STATION,1219.40,0,22,601620,3286.340996,1,601624,2066.940596
SOUTH - 23 DAWES TOWARDS MAIN STREET STATION,NORTH - 23 DAWES TOWARDS ST CLAIR,20.56,0,23,601632,3989.627455,1,601634,4010.191954
SOUTH - 23 DAWES SHORT TURN,NORTH - 23 DAWES TOWARDS ST CLAIR,344.39,0,23,601633,1029.897322,1,601635,1374.286674
SOUTH - 24E VICTORIA PARK TOWARDS VICTORIA PARK STATION,NORTH - 24A VICTORIA PARK TOWARDS STEELES,144.58,0,24,601643,14744.62472,1,601664,14889.19974
SOUTH - 24 VICTORIA PARK TOWARDS VICTORIA PARK STATION,NORTH - 24A VICTORIA PARK TOWARDS STEELES,144.58,0,24,601636,14744.62472,1,601664,14889.19974
SOUTH - 24 VICTORIA PARK TOWARDS DANFORTH,NORTH - 24A VICTORIA PARK TOWARDS STEELES,169.48,0,24,601646,14610.22466,1,601652,14440.74204
SOUTH - 24 VICTORIA PARK TOWARDS DANFORTH VIA VICTORIA PARK STATION,NORTH - 24A VICTORIA PARK TOWARDS STEELES,203.39,0,24,601640,15092.59164,1,601664,14889.19974
SOUTH - 24B VICTORIA PARK TOWARDS VICTORIA PARK STATION VIA CONSUMERS RD,NORTH - 24B VICTORIA PARK TOWARDS DON MILLS STATION VIA CONSUMERS RD,358.84,0,24,601637,13024.12241,1,601653,12665.28324
SOUTH - 25 DON MILLS TOWARDS PAPE STATION,NORTH - 25 DON MILLS TOWARDS STEELES,420.03,0,25,601669,16652.08039,1,601673,17072.11172
SOUTH - 25 DON MILLS TOWARDS PAPE STATION,NORTH - 25 DON MILLS TOWARDS STEELES,6695.32,0,25,601670,10376.78903,1,601673,17072.11172
EAST - 26 DUPONT TOWARDS ST GEORGE STATION,WEST - 26 DUPONT TOWARDS JANE STATION,257.92,0,26,601680,9727.951255,1,601681,9470.034806
EAST - 28 BAYVIEW SOUTH TOWARDS BRICK WORKS,WEST - 28 BAYVIEW SOUTH TOWARDS DAVISVILLE STATION,327.50,0,28,601682,4930.383201,1,601683,5257.879444
SOUTH - 29A DUFFERIN TOWARDS EXHIBITION  (DUFFERIN GATE),NORTH - 29B DUFFERIN TOWARDS TYCOS DR,135.14,0,29,601685,9017.764236,1,601695,8882.619746
SOUTH - 29C DUFFERIN TOWARDS EXHIBITION (PRINCES' GATES),NORTH - 29B DUFFERIN TOWARDS TYCOS DR,135.14,0,29,601693,9017.764236,1,601695,8882.619746
SOUTH - 29D DUFFERIN TOWARDS DUFFERIN STATION,NORTH - 29A DUFFERIN TOWARDS WILSON STATION,145.59,0,29,601690,9533.801176,1,601699,9388.215671
SOUTH - 29A DUFFERIN TOWARDS EXHIBITION  (DUFFERIN GATE),NORTH - 29A DUFFERIN TOWARDS WILSON STATION,247.00,0,29,601687,12313.12925,1,601694,12066.13102
SOUTH - 29A DUFFERIN TOWARDS EXHIBITION  (DUFFERIN GATE),NORTH - 29A DUFFERIN TOWARDS WILSON STATION,247.00,0,29,601684,12313.12925,1,601696,12066.13102
