route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
47526,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
47527,1,10,VAN HORNE,,3,,804000,FFFFFF
47528,1,100,FLEMINGDON PARK,,3,,FF00FF,FFFFFF
47529,1,101,DOWNSVIEW PARK,,3,,00FF00,FFFFFF
47530,1,102,MARKHAM RD,,3,,00FF00,FFFFFF
47531,1,103,MT PLEASANT NORTH,,3,,008000,FFFFFF
47532,1,104,FAYWOOD,,3,,800080,FFFFFF
47533,1,105,DUFFERIN NORTH,,3,,804000,FFFFFF
47534,1,106,YORK UNIVERSITY,,3,,00FFFF,FFFFFF
47535,1,107,KEELE NORTH,,3,,FF00FF,FFFFFF
47536,1,108,DOWNSVIEW,,3,,800080,FFFFFF
47537,1,109,RANEE,,3,,008000,FFFFFF
47538,1,11,BAYVIEW,,3,,FF0000,FFFFFF
47539,1,110,ISLINGTON SOUTH,,3,,804000,FFFFFF
47540,1,111,EAST MALL,,3,,804000,FFFFFF
47541,1,112,WEST MALL,,3,,800080,FFFFFF
47542,1,113,DANFORTH,,3,,808000,FFFFFF
47543,1,115,SILVER HILLS,,3,,008000,FFFFFF
47544,1,116,MORNINGSIDE,,3,,804000,FFFFFF
47545,1,117,ALNESS,,3,,008000,FFFFFF
47546,1,118,THISTLE DOWN,,3,,800080,FFFFFF
47547,1,119,TORBARRIE,,3,,800080,FFFFFF
47548,1,12,KINGSTON RD,,3,,008000,FFFFFF
47549,1,120,CALVINGTON,,3,,FF00FF,FFFFFF
47550,1,121,FORT YORK - ESPLANADE,,3,,FF00FF,FFFFFF
47551,1,122,GRAYDON HALL,,3,,FF00FF,FFFFFF
47552,1,123,SHORNCLIFFE,,3,,008000,FFFFFF
47553,1,124,SUNNYBROOK,,3,,00FFFF,FFFFFF
47554,1,125,DREWRY,,3,,804000,FFFFFF
47555,1,126,CHRISTIE,,3,,000080,FFFFFF
47556,1,127,DAVENPORT,,3,,00FFFF,FFFFFF
47557,1,129,McCOWAN NORTH,,3,,00FF00,FFFFFF
47558,1,130,MIDDLEFIELD,,3,,808000,FFFFFF
47559,1,131,NUGGET,,3,,800080,FFFFFF
47560,1,132,MILNER,,3,,00FFFF,FFFFFF
47561,1,133,NEILSON,,3,,804000,FFFFFF
47562,1,134,PROGRESS,,3,,808000,FFFFFF
47563,1,135,GERRARD,,3,,00FFFF,FFFFFF
47564,1,14,GLENCAIRN,,3,,00FFFF,FFFFFF
47565,1,141,DOWNTOWN/MT PLEASANT EXPRESS,,3,,FF8000,FFFFFF
47566,1,142,DOWNTOWN/AVENUE RD EXPRESS,,3,,00FF00,FFFFFF
47567,1,143,DOWNTOWN/BEACH EXPRESS,,3,,FF00FF,FFFFFF
47568,1,144,DOWNTOWN/DON VALLEY EXPRESS,,3,,804000,FFFFFF
47569,1,145,DOWNTOWN/HUMBER BAY EXPRESS,,3,,008080,FFFFFF
47570,1,15,EVANS,,3,,808000,FFFFFF
47571,1,16,McCOWAN,,3,,FF00FF,FFFFFF
47572,1,160,BATHURST NORTH,,3,,008000,FFFFFF
47573,1,161,ROGERS RD,,3,,808000,FFFFFF
47574,1,162,LAWRENCE - DONWAY,,3,,804000,FFFFFF
47575,1,165,WESTON RD NORTH,,3,,00FFFF,FFFFFF
47576,1,167,PHARMACY NORTH,,3,,000080,FFFFFF
47577,1,168,SYMINGTON,,3,,008000,FFFFFF
47578,1,169,HUNTINGWOOD,,3,,FF8000,FFFFFF
47579,1,17,BIRCHMOUNT,,3,,808000,FFFFFF
47580,1,171,MOUNT DENNIS,,3,,FF8000,FFFFFF
47581,1,172,CHERRY STREET,,3,,008000,FFFFFF
47582,1,185,DON MILLS ROCKET,,3,,008000,FFFFFF
47583,1,186,WILSON ROCKET,,3,,800080,FFFFFF
47584,1,188,KIPLING SOUTH ROCKET,,3,,008080,FFFFFF
47585,1,190,SCARBOROUGH CENTRE ROCKET,,3,,800080,FFFFFF
47586,1,191,HIGHWAY 27 ROCKET,,3,,00FFFF,FFFFFF
47587,1,192,AIRPORT ROCKET,,3,,FF0000,FFFFFF
47588,1,193,EXHIBITION ROCKET,,3,,400000,FFFFFF
47589,1,195,JANE ROCKET,,3,,FF0000,FFFFFF
47590,1,196,YORK UNIVERSITY ROCKET,,3,,0000FF,FFFFFF
47591,1,198,U OF T SCARBOROUGH ROCKET,,3,,800000,FFFFFF
47592,1,199,FINCH ROCKET,,3,,FF8000,FFFFFF
47593,1,1S,YONGE SUBWAY SHUTTLE,,3,,D5C82B,000000
47594,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
47595,1,20,CLIFFSIDE,,3,,FF8000,FFFFFF
47596,1,21,BRIMLEY,,3,,808000,FFFFFF
47597,1,22,COXWELL,,3,,804000,FFFFFF
47598,1,224,VICTORIA PARK NORTH,,3,,00FF00,FFFFFF
47599,1,23,DAWES,,3,,FF00FF,FFFFFF
47600,1,24,VICTORIA PARK,,3,,00FF00,FFFFFF
47601,1,25,DON MILLS,,3,,808000,FFFFFF
47602,1,26,DUPONT,,3,,00FF00,FFFFFF
47603,1,28,DAVISVILLE,,3,,008000,FFFFFF
47604,1,29,DUFFERIN,,3,,FF0000,FFFFFF
47605,1,2S,LINE 2 SHUTTLE,,3,,C0C0C0,000000
47606,1,3,LINE 3 (SCARBOROUGH),,1,,108BEF,FFFFFF
47607,1,30,LAMBTON,,3,,0000FF,FFFFFF
47608,1,300,BLOOR - DANFORTH,,3,,0000FF,FFFFFF
47609,1,301,QUEEN N.C.,,0,,0000FF,FFFFFF
47610,1,302,DANFORTH RD - McCOWAN,,3,,0000FF,FFFFFF
47611,1,304,KING,,0,,0000FF,FFFFFF
47612,1,306,CARLTON,,0,,0000FF,FFFFFF
47613,1,307,BATHURST,,3,,0000FF,FFFFFF
47614,1,31,GREENWOOD,,3,,804000,FFFFFF
47615,1,312,ST CLAIR-JUNCTION NIGHT BUS,,3,,0000FF,FFFFFF
47616,1,315,EVANS - BROWN'S LINE,,3,,0000FF,FFFFFF
47617,1,317,SPADINA N.C.,,0,,0000FF,FFFFFF
47618,1,32,EGLINTON WEST,,3,,0000FF,FFFFFF
