route_id,agency_id,route_short_name,route_long_name,route_type
1,1,1,LINE 1 (YONGE-UNIVERSITY),1
10,1,10,VAN HORNE,3
100,1,100,FLEMINGDON PARK,3
101,1,101,DOWNSVIEW PARK,3
102,1,102,MARKHAM RD,3
104,1,104,FAYWOOD,3
105,1,105,DUFFERIN NORTH,3
106,1,106,YORK UNIVERSITY,3
107,1,107,KEELE NORTH,3
108,1,108,DOWNSVIEW,3
109,1,109,RANEE,3
11,1,11,BAYVIEW,3
110,1,110,ISLINGTON SOUTH,3
111,1,111,EAST MALL,3
112,1,112,WEST MALL,3
113,1,113,DANFORTH,3
115,1,115,SILVER HILLS,3
116,1,116,MORNINGSIDE,3
117,1,117,ALNESS,3
118,1,118,THISTLE DOWN,3
119,1,119,TORBARRIE,3
12,1,12,KINGSTON RD,3
120,1,120,CALVINGTON,3
121,1,121,FORT YORK - ESPLANADE,3
122,1,122,GRAYDON HALL,3
123,1,123,SHORNCLIFFE,3
124,1,124,SUNNYBROOK,3
125,1,125,DREWRY,3
126,1,126,CHRISTIE,3
127,1,127,DAVENPORT,3
129,1,129,McCOWAN NORTH,3
130,1,130,MIDDLEFIELD,3
131,1,131,NUGGET,3
9131,1,9131,NUGGET ROCKET,3
132,1,132,MILNER,3
133,1,133,NEILSON,3
134,1,134,PROGRESS,3
135,1,135,GERRARD,3
14,1,14,GLENCAIRN,3
141,1,141,DOWNTOWN/MT PLEASANT EXPRESS,3
142,1,142,DOWNTOWN/AVENUE RD EXPRESS,3
143,1,143,DOWNTOWN/BEACH EXPRESS,3
144,1,144,DOWNTOWN/DON VALLEY EXPRESS,3
145,1,145,DOWNTOWN/HUMBER BAY EXPRESS,3
15,1,15,EVANS,3
16,1,16,McCOWAN,3
160,1,160,BATHURST NORTH,3
161,1,161,ROGERS RD,3
162,1,162,LAWRENCE - DONWAY,3
165,1,165,WESTON RD NORTH,3
167,1,167,PHARMACY NORTH,3
168,1,168,SYMINGTON,3
169,1,169,HUNTINGWOOD,3
17,1,17,BIRCHMOUNT,3
171,1,171,MOUNT DENNIS,3
185,1,185,DON MILLS ROCKET,3
186,1,186,WILSON ROCKET,3
