INT_ID,int_lon,int_lat
102,-79.379616,43.652738
228,-79.263884,43.732248
204,-79.495092,43.650148
160,-79.436091,43.699148
213,-79.411189,43.666448
162,-79.444191,43.716347
156,-79.398089,43.668848
302,-79.276507,43.766714
210,-79.435477,43.660199
107,-79.388788,43.676748
108,-79.391176,43.682634
226,-79.288985,43.694448
103,-79.381225,43.656517
216,-79.376161,43.672103
111,-79.398648,43.705227
305,-79.251654,43.774882
202,-79.510993,43.648348
219,-79.352497,43.678239
220,-79.344787,43.680148
114,-79.411691,43.761647
404,-79.346589,43.775547
154,-79.39069,43.659834
203,-79.483892,43.650148
221,-79.337786,43.681048
225,-79.301585,43.688948
402,-79.376311,43.769201
214,-79.403889,43.667249
101,-79.378109,43.649061
218,-79.358387,43.676948
207,-79.459891,43.655248
201,-79.524192,43.645147
113,-79.40649,43.744847
165,-79.462781,43.750204
152,-79.386959,43.651122
104,-79.383103,43.660789
403,-79.367789,43.770847
116,-79.415291,43.780847
112,-79.40269,43.725948
211,-79.42629,43.662448
151,-79.385004,43.647605
206,-79.466748,43.654003
205,-79.475991,43.652048
115,-79.412755,43.767867
159,-79.41589,43.684048
215,-79.391129,43.669946
106,-79.385918,43.671043
209,-79.442463,43.659246
222,-79.330286,43.682648
223,-79.322786,43.684148
401,-79.386703,43.766871
110,-79.396989,43.697748
164,-79.450792,43.734547
105,-79.383388,43.665348
212,-79.418395,43.664275
109,-79.392589,43.687748
217,-79.368988,43.673748
224,-79.312686,43.686548
208,-79.452723,43.657023
13465703,-79.434313454,43.6571226
13454197,-79.482069737,43.726642385
14606950,-79.221072211,43.819698288
13447211,-79.186225546,43.768408999
13462698,-79.4957082,43.676201328
13454806,-79.558922173,43.72311204
13459820,-79.296771644,43.689305049
13444687,-79.183257088,43.787851884
13454867,-79.240363427,43.718226344
13450997,-79.218913538,43.743182014
13444869,-79.188310594,43.78657849
13451513,-79.232053988,43.740260716
13455179,-79.261334057,43.716525807
13448868,-79.235267231,43.757721789
13452476,-79.25810431,43.734530683
13442521,-79.170811425,43.808376217
13452119,-79.248084587,43.736696453
13449204,-79.245422779,43.755548525
13446514,-79.241759809,43.774334937
13446212,-79.231756836,43.776436249
13464719,-79.376716938,43.662418858
13443509,-79.217665862,43.798122393
13459028,-79.262333902,43.69304667
13456762,-79.268130023,43.706998942
13452053,-79.246164069,43.737097293
13449501,-79.255367207,43.753526949
13460017,-79.270918124,43.687759014
13446827,-79.251498432,43.772142024
13449830,-79.265052497,43.751521702
13453221,-79.277859535,43.729962108
13443955,-79.234931562,43.794662194
13462163,-79.539014642,43.67983519
13445175,-79.256475693,43.785381536
13450484,-79.284836745,43.74751869
13458963,-79.277290756,43.693646835
13458308,-79.274835777,43.697177449
13461728,-79.298023939,43.678885382
13444901,-79.268312034,43.787578239
14074105,-79.291464067,43.726996283
13442174,-79.237137058,43.814217802
13453588,-79.287616161,43.727846986
13447843,-79.281078252,43.76580202
13463494,-79.305775296,43.668757076
13450818,-79.294730397,43.745376512
13447496,-79.271110442,43.767924951
13461342,-79.284060442,43.680811436
13463787,-79.31259357,43.66724465
13460223,-79.286576583,43.686904951
13459445,-79.288358609,43.691232336
13462643,-79.307926627,43.673928506
13445476,-79.288263729,43.783286859
13444619,-79.25883875,43.789620159
13448199,-79.291362823,43.763427113
13448838,-79.310188901,43.759031293
13448519,-79.300751924,43.761193442
13454107,-79.302645014,43.724723021
13453978,-79.297515057,43.725651096
13443810,-79.261514068,43.796124386
13445219,-79.278570092,43.785348047
13441620,-79.251189148,43.836598984
13442502,-79.257699172,43.809888126
13461602,-79.312648642,43.679828171
13454288,-79.302100282,43.723380976
13459010,-79.328018297,43.694136535
13463183,-79.328022357,43.670923069
