INT_ID,int_lon,int_lat,stop_id,stop_code,stop_lon,stop_lat,stop_name
110,-79.396989,43.697748,14410.0,13798,-79.396989,43.697748,DAVISVILLE STATION - SOUTHBOUND PLATFORM
205,-79.475991,43.652048,14473.0,13776,-79.475991,43.652048,RUNNYMEDE STATION - EASTBOUND PLATFORM
205,-79.475991,43.652048,14524.0,13775,-79.475991,43.652048,RUNNYMEDE STATION - WESTBOUND PLATFORM
214,-79.403889,43.667249,14515.0,13851,-79.403889,43.667249,SPADINA STATION - WESTBOUND PLATFORM
208,-79.452723,43.657023,14521.0,13770,-79.452723,43.657023,DUNDAS WEST STATION - WESTBOUND PLATFORM
110,-79.396989,43.697748,14461.0,13797,-79.396989,43.697748,DAVISVILLE STATION - NORTHBOUND PLATFORM
115,-79.412755,43.767867,14405.0,13789,-79.412755,43.767867,NORTH YORK CENTRE STATION - SOUTHBOUND PLATFORM
209,-79.442463,43.659246,14520.0,13767,-79.442463,43.659246,LANSDOWNE STATION - WESTBOUND PLATFORM
214,-79.403889,43.667249,14482.0,13852,-79.403889,43.667249,SPADINA STATION - EASTBOUND PLATFORM
222,-79.330286,43.682648,14492.0,13742,-79.330286,43.682648,GREENWOOD STATION - EASTBOUND PLATFORM
222,-79.330286,43.682648,14505.0,13741,-79.330286,43.682648,GREENWOOD STATION - WESTBOUND PLATFORM
109,-79.392589,43.687748,14411.0,13799,-79.392589,43.687748,ST CLAIR STATION - SOUTHBOUND PLATFORM
109,-79.392589,43.687748,14460.0,13800,-79.392589,43.687748,ST CLAIR STATION - NORTHBOUND PLATFORM
103,-79.381225,43.656517,14454.0,13809,-79.381225,43.656517,DUNDAS STATION - NORTHBOUND PLATFORM
103,-79.381225,43.656517,14417.0,13810,-79.381225,43.656517,DUNDAS STATION - SOUTHBOUND PLATFORM
115,-79.412755,43.767867,14466.0,13790,-79.412755,43.767867,NORTH YORK CENTRE STATION - NORTHBOUND PLATFORM
401,-79.386703,43.766871,14531.0,13844,-79.386703,43.766871,BAYVIEW STATION - EASTBOUND PLATFORM
209,-79.442463,43.659246,14477.0,13768,-79.442463,43.659246,LANSDOWNE STATION - EASTBOUND PLATFORM
207,-79.459891,43.655248,14475.0,13772,-79.459891,43.655248,KEELE STATION - EASTBOUND PLATFORM
113,-79.40649,43.744847,14407.0,13792,-79.40649,43.744847,YORK MILLS STATION - SOUTHBOUND PLATFORM
402,-79.376311,43.769201,14537.0,13846,-79.376311,43.769201,BESSARION STATION - WESTBOUND PLATFORM
113,-79.40649,43.744847,14464.0,13791,-79.40649,43.744847,YORK MILLS STATION - NORTHBOUND PLATFORM
162,-79.444191,43.716347,14432.0,13836,-79.444191,43.716347,LAWRENCE WEST STATION - NORTHBOUND PLATFORM
162,-79.444191,43.716347,14439.0,13835,-79.444191,43.716347,LAWRENCE WEST STATION - SOUTHBOUND PLATFORM
228,-79.263884,43.732248,14498.0,14947,-79.263884,43.732248,KENNEDY STATION - SUBWAY PLATFORM
158,-79.407119,43.674303,14443.0,13827,-79.407119,43.674303,DUPONT STATION - SOUTHBOUND PLATFORM
228,-79.263884,43.732248,14499.0,13865,-79.263884,43.732248,KENNEDY STATION - WESTBOUND PLATFORM
228,-79.263884,43.732248,14546.0,14946,-79.263884,43.732248,KENNEDY STATION - PLATFORM
228,-79.263884,43.732248,14547.0,14112,-79.263884,43.732248,KENNEDY STATION - NORTHBOUND PLATFORM
202,-79.510993,43.648348,14470.0,13781,-79.510993,43.648348,ROYAL YORK STATION - EASTBOUND PLATFORM
202,-79.510993,43.648348,14527.0,13782,-79.510993,43.648348,ROYAL YORK STATION - WESTBOUND PLATFORM
207,-79.459891,43.655248,14522.0,13771,-79.459891,43.655248,KEELE STATION - WESTBOUND PLATFORM
158,-79.407119,43.674303,14428.0,13828,-79.407119,43.674303,DUPONT STATION - NORTHBOUND PLATFORM
402,-79.376311,43.769201,14532.0,13845,-79.376311,43.769201,BESSARION STATION - EASTBOUND PLATFORM
164,-79.450792,43.734547,14437.0,13839,-79.450792,43.734547,WILSON STATION - SOUTHBOUND PLATFORM
401,-79.386703,43.766871,14538.0,13843,-79.386703,43.766871,BAYVIEW STATION - WESTBOUND PLATFORM
206,-79.466748,43.654003,14523.0,13774,-79.466748,43.654003,HIGH PARK STATION - WESTBOUND PLATFORM
114,-79.411691,43.761647,14406.0,13860,-79.411691,43.761647,SHEPPARD-YONGE STATION - SOUTHBOUND PLATFORM
108,-79.391176,43.682634,14459.0,13801,-79.391176,43.682634,SUMMERHILL STATION - NORTHBOUND PLATFORM
108,-79.391176,43.682634,14412.0,13802,-79.391176,43.682634,SUMMERHILL STATION - SOUTHBOUND PLATFORM
114,-79.411691,43.761647,14465.0,13859,-79.411691,43.761647,SHEPPARD-YONGE STATION - NORTHBOUND PLATFORM
114,-79.411691,43.761647,14530.0,13862,-79.411691,43.761647,SHEPPARD-YONGE STATION - EASTBOUND PLATFORM
227,-79.279585,43.711648,14500.0,13731,-79.279585,43.711648,WARDEN STATION - WESTBOUND PLATFORM
105,-79.383388,43.665348,14415.0,13806,-79.383388,43.665348,WELLESLEY STATION - SOUTHBOUND PLATFORM
227,-79.279585,43.711648,14497.0,13732,-79.279585,43.711648,WARDEN STATION - EASTBOUND PLATFORM
161,-79.440796,43.708582,14431.0,13833,-79.440796,43.708582,GLENCAIRN STATION - NORTHBOUND PLATFORM
161,-79.440796,43.708582,14440.0,13834,-79.440796,43.708582,GLENCAIRN STATION - SOUTHBOUND PLATFORM
215,-79.391129,43.669946,14484.0,13757,-79.391129,43.669946,BAY STATION - EASTBOUND PLATFORM
215,-79.391129,43.669946,14513.0,13758,-79.391129,43.669946,BAY STATION - WESTBOUND PLATFORM
200,-79.535993,43.637148,14468.0,13785,-79.535993,43.637148,KIPLING STATION - EASTBOUND PLATFORM
200,-79.535993,43.637148,14529.0,14948,-79.535993,43.637148,KIPLING STATION - SUBWAY PLATFORM
114,-79.411691,43.761647,14539.0,13861,-79.411691,43.761647,SHEPPARD-YONGE STATION - SUBWAY PLATFORM
206,-79.466748,43.654003,14474.0,13773,-79.466748,43.654003,HIGH PARK STATION - EASTBOUND PLATFORM
105,-79.383388,43.665348,14456.0,13805,-79.383388,43.665348,WELLESLEY STATION - NORTHBOUND PLATFORM
221,-79.337786,43.681048,14491.0,13743,-79.337786,43.681048,DONLANDS STATION - EASTBOUND PLATFORM
112,-79.40269,43.725948,14463.0,13794,-79.40269,43.725948,LAWRENCE STATION - NORTHBOUND PLATFORM
213,-79.411189,43.666448,14481.0,13760,-79.411189,43.666448,BATHURST STATION - EASTBOUND PLATFORM
112,-79.40269,43.725948,14408.0,13793,-79.40269,43.725948,LAWRENCE STATION - SOUTHBOUND PLATFORM
210,-79.435477,43.660199,14519.0,13766,-79.435477,43.660199,DUFFERIN STATION - WESTBOUND PLATFORM
213,-79.411189,43.666448,14516.0,13759,-79.411189,43.666448,BATHURST STATION - WESTBOUND PLATFORM
107,-79.388788,43.676748,14413.0,13803,-79.388788,43.676748,ROSEDALE STATION - SOUTHBOUND PLATFORM
