INT_ID,int_lon,int_lat
102,-79.379616,43.652738
228,-79.263884,43.732248
204,-79.495092,43.650148
160,-79.436091,43.699148
200,-79.535993,43.637148
213,-79.411189,43.666448
153,-79.388225,43.654618
162,-79.444191,43.716347
156,-79.398089,43.668848
302,-79.276507,43.766714
210,-79.435477,43.660199
107,-79.388788,43.676748
108,-79.391176,43.682634
226,-79.288985,43.694448
303,-79.272179,43.7704
103,-79.381225,43.656517
216,-79.376161,43.672103
111,-79.398648,43.705227
158,-79.407119,43.674303
305,-79.251654,43.774882
163,-79.447693,43.724595
227,-79.279585,43.711648
202,-79.510993,43.648348
219,-79.352497,43.678239
220,-79.344787,43.680148
114,-79.411691,43.761647
404,-79.346589,43.775547
155,-79.393467,43.666621
154,-79.39069,43.659834
203,-79.483892,43.650148
221,-79.337786,43.681048
157,-79.405189,43.670249
225,-79.301585,43.688948
402,-79.376311,43.769201
214,-79.403889,43.667249
101,-79.378109,43.649061
218,-79.358387,43.676948
207,-79.459891,43.655248
161,-79.440796,43.708582
201,-79.524192,43.645147
113,-79.40649,43.744847
165,-79.462781,43.750204
152,-79.386959,43.651122
104,-79.383103,43.660789
403,-79.367789,43.770847
116,-79.415291,43.780847
112,-79.40269,43.725948
211,-79.42629,43.662448
151,-79.385004,43.647605
206,-79.466748,43.654003
205,-79.475991,43.652048
115,-79.412755,43.767867
159,-79.41589,43.684048
215,-79.391129,43.669946
106,-79.385918,43.671043
301,-79.270436,43.750475
209,-79.442463,43.659246
222,-79.330286,43.682648
223,-79.322786,43.684148
401,-79.386703,43.766871
110,-79.396989,43.697748
164,-79.450792,43.734547
304,-79.257285,43.774648
105,-79.383388,43.665348
212,-79.418395,43.664275
109,-79.392589,43.687748
217,-79.368988,43.673748
224,-79.312686,43.686548
208,-79.452723,43.657023
13465703,-79.434313454,43.6571226
13454197,-79.482069737,43.726642385
13454827,-79.29492452,43.719317857
14606950,-79.221072211,43.819698288
13447211,-79.186225546,43.768408999
13462698,-79.4957082,43.676201328
13467923,-79.374709353,43.641928695
13454806,-79.558922173,43.72311204
14232506,-79.297422945,43.684535053
13444973,-79.16069085,43.785301127
13459820,-79.296771644,43.689305049
13444084,-79.163565701,43.792487146
13454337,-79.236019123,43.72203282
13444687,-79.183257088,43.787851884
13454867,-79.240363427,43.718226344
13450997,-79.218913538,43.743182014
13444869,-79.188310594,43.78657849
13451513,-79.232053988,43.740260716
13455179,-79.261334057,43.716525807
13448868,-79.235267231,43.757721789
13452476,-79.25810431,43.734530683
13442514,-79.2027244,43.808934294
13442521,-79.170811425,43.808376217
13457893,-79.265192487,43.699929187
13452119,-79.248084587,43.736696453
13449204,-79.245422779,43.755548525
13446514,-79.241759809,43.774334937
13446212,-79.231756836,43.776436249
13464719,-79.376716938,43.662418858
13445760,-79.243842843,43.780154285
13442606,-79.215595839,43.807799751
13443509,-79.217665862,43.798122393
13462168,-79.384890021,43.677744968
13459028,-79.262333902,43.69304667
13456762,-79.268130023,43.706998942
13452053,-79.246164069,43.737097293
13449501,-79.255367207,43.753526949
13455585,-79.27111724,43.714158194
13460017,-79.270918124,43.687759014
13441963,-79.215076388,43.818768167
13446827,-79.251498432,43.772142024
13445553,-79.23389047,43.781746655
13449830,-79.265052497,43.751521702
13444590,-79.237058519,43.789554466
13453221,-79.277859535,43.729962108
13443955,-79.234931562,43.794662194
13442839,-79.226687592,43.805182688
13462163,-79.539014642,43.67983519
13451185,-79.632460652,43.747759822
13455284,-79.28276667,43.716181333
13445175,-79.256475693,43.785381536
13450484,-79.284836745,43.74751869
13458963,-79.277290756,43.693646835
13458308,-79.274835777,43.697177449
13456330,-79.290930923,43.709851364
13441850,-79.206202905,43.821053255
