new_trip_id,trip_id
1,31706236
2,31706237
3,31706238
4,31706239
5,31706240
6,31706235
7,31706241
8,31706242
9,31706243
10,31706244
11,31706245
12,31706246
13,31706247
14,31706248
15,31706249
16,31706250
17,31706253
18,31706252
19,31706251
20,31706254
21,31706255
22,31706256
23,31706257
24,31706258
25,31706259
26,31706260
27,31706261
28,31706262
29,31706263
30,31706264
31,31706265
32,31706266
33,31706267
34,31706268
35,31706269
36,31706270
37,31706271
38,31706272
39,31706273
40,31706274
41,31706275
42,31706276
43,31706277
44,31706278
45,31706279
46,31706280
47,31706281
48,31706282
49,31706283
50,31706284
51,31706285
52,31706286
53,31706287
54,31706288
55,31706289
56,31706290
57,31706291
58,31706292
59,31706293
60,31706294
61,31706295
62,31706296
63,31706297
64,31706298
65,31706299
66,31706300
67,31706301
68,31706302
69,31706303
70,31706304
71,31706305
72,31706225
73,31706226
74,31706227
75,31706228
76,31706229
77,31706230
78,31706231
79,31706309
80,31706417
81,31706310
82,31706311
83,31706418
84,31706313
85,31706312
86,31706314
87,31706315
88,31706316
89,31706317
90,31706318
91,31706319
92,31706320
93,31706321
94,31706322
95,31706323
96,31706324
97,31706325
98,31706326
99,31706327
100,31706328
101,31706329
102,31706330
103,31706331
104,31706332
105,31706333
106,31706334
107,31706335
108,31706336
109,31706337
110,31706338
111,31706339
112,31706340
113,31706341
114,31706342
115,31706343
116,31706344
117,31706345
118,31706346
119,31706347
120,31706348
121,31706349
122,31706350
123,31706351
124,31706352
125,31706353
126,31706354
127,31706355
128,31706356
129,31706357
130,31706358
131,31706359
132,31706360
133,31706361
134,31706362
135,31706363
136,31706364
137,31706365
138,31706366
139,31706367
140,31706368
141,31706369
142,31706370
143,31706371
144,31706372
145,31706373
146,31706374
147,31706375
148,31706376
149,31706377
150,31706378
151,31706379
152,31706380
153,31706381
154,31706382
155,31706383
156,31706384
157,31706385
158,31706386
159,31706387
160,31706388
161,31706389
162,31706390
163,31706391
164,31706392
165,31706393
166,31706394
167,31706395
168,31706396
169,31706397
170,31706398
171,31706399
172,31706400
173,31706401
174,31706402
175,31706403
176,31706404
177,31706405
178,31706406
179,31706407
180,31706408
181,31706409
182,31706410
183,31706411
184,31706412
185,31706413
186,31706414
187,31706415
188,31706416
189,31706472
190,31706473
191,31706474
192,31706475
193,31706490
194,31706476
195,31706477
196,31706489
197,31706478
198,31706479
199,31706488
200,31706480
201,31706481
202,31706487
203,31706482
204,31706483
205,31706486
206,31706484
207,31706419
208,31706485
209,31706420
210,31706421
211,31706422
212,31706423
213,31706424
214,31706425
215,31706426
216,31706427
217,31706428
218,31706429
219,31706430
220,31706431
221,31706432
222,31706433
223,31706434
224,31706435
225,31706436
226,31706437
227,31706438
228,31706439
229,31706440
230,31706441
231,31706442
232,31706443
233,31706444
234,31706445
235,31706446
236,31706447
237,31706448
238,31706449
239,31706450
240,31706451
241,31706452
242,31706453
243,31706454
244,31706455
245,31706456
246,31706457
247,31706458
248,31706459
249,31706460
250,31706461
251,31706462
252,31706463
253,31706464
254,31706465
255,31706466
256,31706467
257,31706468
258,31706469
259,31706470
260,31706471
261,31706495
262,31706494
263,31706493
264,31706496
265,31706492
266,31706491
267,31706598
268,31706597
269,31706596
270,31706595
271,31706594
272,31706593
273,31706592
274,31706591
275,31706590
276,31706589
277,31706588
278,31706587
279,31706586
280,31706585
281,31706584
282,31706583
283,31706582
284,31706581
285,31706580
286,31706579
287,31706578
288,31706577
289,31706576
290,31706575
291,31706574
292,31706573
293,31706599
294,31706600
295,31706601
296,31706602
297,31706603
298,31706604
299,31706605
300,31706606
301,31706607
302,31706608
303,31706609
304,31706610
305,31706611
306,31706497
307,31706498
308,31706499
309,31706500
310,31706501
311,31706502
312,31706503
313,31706504
314,31706505
315,31706506
316,31706507
317,31706508
318,31706509
319,31706510
320,31706511
321,31706512
322,31706513
323,31706514
324,31706515
325,31706516
326,31706517
327,31706518
328,31706519
329,31706520
330,31706521
331,31706522
332,31706523
333,31706524
334,31706525
335,31706526
336,31706527
337,31706528
338,31706529
339,31706530
340,31706531
341,31706532
342,31706533
343,31706534
344,31706535
345,31706536
346,31706537
347,31706538
348,31706539
349,31706540
350,31706541
351,31706542
352,31706543
353,31706544
354,31706545
355,31706552
356,31706553
357,31706554
358,31706555
359,31706556
360,31706557
361,31706558
362,31706559
363,31706560
364,31706561
365,31706562
366,31706563
367,31706564
368,31706645
369,31706727
370,31706646
371,31706660
372,31706647
373,31706661
374,31706648
375,31706659
376,31706657
377,31706653
378,31706655
379,31706662
380,31706651
381,31706649
382,31706663
383,31706665
384,31706667
385,31706666
386,31706669
387,31706668
388,31706671
389,31706670
390,31706673
391,31706672
392,31706739
393,31706675
394,31706674
395,31706738
396,31706677
397,31706676
398,31706737
399,31706679
400,31706678
401,31706736
402,31706681
403,31706680
404,31706664
405,31706683
406,31706682
407,31706685
408,31706684
409,31706687
410,31706686
411,31706689
412,31706688
413,31706691
414,31706690
415,31706693
416,31706692
417,31706695
418,31706694
419,31706697
420,31706696
421,31706699
422,31706698
423,31706701
424,31706700
425,31706703
426,31706705
427,31706707
428,31706709
429,31706711
430,31706713
431,31706715
432,31706717
433,31706616
434,31706618
435,31706702
436,31706620
437,31706704
438,31706622
439,31706706
440,31706624
441,31706708
442,31706626
443,31706710
444,31706628
445,31706712
446,31706629
447,31706714
448,31706630
449,31706716
450,31706631
451,31706718
452,31706632
453,31706617
454,31706719
455,31706619
456,31706720
457,31706621
458,31706723
459,31706623
460,31706725
461,31706625
462,31706733
463,31706627
464,31706724
465,31706721
466,31706728
467,31706722
468,31706729
469,31706740
470,31706741
471,31706742
472,31706730
473,31706743
474,31706731
475,31706744
476,31706745
477,31706746
478,31706732
479,31706747
480,31706734
481,31706748
482,31706749
483,31706735
484,31706750
485,31706751
486,31706752
487,31706906
488,31706753
489,31706754
490,31706755
491,31706756
492,31706757
493,31706758
494,31706759
495,31706760
496,31706761
497,31706762
498,31706763
499,31706764
500,31706765
501,31706766
502,31706767
503,31706768
504,31706769
505,31706770
506,31706771
507,31706772
508,31706773
509,31706774
510,31706775
511,31706776
512,31706777
513,31706778
514,31706779
515,31706780
516,31706781
517,31706782
518,31706783
519,31706784
520,31706785
521,31706786
522,31706787
523,31706788
524,31706789
525,31706790
526,31706791
527,31706792
528,31706793
529,31706794
530,31706795
531,31706796
532,31706797
533,31706798
534,31706799
535,31706800
536,31706801
537,31706802
538,31706803
539,31706804
540,31706805
541,31706806
542,31706807
543,31706808
544,31706809
545,31706810
546,31706811
547,31706812
548,31706813
549,31706814
550,31706815
551,31706816
552,31706817
553,31706818
554,31706819
555,31706820
556,31706821
557,31706822
558,31706823
559,31706824
560,31706825
561,31706826
562,31706827
563,31706828
564,31706829
565,31706830
566,31706831
567,31706832
568,31706833
569,31706834
570,31706835
571,31706836
572,31706837
573,31706838
574,31706840
575,31706839
576,31706841
577,31706843
578,31706842
579,31706844
580,31706845
581,31706847
582,31706846
583,31706848
584,31706850
585,31706849
586,31706851
587,31706853
588,31706852
589,31706854
590,31706855
591,31706856
592,31706858
593,31706857
594,31706859
595,31706861
596,31706860
597,31706862
598,31706863
599,31706865
600,31706864
601,31706866
602,31706867
603,31706868
604,31706869
605,31706870
606,31706871
607,31706872
608,31706873
609,31706874
610,31706875
611,31706876
612,31706877
613,31706878
614,31706879
615,31706880
616,31706881
617,31706882
618,31706883
619,31706884
620,31706885
621,31706886
622,31706887
623,31706888
624,31706889
625,31706890
626,31706891
627,31706892
628,31706893
629,31706894
630,31706895
631,31706896
632,31706897
633,31706898
634,31706899
635,31706900
636,31706901
637,31706902
638,31706941
639,31706942
640,31706943
641,31706944
