date,period,incidents
2019-11-27,AM,25
2019-11-27,EM,26
2019-11-27,EV,7
2019-11-27,MD,43
2019-11-27,PM,19
2019-11-28,AM,25
2019-11-28,EM,45
2019-11-28,EV,21
2019-11-28,MD,23
2019-11-28,PM,30
2019-11-29,AM,45
2019-11-29,EM,31
2019-11-29,EV,20
2019-11-29,MD,22
2019-11-29,PM,22
2019-12-02,AM,74
2019-12-02,EM,60
2019-12-02,EV,12
2019-12-02,MD,27
2019-12-02,PM,19
2019-12-03,AM,26
2019-12-03,EM,23
2019-12-03,EV,16
2019-12-03,MD,24
2019-12-03,PM,16
2019-12-04,AM,23
2019-12-04,EM,28
2019-12-04,EV,12
2019-12-04,MD,21
2019-12-04,PM,24
2019-12-05,AM,19
2019-12-05,EM,32
2019-12-05,EV,7
2019-12-05,MD,16
2019-12-05,PM,26
2019-12-06,AM,49
2019-12-06,EM,30
2019-12-06,EV,24
2019-12-06,MD,23
2019-12-06,PM,33
2019-12-09,AM,27
2019-12-09,EM,41
2019-12-09,EV,10
2019-12-09,MD,23
2019-12-09,PM,29
2019-12-10,AM,25
2019-12-10,EM,48
2019-12-10,EV,7
2019-12-10,MD,17
2019-12-10,PM,18
2019-12-11,AM,17
2019-12-11,EM,45
2019-12-11,EV,22
2019-12-11,MD,20
2019-12-11,PM,43
2019-12-12,AM,49
2019-12-12,EM,29
2019-12-12,EV,20
2019-12-12,MD,15
2019-12-12,PM,32
2019-12-13,AM,23
2019-12-13,EM,32
2019-12-13,EV,27
2019-12-13,MD,25
2019-12-13,PM,38
2019-12-16,AM,29
2019-12-16,EM,32
2019-12-16,EV,18
2019-12-16,MD,22
2019-12-16,PM,36
2019-12-17,AM,25
2019-12-17,EM,34
2019-12-17,EV,19
2019-12-17,MD,36
2019-12-17,PM,34
2019-12-18,AM,27
2019-12-18,EM,28
2019-12-18,EV,20
2019-12-18,MD,14
2019-12-18,PM,30
2019-12-19,AM,24
2019-12-19,EM,26
2019-12-19,EV,13
2019-12-19,MD,30
2019-12-19,PM,31
2019-12-20,AM,37
2019-12-20,EM,47
2019-12-20,EV,19
2019-12-20,MD,23
2019-12-20,PM,26
2019-12-23,AM,12
2019-12-23,EM,19
2019-12-23,EV,5
2019-12-23,MD,40
2019-12-23,PM,23
2019-12-27,AM,19
2019-12-27,EM,17
2019-12-27,EV,10
2019-12-27,MD,47
2019-12-27,PM,22
2019-12-30,AM,40
2019-12-30,EM,30
2019-12-30,EV,12
2019-12-30,MD,14
2019-12-30,PM,13
2020-01-02,AM,10
2020-01-02,EM,15
2020-01-02,EV,2
2020-01-02,MD,15
2020-01-02,PM,21
2020-01-03,AM,27
2020-01-03,EM,24
2020-01-03,EV,13
2020-01-03,MD,13
2020-01-03,PM,16
