date,dow,hour,route,period
2019-11-27,2,6,501,EM
2019-11-27,2,6,512,EM
2019-11-27,2,7,501,AM
2019-11-27,2,7,508,AM
2019-11-27,2,7,504,AM
2019-11-27,2,8,505,AM
2019-11-27,2,8,510,AM
2019-11-27,2,8,501,AM
2019-11-27,2,9,501,AM
2019-11-27,2,11,501,MD
2019-11-27,2,9,506,AM
2019-11-27,2,12,501,MD
2019-11-27,2,13,501,MD
2019-11-27,2,17,501,PM
2019-11-27,2,18,501,PM
2019-11-27,2,19,501,PM
2019-11-27,2,20,501,EV
2019-11-27,2,21,501,EV
2019-11-27,2,22,501,EV
2019-11-27,2,18,510,PM
2019-11-27,2,18,511,PM
2019-11-27,2,20,505,EV
2019-11-27,2,22,506,EV
2019-11-28,3,4,501,EM
2019-11-28,3,6,510,EM
2019-11-28,3,6,504,EM
2019-11-28,3,7,510,AM
2019-11-28,3,9,504,AM
2019-11-28,3,11,504,MD
2019-11-28,3,12,506,MD
2019-11-28,3,18,504,PM
2019-11-28,3,18,509,PM
2019-11-28,3,19,512,PM
2019-11-28,3,19,505,PM
2019-11-28,3,22,504,EV
2019-11-29,4,6,505,EM
2019-11-29,4,7,509,AM
2019-11-29,4,7,504,AM
2019-11-29,4,8,501,AM
2019-11-29,4,8,504,AM
2019-11-29,4,11,505,MD
2019-11-29,4,11,504,MD
2019-11-29,4,12,504,MD
2019-11-29,4,12,506,MD
2019-11-29,4,12,505,MD
2019-11-29,4,12,501,MD
2019-11-29,4,13,504,MD
2019-11-29,4,17,506,PM
2019-11-29,4,17,504,PM
2019-11-29,4,17,511,PM
2019-11-29,4,18,510,PM
2019-11-29,4,19,505,PM
2019-11-29,4,21,501,EV
2019-11-29,4,21,506,EV
2019-11-29,4,22,506,EV
2019-12-02,0,4,501,EM
2019-12-02,0,4,512,EM
2019-12-02,0,5,512,EM
2019-12-02,0,4,304,EM
2019-12-02,0,5,304,EM
2019-12-02,0,5,501,EM
2019-12-02,0,5,506,EM
2019-12-02,0,6,506,EM
2019-12-02,0,6,511,EM
2019-12-02,0,6,504,EM
2019-12-02,0,7,504,AM
2019-12-02,0,7,505,AM
2019-12-02,0,8,504,AM
2019-12-02,0,7,501,AM
2019-12-02,0,8,501,AM
2019-12-02,0,9,504,AM
2019-12-02,0,8,505,AM
2019-12-02,0,11,511,MD
2019-12-02,0,11,501,MD
2019-12-02,0,17,505,PM
2019-12-02,0,18,501,PM
2019-12-02,0,20,506,EV
2019-12-02,0,21,504,EV
2019-12-02,0,22,504,EV
2019-12-03,1,4,512,EM
2019-12-03,1,4,510,EM
2019-12-03,1,4,511,EM
2019-12-03,1,5,512,EM
2019-12-03,1,6,512,EM
2019-12-03,1,6,509,EM
2019-12-03,1,6,504,EM
2019-12-03,1,6,501,EM
2019-12-03,1,6,510,EM
2019-12-03,1,7,506,AM
2019-12-03,1,7,501,AM
2019-12-03,1,8,506,AM
2019-12-03,1,8,512,AM
2019-12-03,1,8,505,AM
2019-12-03,1,9,505,AM
2019-12-03,1,11,512,MD
2019-12-03,1,17,504,PM
2019-12-03,1,17,505,PM
2019-12-03,1,22,501,EV
2019-12-03,1,22,505,EV
2019-12-04,2,4,2,EM
2019-12-04,2,5,511,EM
2019-12-04,2,6,501,EM
2019-12-04,2,6,506,EM
2019-12-04,2,6,510,EM
2019-12-04,2,7,503,AM
2019-12-04,2,7,510,AM
2019-12-04,2,7,501,AM
2019-12-04,2,8,501,AM
2019-12-04,2,8,504,AM
2019-12-04,2,8,505,AM
2019-12-04,2,9,505,AM
2019-12-04,2,11,506,MD
2019-12-04,2,11,501,MD
2019-12-04,2,12,501,MD
2019-12-04,2,12,512,MD
2019-12-04,2,13,506,MD
2019-12-04,2,13,505,MD
2019-12-04,2,13,512,MD
2019-12-04,2,13,509,MD
2019-12-04,2,17,509,PM
2019-12-04,2,18,506,PM
2019-12-04,2,20,504,EV
2019-12-04,2,20,512,EV
2019-12-04,2,21,512,EV
2019-12-04,2,21,504,EV
2019-12-04,2,22,504,EV
2019-12-05,3,4,304,EM
2019-12-05,3,5,304,EM
2019-12-05,3,4,511,EM
2019-12-05,3,7,510,AM
2019-12-05,3,8,501,AM
2019-12-05,3,8,510,AM
2019-12-05,3,9,505,AM
2019-12-05,3,9,504,AM
2019-12-05,3,11,506,MD
2019-12-05,3,13,505,MD
2019-12-05,3,17,508,PM
2019-12-05,3,17,506,PM
2019-12-05,3,18,504,PM
2019-12-05,3,19,512,PM
2019-12-05,3,19,505,PM
2019-12-05,3,19,501,PM
2019-12-05,3,20,501,EV
2019-12-06,4,4,306,EM
2019-12-06,4,5,306,EM
2019-12-06,4,6,306,EM
2019-12-06,4,4,304,EM
2019-12-06,4,5,304,EM
2019-12-06,4,5,509,EM
2019-12-06,4,5,501,EM
2019-12-06,4,6,505,EM
2019-12-06,4,6,512,EM
2019-12-06,4,6,504,EM
2019-12-06,4,6,506,EM
2019-12-06,4,7,506,AM
2019-12-06,4,7,511,AM
