date,period,incidents
2019-11-27,AM,8
2019-11-27,EM,2
2019-11-27,EV,5
2019-11-27,MD,3
2019-11-27,PM,5
2019-11-28,AM,2
2019-11-28,EM,3
2019-11-28,EV,1
2019-11-28,MD,2
2019-11-28,PM,4
2019-11-29,AM,4
2019-11-29,EM,1
2019-11-29,EV,3
2019-11-29,MD,7
2019-11-29,PM,5
2019-12-02,AM,7
2019-12-02,EM,10
2019-12-02,EV,3
2019-12-02,MD,2
2019-12-02,PM,2
2019-12-03,AM,6
2019-12-03,EM,9
2019-12-03,EV,2
2019-12-03,MD,1
2019-12-03,PM,2
2019-12-04,AM,7
2019-12-04,EM,5
2019-12-04,EV,5
2019-12-04,MD,8
2019-12-04,PM,2
2019-12-05,AM,5
2019-12-05,EM,3
2019-12-05,EV,1
2019-12-05,MD,2
2019-12-05,PM,6
2019-12-06,AM,8
2019-12-06,EM,11
2019-12-06,EV,6
2019-12-06,MD,7
2019-12-06,PM,4
2019-12-09,AM,3
2019-12-09,EM,2
2019-12-09,EV,3
2019-12-09,MD,6
2019-12-09,PM,3
2019-12-10,AM,11
2019-12-10,EM,3
2019-12-10,EV,1
2019-12-10,MD,1
2019-12-10,PM,2
2019-12-11,AM,3
2019-12-11,EV,1
2019-12-11,MD,1
2019-12-11,PM,7
2019-12-12,AM,8
2019-12-12,EM,5
2019-12-12,EV,4
2019-12-12,MD,2
2019-12-12,PM,3
2019-12-13,AM,5
2019-12-13,EM,6
2019-12-13,EV,2
2019-12-13,MD,6
2019-12-13,PM,5
2019-12-16,AM,4
2019-12-16,EM,2
2019-12-16,EV,1
2019-12-16,MD,6
2019-12-16,PM,1
2019-12-17,AM,5
2019-12-17,EM,3
2019-12-17,EV,3
2019-12-17,MD,3
2019-12-17,PM,3
2019-12-18,AM,4
2019-12-18,EM,1
2019-12-18,EV,3
2019-12-18,MD,1
2019-12-18,PM,12
2019-12-19,AM,6
2019-12-19,EM,5
2019-12-19,EV,1
2019-12-19,MD,3
2019-12-19,PM,3
2019-12-20,AM,6
2019-12-20,EM,1
2019-12-20,EV,3
2019-12-20,MD,7
2019-12-20,PM,6
2019-12-23,AM,6
2019-12-23,EM,4
2019-12-23,EV,3
2019-12-23,MD,6
2019-12-23,PM,1
2019-12-27,AM,7
2019-12-27,EM,3
2019-12-27,EV,9
2019-12-27,MD,5
2019-12-27,PM,5
2019-12-30,AM,3
2019-12-30,EM,4
2019-12-30,MD,2
2019-12-30,PM,3
2020-01-02,AM,3
2020-01-02,EM,2
2020-01-02,EV,2
2020-01-02,MD,1
2020-01-02,PM,4
2020-01-03,AM,2
2020-01-03,EV,1
2020-01-03,MD,6
2020-01-03,PM,2
