date,dow,hour,route,period
2019-11-27,2,19,YU,PM
2019-11-28,3,21,BD,EV
2019-11-28,3,6,YU,EM
2019-12-02,0,6,BD,EM
2019-12-02,0,7,BD,AM
2019-12-02,0,8,BD,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,22,BD,EV
2019-12-02,0,8,BD,AM
2019-12-03,1,21,SRT,EV
2019-12-03,1,21,SRT,EV
2019-12-03,1,22,SRT,EV
2019-12-03,1,17,YU,PM
2019-12-04,2,17,YU,PM
2019-12-04,2,11,BD,MD
2019-12-04,2,11,YU,MD
2019-12-04,2,4,BD,EM
2019-12-04,2,5,BD,EM
2019-12-04,2,5,BD,EM
2019-12-04,2,6,BD,EM
2019-12-06,4,7,BD,AM
2019-12-09,0,13,YU,MD
2019-12-09,0,13,BD,MD
2019-12-09,0,6,YU,EM
2019-12-09,0,17,BD,PM
2019-12-09,0,18,BD,PM
2019-12-10,1,13,YU,MD
2019-12-12,3,18,YU,PM
2019-12-12,3,9,YU,AM
2019-12-12,3,12,YU,MD
2019-12-13,4,7,YU,AM
2019-12-13,4,17,BD,PM
2019-12-17,1,20,YU,EV
2019-12-17,1,22,YU,EV
2019-12-18,2,19,BD,PM
2019-12-18,2,8,SRT,AM
2019-12-19,3,17,YU,PM
2019-12-19,3,21,SHP,EV
2019-12-19,3,17,YU,PM
2019-12-19,3,18,YU,PM
2019-12-19,3,20,SHP,EV
2019-12-19,3,21,SHP,EV
2019-12-19,3,8,BD,AM
2019-12-20,4,21,BD,EV
2019-12-20,4,22,BD,EV
2019-12-20,4,17,YU,PM
2019-12-20,4,20,BD,EV
2019-12-20,4,19,YU,PM
2019-12-23,0,21,BD,EV
2019-12-23,0,22,BD,EV
2019-12-27,4,12,YU,MD
2019-12-27,4,13,YU,MD
2019-12-30,0,8,BD,AM
2019-12-30,0,18,SRT,PM
2019-12-30,0,19,SRT,PM
2020-01-02,3,18,YU,PM
2020-01-02,3,13,YU,MD
2020-01-03,4,6,YU,EM
