date,dow,hour,route,period
2019-11-27,2,19,YU,PM
2019-11-27,2,7,YU,AM
2019-11-27,2,9,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,9,YU,AM
2019-11-27,2,9,YU,AM
2019-11-27,2,6,BD,EM
2019-11-27,2,7,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,9,YU,AM
2019-11-27,2,12,BD,MD
2019-11-27,2,13,YU,MD
2019-11-27,2,17,YU,PM
2019-11-27,2,17,BD,PM
2019-11-27,2,18,YU,PM
2019-11-27,2,18,YU,PM
2019-11-27,2,19,YU,PM
2019-11-27,2,19,YU,PM
2019-11-27,2,22,YU,EV
2019-11-27,2,6,BD,EM
2019-11-27,2,6,YU,EM
2019-11-27,2,6,YU,EM
2019-11-27,2,6,YU,EM
2019-11-27,2,7,YU,AM
2019-11-27,2,7,YU,AM
2019-11-27,2,7,YU,AM
2019-11-27,2,7,BD,AM
2019-11-27,2,7,YU,AM
2019-11-27,2,7,SHP,AM
2019-11-27,2,7,BD,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,8,YU,AM
2019-11-27,2,9,SRT,AM
2019-11-27,2,9,YU,AM
2019-11-27,2,13,YU,MD
2019-11-27,2,13,YU,MD
2019-11-27,2,17,YU,PM
2019-11-27,2,17,YU,PM
2019-11-27,2,17,YU,PM
2019-11-27,2,18,SRT,PM
2019-11-27,2,19,YU,PM
2019-11-27,2,19,BD,PM
2019-11-27,2,20,YU,EV
2019-11-27,2,21,BD,EV
2019-11-27,2,21,YU,EV
2019-11-27,2,21,SHP,EV
2019-11-27,2,22,YU/BD,EV
2019-11-27,2,22,BD,EV
2019-11-28,3,21,BD,EV
2019-11-28,3,6,YU,EM
2019-11-28,3,7,YU,AM
2019-11-28,3,6,YU,EM
2019-11-28,3,6,BD,EM
2019-11-28,3,17,YU,PM
2019-11-28,3,18,YU,PM
2019-11-28,3,7,BD,AM
2019-11-28,3,7,BD,AM
2019-11-28,3,8,BD,AM
2019-11-28,3,8,BD,AM
2019-11-28,3,17,YU,PM
2019-11-28,3,19,BD,PM
2019-11-28,3,21,YU,EV
2019-11-28,3,5,BD,EM
2019-11-28,3,6,BD,EM
2019-11-28,3,7,BD,AM
2019-11-28,3,8,YU,AM
2019-11-28,3,8,BD,AM
2019-11-28,3,8,YU,AM
2019-11-28,3,11,BD,MD
2019-11-28,3,17,BD,PM
2019-11-28,3,17,YU,PM
2019-11-28,3,18,BD,PM
2019-11-28,3,18,SHP,PM
2019-11-28,3,18,YU,PM
2019-11-28,3,18,YU,PM
2019-11-28,3,18,YU,PM
2019-11-28,3,18,YU,PM
2019-11-28,3,18,YU,PM
2019-11-28,3,19,BD,PM
2019-11-28,3,20,YU,EV
2019-11-28,3,20,BD,EV
2019-11-28,3,21,BD,EV
2019-11-28,3,21,BD,EV
2019-11-28,3,22,YU/BD,EV
2019-11-29,4,5,YU,EM
2019-11-29,4,22,YU,EV
2019-11-29,4,18,BD,PM
2019-11-29,4,18,YU,PM
2019-11-29,4,6,BD,EM
2019-11-29,4,21,YU,EV
2019-11-29,4,7,BD,AM
2019-11-29,4,8,YU,AM
2019-11-29,4,8,YU,AM
2019-11-29,4,9,YU,AM
2019-11-29,4,5,YU,EM
2019-11-29,4,5,YU,EM
2019-11-29,4,7,BD,AM
2019-11-29,4,7,BD,AM
2019-11-29,4,8,BD,AM
2019-11-29,4,8,YU,AM
2019-11-29,4,11,YU,MD
2019-11-29,4,11,BD,MD
2019-11-29,4,12,BD,MD
2019-11-29,4,13,YU,MD
2019-11-29,4,13,YU,MD
2019-11-29,4,17,YU,PM
2019-11-29,4,17,YU,PM
2019-11-29,4,18,YU,PM
2019-11-29,4,18,BD,PM
2019-11-29,4,18,BD,PM
2019-11-29,4,20,,EV
2019-11-29,4,20,BD,EV
2019-11-29,4,21,YU,EV
2019-11-29,4,22,YU/BD,EV
2019-11-29,4,22,YU,EV
2019-11-29,4,22,YU,EV
2019-12-02,0,6,BD,EM
2019-12-02,0,7,BD,AM
2019-12-02,0,8,BD,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,22,BD,EV
2019-12-02,0,8,BD,AM
2019-12-02,0,8,YU,AM
2019-12-02,0,18,BD,PM
2019-12-02,0,18,BD,PM
2019-12-02,0,19,BD,PM
2019-12-02,0,6,YU,EM
2019-12-02,0,8,YU,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,6,YU,EM
2019-12-02,0,7,YU,AM
2019-12-02,0,7,YU,AM
2019-12-02,0,7,YU,AM
2019-12-02,0,7,YU,AM
2019-12-02,0,8,YU,AM
2019-12-02,0,17,BD,PM
2019-12-02,0,18,BD,PM
2019-12-02,0,19,BD,PM
2019-12-02,0,21,SHP,EV
2019-12-02,0,5,YU,EM
2019-12-02,0,5,BD,EM
2019-12-02,0,5,BD,EM
2019-12-02,0,5,YU,EM
2019-12-02,0,5,SRT,EM
2019-12-02,0,6,BD,EM
2019-12-02,0,6,BD,EM
2019-12-02,0,7,YU,AM
2019-12-02,0,7,YU,AM
2019-12-02,0,8,YU,AM
2019-12-02,0,9,YU,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,9,BD,AM
2019-12-02,0,11,YU,MD
2019-12-02,0,12,YU,MD
2019-12-02,0,12,YU,MD
2019-12-02,0,13,SHP,MD
