date,period,incidents
2019-11-27,PM,1
2019-11-28,EM,1
2019-11-28,EV,1
2019-12-02,AM,5
2019-12-02,EM,1
2019-12-02,EV,1
2019-12-03,EV,3
2019-12-03,PM,1
2019-12-04,EM,4
2019-12-04,MD,2
2019-12-04,PM,1
2019-12-06,AM,1
2019-12-09,EM,1
2019-12-09,MD,2
2019-12-09,PM,2
2019-12-10,MD,1
2019-12-12,AM,1
2019-12-12,MD,1
2019-12-12,PM,1
2019-12-13,AM,1
2019-12-13,PM,1
2019-12-17,EV,2
2019-12-18,AM,1
2019-12-18,PM,1
2019-12-19,AM,1
2019-12-19,EV,3
2019-12-19,PM,3
2019-12-20,EV,3
2019-12-20,PM,2
2019-12-23,EV,2
2019-12-27,MD,2
2019-12-30,AM,1
2019-12-30,PM,2
2020-01-02,MD,1
2020-01-02,PM,1
2020-01-03,EM,1
