date,period,incidents
2019-11-27,AM,23
2019-11-27,EM,5
2019-11-27,EV,7
2019-11-27,MD,4
2019-11-27,PM,13
2019-11-28,AM,9
2019-11-28,EM,5
2019-11-28,EV,7
2019-11-28,MD,1
2019-11-28,PM,14
2019-11-29,AM,8
2019-11-29,EM,4
2019-11-29,EV,7
2019-11-29,MD,5
2019-11-29,PM,7
2019-12-02,AM,19
2019-12-02,EM,17
2019-12-02,EV,6
2019-12-02,MD,4
2019-12-02,PM,9
2019-12-03,AM,7
2019-12-03,EM,4
2019-12-03,EV,9
2019-12-03,MD,7
2019-12-03,PM,11
2019-12-04,AM,8
2019-12-04,EM,10
2019-12-04,EV,5
2019-12-04,MD,9
2019-12-04,PM,9
2019-12-05,AM,10
2019-12-05,EM,4
2019-12-05,EV,7
2019-12-05,MD,9
2019-12-05,PM,10
2019-12-06,AM,9
2019-12-06,EM,6
2019-12-06,EV,7
2019-12-06,MD,5
2019-12-06,PM,6
2019-12-09,AM,9
2019-12-09,EM,7
2019-12-09,EV,5
2019-12-09,MD,9
2019-12-09,PM,12
2019-12-10,AM,7
2019-12-10,EM,8
2019-12-10,EV,9
2019-12-10,MD,9
2019-12-10,PM,10
2019-12-11,AM,9
2019-12-11,EM,4
2019-12-11,EV,7
2019-12-11,MD,3
2019-12-11,PM,8
2019-12-12,AM,13
2019-12-12,EM,1
2019-12-12,EV,7
2019-12-12,MD,7
2019-12-12,PM,6
2019-12-13,AM,12
2019-12-13,EM,1
2019-12-13,EV,7
2019-12-13,MD,7
2019-12-13,PM,9
2019-12-16,AM,18
2019-12-16,EM,2
2019-12-16,EV,3
2019-12-16,MD,5
2019-12-16,PM,7
2019-12-17,AM,7
2019-12-17,EM,5
2019-12-17,EV,6
2019-12-17,MD,10
2019-12-17,PM,5
2019-12-18,AM,16
2019-12-18,EM,6
2019-12-18,EV,4
2019-12-18,MD,13
2019-12-18,PM,14
2019-12-19,AM,9
2019-12-19,EM,6
2019-12-19,EV,9
2019-12-19,MD,7
2019-12-19,PM,7
2019-12-20,AM,12
2019-12-20,EM,7
2019-12-20,EV,15
2019-12-20,MD,6
2019-12-20,PM,15
2019-12-23,AM,9
2019-12-23,EM,3
2019-12-23,EV,9
2019-12-23,MD,8
2019-12-23,PM,7
2019-12-27,AM,4
2019-12-27,EM,8
2019-12-27,EV,5
2019-12-27,MD,12
2019-12-27,PM,8
2019-12-30,AM,8
2019-12-30,EM,11
2019-12-30,EV,8
2019-12-30,MD,5
2019-12-30,PM,8
2020-01-02,AM,5
2020-01-02,EM,4
2020-01-02,EV,7
2020-01-02,MD,9
2020-01-02,PM,6
2020-01-03,AM,10
2020-01-03,EM,5
2020-01-03,EV,6
2020-01-03,MD,4
2020-01-03,PM,6
