o_node,d_node,origin,destination,travel_time,date,period,trial
1506-0-4-5,1002-0-99-99,1506,1002,86.0,2019-11-28,EM,0
1126-0-4-5,1006-0-99-99,1126,1006,101.0,2019-11-28,EM,0
1243-0-4-5,1021-0-99-99,1243,1021,81.0,2019-11-28,EM,0
1382-0-4-5,1021-0-99-99,1382,1021,97.0,2019-11-28,EM,0
1571-0-4-5,1021-0-99-99,1571,1021,113.0,2019-11-28,EM,0
1232-0-4-5,1022-0-99-99,1232,1022,83.0,2019-11-28,EM,0
1175-0-4-5,1023-0-99-99,1175,1023,47.0,2019-11-28,EM,0
1018-0-4-5,1034-0-99-99,1018,1034,30.0,2019-11-28,EM,0
1518-0-4-5,1034-0-99-99,1518,1034,85.0,2019-11-28,EM,0
1590-0-4-5,1034-0-99-99,1590,1034,101.0,2019-11-28,EM,0
1250-0-4-5,1035-0-99-99,1250,1035,62.0,2019-11-28,EM,0
1214-0-4-5,1036-0-99-99,1214,1036,39.0,2019-11-28,EM,0
1219-0-4-5,1036-0-99-99,1219,1036,80.0,2019-11-28,EM,0
1574-0-4-5,1036-0-99-99,1574,1036,111.0,2019-11-28,EM,0
1591-0-4-5,1036-0-99-99,1591,1036,97.0,2019-11-28,EM,0
1131-0-4-5,1037-0-99-99,1131,1037,78.0,2019-11-28,EM,0
1238-0-4-5,1037-0-99-99,1238,1037,87.0,2019-11-28,EM,0
1285-0-4-5,1037-0-99-99,1285,1037,143.0,2019-11-28,EM,0
1406-0-4-5,1037-0-99-99,1406,1037,78.0,2019-11-28,EM,0
1131-0-4-5,1038-0-99-99,1131,1038,74.0,2019-11-28,EM,0
1389-0-4-5,1038-0-99-99,1389,1038,92.0,2019-11-28,EM,0
1422-0-4-5,1038-0-99-99,1422,1038,74.0,2019-11-28,EM,0
1559-0-4-5,1038-0-99-99,1559,1038,92.0,2019-11-28,EM,0
1076-0-4-5,1042-0-99-99,1076,1042,45.0,2019-11-28,EM,0
1245-0-4-5,1042-0-99-99,1245,1042,70.0,2019-11-28,EM,0
1090-0-4-5,1043-0-99-99,1090,1043,48.0,2019-11-28,EM,0
1427-0-4-5,1043-0-99-99,1427,1043,86.0,2019-11-28,EM,0
1250-0-4-5,1045-0-99-99,1250,1045,45.0,2019-11-28,EM,0
1214-0-4-5,1046-0-99-99,1214,1046,29.0,2019-11-28,EM,0
1411-0-4-5,1046-0-99-99,1411,1046,66.0,2019-11-28,EM,0
1313-0-4-5,1047-0-99-99,1313,1047,58.0,2019-11-28,EM,0
1520-0-4-5,1047-0-99-99,1520,1047,59.0,2019-11-28,EM,0
1574-0-4-5,1049-0-99-99,1574,1049,108.0,2019-11-28,EM,0
1252-0-4-5,1050-0-99-99,1252,1050,45.0,2019-11-28,EM,0
1522-0-4-5,1050-0-99-99,1522,1050,89.0,2019-11-28,EM,0
1280-0-4-5,1051-0-99-99,1280,1051,38.0,2019-11-28,EM,0
1328-0-4-5,1051-0-99-99,1328,1051,70.0,2019-11-28,EM,0
1266-0-4-5,1052-0-99-99,1266,1052,53.0,2019-11-28,EM,0
1447-0-4-5,1052-0-99-99,1447,1052,58.0,2019-11-28,EM,0
1464-0-4-5,1052-0-99-99,1464,1052,93.0,2019-11-28,EM,0
1495-0-4-5,1052-0-99-99,1495,1052,96.0,2019-11-28,EM,0
1538-0-4-5,1052-0-99-99,1538,1052,58.0,2019-11-28,EM,0
1591-0-4-5,1055-0-99-99,1591,1055,100.0,2019-11-28,EM,0
1425-0-4-5,1056-0-99-99,1425,1056,64.0,2019-11-28,EM,0
1444-0-4-5,1056-0-99-99,1444,1056,61.0,2019-11-28,EM,0
1619-0-4-5,1056-0-99-99,1619,1056,105.0,2019-11-28,EM,0
1200-0-4-5,1057-0-99-99,1200,1057,42.0,2019-11-28,EM,0
1277-0-4-5,1057-0-99-99,1277,1057,43.0,2019-11-28,EM,0
1539-0-4-5,1057-0-99-99,1539,1057,63.0,2019-11-28,EM,0
1601-0-4-5,1057-0-99-99,1601,1057,108.0,2019-11-28,EM,0
1122-0-4-5,1058-0-99-99,1122,1058,83.0,2019-11-28,EM,0
1270-0-4-5,1058-0-99-99,1270,1058,47.0,2019-11-28,EM,0
1450-0-4-5,1058-0-99-99,1450,1058,43.0,2019-11-28,EM,0
1411-0-4-5,1059-0-99-99,1411,1059,84.0,2019-11-28,EM,0
1090-0-4-5,1060-0-99-99,1090,1060,34.0,2019-11-28,EM,0
1484-0-4-5,1062-0-99-99,1484,1062,88.0,2019-11-28,EM,0
1544-0-4-5,1063-0-99-99,1544,1063,82.0,2019-11-28,EM,0
1621-0-4-5,1063-0-99-99,1621,1063,112.0,2019-11-28,EM,0
1110-0-4-5,1065-0-99-99,1110,1065,32.0,2019-11-28,EM,0
1122-0-4-5,1065-0-99-99,1122,1065,75.0,2019-11-28,EM,0
1202-0-4-5,1065-0-99-99,1202,1065,37.0,2019-11-28,EM,0
1424-0-4-5,1065-0-99-99,1424,1065,55.0,2019-11-28,EM,0
1572-0-4-5,1065-0-99-99,1572,1065,130.0,2019-11-28,EM,0
1122-0-4-5,1066-0-99-99,1122,1066,74.0,2019-11-28,EM,0
1263-0-4-5,1067-0-99-99,1263,1067,49.0,2019-11-28,EM,0
1120-0-4-5,1068-0-99-99,1120,1068,72.0,2019-11-28,EM,0
1330-0-4-5,1068-0-99-99,1330,1068,72.0,2019-11-28,EM,0
1602-0-4-5,1068-0-99-99,1602,1068,110.0,2019-11-28,EM,0
1606-0-4-5,1068-0-99-99,1606,1068,110.0,2019-11-28,EM,0
1483-0-4-5,1070-0-99-99,1483,1070,97.0,2019-11-28,EM,0
1510-0-4-5,1076-0-99-99,1510,1076,111.0,2019-11-28,EM,0
1600-0-4-5,1076-0-99-99,1600,1076,111.0,2019-11-28,EM,0
1039-0-4-5,1078-0-99-99,1039,1078,37.0,2019-11-28,EM,0
1524-0-4-5,1078-0-99-99,1524,1078,93.0,2019-11-28,EM,0
1562-0-4-5,1078-0-99-99,1562,1078,112.0,2019-11-28,EM,0
1365-0-4-5,1080-0-99-99,1365,1080,106.0,2019-11-28,EM,0
1143-0-4-5,1085-0-99-99,1143,1085,77.0,2019-11-28,EM,0
1513-0-4-5,1090-0-99-99,1513,1090,106.0,2019-11-28,EM,0
1132-0-4-5,1104-0-99-99,1132,1104,58.0,2019-11-28,EM,0
1389-0-4-5,1113-0-99-99,1389,1113,89.0,2019-11-28,EM,0
1286-0-4-5,1114-0-99-99,1286,1114,89.0,2019-11-28,EM,0
1022-0-4-5,1116-0-99-99,1022,1116,42.0,2019-11-28,EM,0
1400-0-4-5,1118-0-99-99,1400,1118,59.0,2019-11-28,EM,0
1116-0-4-5,1124-0-99-99,1116,1124,27.0,2019-11-28,EM,0
1412-0-4-5,1139-0-99-99,1412,1139,59.0,2019-11-28,EM,0
1524-0-4-5,1141-0-99-99,1524,1141,96.0,2019-11-28,EM,0
1046-0-4-5,1142-0-99-99,1046,1142,61.0,2019-11-28,EM,0
1130-0-4-5,1145-0-99-99,1130,1145,35.0,2019-11-28,EM,0
1153-0-4-5,1146-0-99-99,1153,1146,43.0,2019-11-28,EM,0
1382-0-4-5,1150-0-99-99,1382,1150,72.0,2019-11-28,EM,0
1133-0-4-5,1156-0-99-99,1133,1156,73.0,2019-11-28,EM,0
1572-0-4-5,1157-0-99-99,1572,1157,127.0,2019-11-28,EM,0
1544-0-4-5,1160-0-99-99,1544,1160,94.0,2019-11-28,EM,0
1176-0-4-5,1168-0-99-99,1176,1168,44.0,2019-11-28,EM,0
1212-0-4-5,1170-0-99-99,1212,1170,63.0,2019-11-28,EM,0
1588-0-4-5,1180-0-99-99,1588,1180,102.0,2019-11-28,EM,0
1595-0-4-5,1187-0-99-99,1595,1187,99.0,2019-11-28,EM,0
1186-0-4-5,1202-0-99-99,1186,1202,30.0,2019-11-28,EM,0
1223-0-4-5,1203-0-99-99,1223,1203,55.0,2019-11-28,EM,0
1139-0-4-5,1211-0-99-99,1139,1211,67.0,2019-11-28,EM,0
1166-0-4-5,1218-0-99-99,1166,1218,107.0,2019-11-28,EM,0
1523-0-4-5,1218-0-99-99,1523,1218,67.0,2019-11-28,EM,0
1554-0-4-5,1218-0-99-99,1554,1218,102.0,2019-11-28,EM,0
1620-0-4-5,1220-0-99-99,1620,1220,87.0,2019-11-28,EM,0
1197-0-4-5,1227-0-99-99,1197,1227,33.0,2019-11-28,EM,0
1233-0-4-5,1227-0-99-99,1233,1227,50.0,2019-11-28,EM,0
1560-0-4-5,1243-0-99-99,1560,1243,59.0,2019-11-28,EM,0
1575-0-4-5,1243-0-99-99,1575,1243,86.0,2019-11-28,EM,0
1224-0-4-5,1247-0-99-99,1224,1247,78.0,2019-11-28,EM,0
1251-0-4-5,1247-0-99-99,1251,1247,54.0,2019-11-28,EM,0
1524-0-4-5,1253-0-99-99,1524,1253,65.0,2019-11-28,EM,0
1383-0-4-5,1260-0-99-99,1383,1260,136.0,2019-11-28,EM,0
1110-0-4-5,1272-0-99-99,1110,1272,55.0,2019-11-28,EM,0
1250-0-4-5,1275-0-99-99,1250,1275,34.0,2019-11-28,EM,0
1144-0-4-5,1277-0-99-99,1144,1277,74.0,2019-11-28,EM,0
1347-0-4-5,1285-0-99-99,1347,1285,109.0,2019-11-28,EM,0
1431-0-4-5,1285-0-99-99,1431,1285,119.0,2019-11-28,EM,0
1544-0-4-5,1298-0-99-99,1544,1298,121.0,2019-11-28,EM,0
1131-0-4-5,1299-0-99-99,1131,1299,83.0,2019-11-28,EM,0
1271-0-4-5,1307-0-99-99,1271,1307,83.0,2019-11-28,EM,0
1290-0-4-5,1307-0-99-99,1290,1307,33.0,2019-11-28,EM,0
1353-0-4-5,1307-0-99-99,1353,1307,39.0,2019-11-28,EM,0
1458-0-4-5,1313-0-99-99,1458,1313,117.0,2019-11-28,EM,0
1124-0-4-5,1317-0-99-99,1124,1317,33.0,2019-11-28,EM,0
1326-0-4-5,1317-0-99-99,1326,1317,65.0,2019-11-28,EM,0
1133-0-4-5,1331-0-99-99,1133,1331,76.0,2019-11-28,EM,0
1177-0-4-5,1355-0-99-99,1177,1355,70.0,2019-11-28,EM,0
1110-0-4-5,1356-0-99-99,1110,1356,99.0,2019-11-28,EM,0
1039-0-4-5,1357-0-99-99,1039,1357,85.0,2019-11-28,EM,0
1385-0-4-5,1358-0-99-99,1385,1358,75.0,2019-11-28,EM,0
1021-0-4-5,1361-0-99-99,1021,1361,113.0,2019-11-28,EM,0
