station1,direction,station1_end_time,platform1_start_time,platform1_end_time,station2,station2_start_time,platform2_start_time,platform2_end_time,year,month,day,hour,date,dow
bathurst,228222,228222,228222,228222,228222,228222,223636,223636,228222,228222,228222,228222,228222,228222
bay,290818,290818,290818,290818,290818,290818,290818,290818,290818,290818,290818,290818,290818,290818
bayview,82073,82073,82073,82073,82073,82073,80978,80978,82073,82073,82073,82073,82073,82073
bessarion,71394,71394,71394,71394,71394,71394,69902,69902,71394,71394,71394,71394,71394,71394
bloor-yonge-one,440037,440037,440037,440037,440037,440037,430304,430304,440037,440037,440037,440037,440037,440037
bloor-yonge-two,619834,619834,619834,619834,619834,619834,601282,601282,619834,619834,619834,619834,619834,619834
broadview,244317,244317,244317,244317,244317,244317,241886,241886,244317,244317,244317,244317,244317,244317
castle-frank,252565,252565,252565,252565,252565,252565,246703,246703,252565,252565,252565,252565,252565,252565
chester,238475,238475,238475,238475,238475,238475,230350,230350,238475,238475,238475,238475,238475,238475
christie,221279,221279,221279,221279,221279,221279,211370,211370,221279,221279,221279,221279,221279,221279
college,250500,250500,250500,250500,250500,250500,248612,248612,250500,250500,250500,250500,250500,250500
coxwell,222365,222365,222365,222365,222365,222365,211140,211140,222365,222365,222365,222365,222365,222365
davisville,33863,33863,33863,33863,33863,33863,32350,32350,33863,33863,33863,33863,33863,33863
don-mills,45679,45679,45679,45679,45679,45679,44885,44885,45679,45679,45679,45679,45679,45679
donlands,195348,195348,195348,195348,195348,195348,192242,192242,195348,195348,195348,195348,195348,195348
downsview_park,69850,69850,69850,69850,69850,69850,63618,63618,69850,69850,69850,69850,69850,69850
dufferin,206035,206035,206035,206035,206035,206035,201099,201099,206035,206035,206035,206035,206035,206035
dundas,248515,248515,248515,248515,248515,248515,240424,240424,248515,248515,248515,248515,248515,248515
dundas-west,183647,183647,183647,183647,183647,183647,179404,179404,183647,183647,183647,183647,183647,183647
dupont,160677,160677,160677,160677,160677,160677,153335,153335,160677,160677,160677,160677,160677,160677
eglinton,143568,143568,143568,143568,143568,143568,132543,132543,143568,143568,143568,143568,143568,143568
finch,94430,94430,94430,94430,94430,94430,92334,92334,94430,94430,94430,94430,94430,94430
finch_west,69170,69170,69170,69170,69170,69170,60933,60933,69170,69170,69170,69170,69170,69170
glencairn,83689,83689,83689,83689,83689,83689,75898,75898,83689,83689,83689,83689,83689,83689
greenwood,207612,207612,207612,207612,207612,207612,203330,203330,207612,207612,207612,207612,207612,207612
high-park,169836,169836,169836,169836,169836,169836,165620,165620,169836,169836,169836,169836,169836,169836
hwy_407,25654,25654,25654,25654,25654,25654,20034,20034,25654,25654,25654,25654,25654,25654
islington,93552,93552,93552,93552,93552,93552,91141,91141,93552,93552,93552,93552,93552,93552
jane,132921,132921,132921,132921,132921,132921,131087,131087,132921,132921,132921,132921,132921,132921
keele,185098,185098,185098,185098,185098,185098,182268,182268,185098,185098,185098,185098,185098,185098
kennedy,13987,13987,13987,13987,13987,13987,10961,10961,13987,13987,13987,13987,13987,13987
king,243528,243528,243528,243528,243528,243528,231702,231702,243528,243528,243528,243528,243528,243528
