route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
58810,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
58595,1,10,VAN HORNE,,3,,804000,FFFFFF
58596,1,100,FLEMINGDON PARK,,3,,FF00FF,FFFFFF
58597,1,101,DOWNSVIEW PARK,,3,,00FF00,FFFFFF
58598,1,102,MARKHAM RD.,,3,,00FF00,FFFFFF
58599,1,104,FAYWOOD,,3,,800080,FFFFFF
58600,1,105,DUFFERIN NORTH,,3,,804000,FFFFFF
58601,1,106,SENTINEL,,3,,00FFFF,FFFFFF
58602,1,107,ST REGIS,,3,,FF00FF,FFFFFF
58603,1,108,DRIFTWOOD,,3,,800080,FFFFFF
58604,1,109,RANEE,,3,,008000,FFFFFF
58605,1,11,BAYVIEW,,3,,FF0000,FFFFFF
58606,1,110,ISLINGTON SOUTH,,3,,804000,FFFFFF
58607,1,111,EAST MALL,,3,,804000,FFFFFF
58608,1,112,WEST MALL,,3,,800080,FFFFFF
58609,1,113,DANFORTH ROAD,,3,,808000,FFFFFF
58610,1,115,SILVER HILLS,,3,,008000,FFFFFF
58611,1,116,MORNINGSIDE,,3,,804000,FFFFFF
58612,1,117,ALNESS-CHESSWOOD,,3,,008000,FFFFFF
58613,1,118,THISTLE DOWN,,3,,800080,FFFFFF
58614,1,119,TORBARRIE,,3,,800080,FFFFFF
58615,1,12,KINGSTON ROAD,,3,,008000,FFFFFF
58616,1,120,CALVINGTON,,3,,FF00FF,FFFFFF
58617,1,121,FORT YORK - ESPLANADE,,3,,FF00FF,FFFFFF
58618,1,122,GRAYDON HALL,,3,,FF00FF,FFFFFF
58619,1,123,SHERWAY,,3,,008000,FFFFFF
58620,1,124,SUNNYBROOK,,3,,00FFFF,FFFFFF
58621,1,125,DREWRY,,3,,804000,FFFFFF
58622,1,126,CHRISTIE,,3,,000080,FFFFFF
58623,1,127,DAVENPORT,,3,,00FFFF,FFFFFF
58624,1,129,MCCOWAN NORTH,,3,,00FF00,FFFFFF
58625,1,130,MIDDLEFIELD,,3,,808000,FFFFFF
58626,1,131,NUGGET,,3,,800080,FFFFFF
58627,1,132,MILNER,,3,,00FFFF,FFFFFF
58628,1,133,NEILSON,,3,,804000,FFFFFF
58629,1,134,PROGRESS,,3,,808000,FFFFFF
58630,1,135,GERRARD,,3,,00FFFF,FFFFFF
58631,1,14,GLENCAIRN,,3,,00FFFF,FFFFFF
58632,1,141,DOWNTOWN/MT.PLEASANT EXPRESS,,3,,FF8000,FFFFFF
